short,full,long,NT_ID,Color,Class,
Bf,B. fragilis,Bacteroides fragilis,NT5003,#c6dbef,Bacteroidia,
Bt,B. thetaiotaomicron,Bacteroides thetaiotaomicron,NT5004,#9ecae1,Bacteroidia,
Bu,B. uniformis,Bacteroides uniformis,NT5002,#6baed6,Bacteroidia,
15,B. uniformis HM715,Bacteroides uniformis HM715,NT5065,#4292c6,Bacteroidia,
16,B. uniformis HM716,Bacteroides uniformis HM716,NT5066,#2171b5,Bacteroidia,#2171b5
Bv,B. vulgatus,Bacteroides vulgatus,NT5001,#084594,Bacteroidia,
Bal,B. animalis subsp. lactis BI-07,Bifidobacterium animalis lactis,NT5044,#bae4b3,Actinobacteria,
Bli,B. longum subsp. infantis,Bifidobacterium longum infantis,NT5023,#74c476,Actinobacteria,#74c476
Bll,B. longum subsp. longum,Bifidobacterium longum longum,NT5028,#31a354,Actinobacteria,
Cb,C. bolteae,Clostridium bolteae,NT5026,#ef3b2c,Clostridia,
Cr,C. ramosum,Clostridium ramosum,NT5006,#FB6522,Erysipelotrichia,#FB6522
Cs,C. saccharolyticum,Clostridium saccharolyticum,NT5037,#99000d,Clostridia,
Cc,C. comes,Coprococcus comes,NT5048,#fcbba1,Clostridia,
El,E. lenta,Eggerthella lenta,NT5024,#006d2c,Coriobacteriia,#006d2c
Ece,E. coli ED1a,Escherichia coli ED1a,NT5078,#cccccc,Gammaproteobacteria,
Eci,E. coli IAI1,Escherichia coli iAi1,NT5077,#969696,Gammaproteobacteria,#969696
Er,E. rectale,Eubacterium rectale,NT5009,#cb181d,Clostridia,#cb181d
Fn,F. nucleatum,Fusobacterium nucleatum nucleatum,NT5025,#c51b8a,Fusobacteria,#c51b8a
Lg,L. gasseri,Lactobacillus gasseri,NT5007,#bcbddc,Bacilli,
Lpa,L. paracasei,Lactobacillus paracasei,NT5042,#9e9ac8,Bacilli,
Lpl,L. plantarum,Lactobacillus plantarum,NTX2,#756bb1,Bacilli,#756bb1
Ll,L. lactis,Lactococcus lactis,NTX3,#54278f,Bacilli,
Rg,R. gnavus,Ruminococcus gnavus,NT5046,#fee0d2,Clostridia,
Rt,R. torques,Ruminococcus torques,NT5047,#fc9272,Clostridia,
Ss,S. salivarius,Streptococcus salivarius,NT5038,#dadaeb,Bacilli,
Control,Control,Control,,,,
Fna,F. nucleatum animalis,Fusobacterium nucleatum animalis,NT5029,,Fusobacteria,
