KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:6.4.1.8	H2O	18.0106
cpd:C00001	ec:6.6.1.1	H2O	18.0106
cpd:C00001	ec:6.6.1.2	H2O	18.0106
cpd:C00001	ec:6.3.5.2	H2O	18.0106
cpd:C00001	ec:6.3.5.3	H2O	18.0106
cpd:C00001	ec:6.3.5.4	H2O	18.0106
cpd:C00001	ec:4.5.1.4	H2O	18.0106
cpd:C00001	ec:4.6.1.13	H2O	18.0106
cpd:C00001	ec:4.6.1.17	H2O	18.0106
cpd:C00001	ec:4.3.1.9	H2O	18.0106
cpd:C00001	ec:4.3.2.10	H2O	18.0106
cpd:C00001	ec:4.3.2.4	H2O	18.0106
cpd:C00001	ec:4.3.3.2	H2O	18.0106
cpd:C00001	ec:4.3.3.3	H2O	18.0106
cpd:C00001	ec:4.3.3.4	H2O	18.0106
cpd:C00001	ec:4.3.3.5	H2O	18.0106
cpd:C00001	ec:4.3.3.6	H2O	18.0106
cpd:C00001	ec:4.3.3.7	H2O	18.0106
cpd:C00001	ec:4.4.1.1	H2O	18.0106
cpd:C00001	ec:4.4.1.11	H2O	18.0106
cpd:C00001	ec:4.4.1.13	H2O	18.0106
cpd:C00001	ec:4.4.1.15	H2O	18.0106
cpd:C00001	ec:4.2.3.96	H2O	18.0106
cpd:C00001	ec:4.2.3.98	H2O	18.0106
cpd:C00001	ec:4.3.1.10	H2O	18.0106
cpd:C00001	ec:4.3.1.13	H2O	18.0106
cpd:C00001	ec:4.3.1.15	H2O	18.0106
cpd:C00001	ec:4.3.1.17	H2O	18.0106
cpd:C00001	ec:4.3.1.19	H2O	18.0106
cpd:C00001	ec:4.2.3.42	H2O	18.0106
cpd:C00001	ec:4.2.3.45	H2O	18.0106
cpd:C00001	ec:4.2.3.48	H2O	18.0106
cpd:C00001	ec:4.2.3.49	H2O	18.0106
cpd:C00001	ec:4.2.3.64	H2O	18.0106
cpd:C00001	ec:4.2.3.68	H2O	18.0106
cpd:C00001	ec:4.2.3.70	H2O	18.0106
cpd:C00001	ec:4.2.3.74	H2O	18.0106
cpd:C00001	ec:4.2.3.84	H2O	18.0106
cpd:C00001	ec:4.2.3.85	H2O	18.0106
cpd:C00001	ec:6.1.2.2	H2O	18.0106
cpd:C00001	ec:6.3.3.5	H2O	18.0106
cpd:C00001	ec:6.3.3.7	H2O	18.0106
cpd:C00001	ec:6.3.2.26	H2O	18.0106
cpd:C00001	ec:6.3.4.16	H2O	18.0106
cpd:C00001	ec:6.3.4.19	H2O	18.0106
cpd:C00001	ec:6.3.4.2	H2O	18.0106
cpd:C00001	ec:6.3.4.20	H2O	18.0106
cpd:C00001	ec:6.3.4.21	H2O	18.0106
cpd:C00001	ec:6.3.4.22	H2O	18.0106
cpd:C00001	ec:6.3.5.5	H2O	18.0106
cpd:C00001	ec:6.3.5.6	H2O	18.0106
cpd:C00001	ec:6.3.5.7	H2O	18.0106
cpd:C00001	ec:6.3.5.9	H2O	18.0106
cpd:C00001	ec:6.3.4.8	H2O	18.0106
cpd:C00001	ec:6.3.5.1	H2O	18.0106
cpd:C00001	ec:6.3.5.10	H2O	18.0106
cpd:C00001	ec:6.3.5.11	H2O	18.0106
cpd:C00001	ec:6.3.5.12	H2O	18.0106
cpd:C00001	ec:6.3.5.13	H2O	18.0106
cpd:C00001	ec:7.1.1.3	H2O	18.0106
cpd:C00001	ec:7.1.1.4	H2O	18.0106
cpd:C00001	ec:7.1.1.5	H2O	18.0106
cpd:C00001	ec:7.1.1.7	H2O	18.0106
cpd:C00001	ec:7.3.2.6	H2O	18.0106
cpd:C00001	ec:6.4.1.6	H2O	18.0106
cpd:C00001	ec:4.2.3.187	H2O	18.0106
cpd:C00001	ec:4.2.3.194	H2O	18.0106
cpd:C00001	ec:4.2.3.197	H2O	18.0106
cpd:C00001	ec:4.2.3.2	H2O	18.0106
cpd:C00001	ec:4.2.3.202	H2O	18.0106
cpd:C00001	ec:4.2.3.22	H2O	18.0106
cpd:C00001	ec:4.2.3.25	H2O	18.0106
cpd:C00001	ec:4.2.3.26	H2O	18.0106
cpd:C00001	ec:4.2.3.39	H2O	18.0106
cpd:C00001	ec:4.2.3.143	H2O	18.0106
cpd:C00001	ec:4.2.3.144	H2O	18.0106
cpd:C00001	ec:4.2.3.145	H2O	18.0106
cpd:C00001	ec:4.2.3.146	H2O	18.0106
cpd:C00001	ec:4.2.3.149	H2O	18.0106
cpd:C00001	ec:4.2.3.151	H2O	18.0106
cpd:C00001	ec:4.2.3.153	H2O	18.0106
cpd:C00001	ec:4.2.3.154	H2O	18.0106
cpd:C00001	ec:4.2.3.156	H2O	18.0106
cpd:C00001	ec:4.2.3.157	H2O	18.0106
cpd:C00001	ec:4.2.3.163	H2O	18.0106
cpd:C00001	ec:4.2.3.166	H2O	18.0106
cpd:C00001	ec:4.2.3.167	H2O	18.0106
cpd:C00001	ec:4.2.3.169	H2O	18.0106
cpd:C00001	ec:4.2.3.170	H2O	18.0106
