KEGG_ORG	KEGG_UNIPROT	KEGG_GENE	KEGG_PATHWAY	KEGG_EC
csh	D9QZG2	csh:Closa_1830	path:map00010	ec:1.1.1.1
csh	D9R3R2	csh:Closa_4287	path:map00010	ec:1.1.1.1
ecq	B7MU27	ecq:ECED1_1392	path:map00010	ec:1.1.1.1
ecq	B7MUR2	ecq:ECED1_1631	path:map00010	ec:1.1.1.1
ecq	B7N235	ecq:ECED1_4275	path:map00010	ec:1.1.1.1
ecq	B7MPC3	ecq:ECED1_0384	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_1259	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_1482	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_3757	path:map00010	ec:1.1.1.1
ecr		ecr:ECIAI1_0357	path:map00010	ec:1.1.1.1
lpl		lpl:lp_2873	path:map00010	ec:1.1.1.1
lpl		lpl:lp_1665	path:map00010	ec:1.1.1.1
lpl		lpl:lp_3662	path:map00010	ec:1.1.1.1
lpl		lpl:lp_0082	path:map00010	ec:1.1.1.1
lla		lla:L190278	path:map00010	ec:1.1.1.1
lla		lla:L13145	path:map00010	ec:1.1.1.1
lla		lla:L55758	path:map00010	ec:1.1.1.1
stj		stj:SALIVA_1949	path:map00010	ec:1.1.1.1
stj		stj:SALIVA_1195	path:map00010	ec:1.1.1.1
csh	D9R8T4	csh:Closa_1306	path:map00010	ec:1.1.1.27
lpl		lpl:lp_0537	path:map00010	ec:1.1.1.27
lpl		lpl:lp_2349	path:map00010	ec:1.1.1.27
lpl		lpl:lp_1101	path:map00010	ec:1.1.1.27
lpl		lpl:lp_1245	path:map00010	ec:1.1.1.27
lpl		lpl:lp_0350	path:map00010	ec:1.1.1.27
lla		lla:L0017	path:map00010	ec:1.1.1.27
lla		lla:L0018	path:map00010	ec:1.1.1.27
lla		lla:L142159	path:map00010	ec:1.1.1.27
stj		stj:SALIVA_1275	path:map00010	ec:1.1.1.27
stj		stj:SALIVA_0655	path:map00010	ec:1.1.1.27
csh	D9R617	csh:Closa_0829	path:map00010	ec:1.2.1.12
ecq	B7MVR0	ecq:ECED1_1984	path:map00010	ec:1.2.1.12
ecq	B7MUK6	ecq:ECED1_1574	path:map00010	ec:1.2.1.12
ecr		ecr:ECIAI1_1843	path:map00010	ec:1.2.1.12
ecr		ecr:ECIAI1_1411	path:map00010	ec:1.2.1.12
lpl		lpl:lp_0789	path:map00010	ec:1.2.1.12
lla		lla:L0005	path:map00010	ec:1.2.1.12
