KEGG_PATHWAY	KEGG_CPD	KEGG_ORG	KEGG_FORMULA	KEGG_EXACT_MASS
path:map00010	cpd:C00022	csh	C3H4O3	88.016
path:map00010	cpd:C00022	ecq	C3H4O3	88.016
path:map00010	cpd:C00022	ecr	C3H4O3	88.016
path:map00010	cpd:C00022	lpl	C3H4O3	88.016
path:map00010	cpd:C00022	lla	C3H4O3	88.016
path:map00010	cpd:C00022	stj	C3H4O3	88.016
path:map00010	cpd:C00024	ecq	C23H38N7O17P3S	809.1258
path:map00010	cpd:C00024	ecr	C23H38N7O17P3S	809.1258
path:map00010	cpd:C00024	lpl	C23H38N7O17P3S	809.1258
path:map00010	cpd:C00024	lla	C23H38N7O17P3S	809.1258
path:map00010	cpd:C00024	csh	C23H38N7O17P3S	809.1258
path:map00010	cpd:C00024	stj	C23H38N7O17P3S	809.1258
path:map00010	cpd:C00031	ecq	C6H12O6	180.0634
path:map00010	cpd:C00031	ecr	C6H12O6	180.0634
path:map00010	cpd:C00031	lla	C6H12O6	180.0634
path:map00010	cpd:C00031	csh	C6H12O6	180.0634
path:map00010	cpd:C00031	lpl	C6H12O6	180.0634
path:map00010	cpd:C00031	stj	C6H12O6	180.0634
path:map00010	cpd:C00033	ecq	C2H4O2	60.0211
path:map00010	cpd:C00033	ecr	C2H4O2	60.0211
path:map00010	cpd:C00033	csh	C2H4O2	60.0211
path:map00010	cpd:C00033	lpl	C2H4O2	60.0211
path:map00010	cpd:C00033	lla	C2H4O2	60.0211
path:map00010	cpd:C00033	stj	C2H4O2	60.0211
path:map00010	cpd:C00036	ecq	C4H4O5	132.0059
path:map00010	cpd:C00036	ecr	C4H4O5	132.0059
path:map00010	cpd:C00036	csh	C4H4O5	132.0059
path:map00010	cpd:C00036	lpl	C4H4O5	132.0059
path:map00010	cpd:C00036	lla	C4H4O5	132.0059
path:map00010	cpd:C00036	stj	C4H4O5	132.0059
path:map00010	cpd:C00068	ecq	C12H19N4O7P2S	425.045
path:map00010	cpd:C00068	ecr	C12H19N4O7P2S	425.045
path:map00010	cpd:C00068	csh	C12H19N4O7P2S	425.045
path:map00010	cpd:C00068	lpl	C12H19N4O7P2S	425.045
path:map00010	cpd:C00068	lla	C12H19N4O7P2S	425.045
path:map00010	cpd:C00068	stj	C12H19N4O7P2S	425.045
path:map00010	cpd:C00074	csh	C3H5O6P	167.9824
path:map00010	cpd:C00074	ecq	C3H5O6P	167.9824
path:map00010	cpd:C00074	ecr	C3H5O6P	167.9824
path:map00010	cpd:C00074	lpl	C3H5O6P	167.9824
path:map00010	cpd:C00074	lla	C3H5O6P	167.9824
path:map00010	cpd:C00074	stj	C3H5O6P	167.9824
