KEGG_PATHWAY	KEGG_FORMULA	KEGG_CPD	adduct_polarity	adduct_name	adduct_formula_add	adduct_formula_sub	adduct_charge	adduct_nmol	adduct_massdiff	abundance	mz	lb	ub	lb_extended	ub_extended
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.8504241285569198	252.49059692525998	252.48807201929074	252.49312183122925	252.46534786556745	252.5158459849525
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.11620431912447673	252.99188765810288	252.9893577392263	252.9944175769795	252.96658846933707	253.0171868468687
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.02954737711093313	253.49282592419414	253.4902909959349	253.4953608524534	253.4674766416017	253.51817520678657
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.003309737687882129	253.99403943673803	253.9914994963437	253.9965793771324	253.96864003279435	254.01943884068172
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	4.657381354298176e-4	254.49502685945407	254.4924819091855	254.49757180972267	254.46957735676813	254.52047636214002
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	4.385852478513715e-5	254.99619048930745	254.99364052740256	254.99874045121237	254.97069087025852	255.02169010835638
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	4.451073549996414e-6	255.49721024443394	255.4946552723315	255.49976521653642	255.4716605234095	255.5227599654584
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	3.586290734861106e-7	255.99834083510027	255.99578085169193	256.0009008185086	255.97274100101677	256.0239406691838
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	2.8988002582973158e-8	256.49938195782926	256.49681696400967	256.50194695164885	256.4737320196335	256.52503189602504
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-2H]2-	""	H2	-2	1	-1.007276	2.0233329463490787e-9	257.00049047812513	256.99792047322035	257.0030604830299	256.9747904290773	257.02619052717296
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	0.8502965649376364	505.98847030525997	505.98341042055694	505.99353018996305	505.93787145822944	506.0390691522905
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	0.11631445209589157	506.9910558236191	506.98598591306086	506.9961257341774	506.94035671803675	507.04175492920143
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	0.02956037565223516	507.9929308977751	507.98785096846615	507.99801082708416	507.94213160468536	508.0437301908649
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	0.003313673333795586	508.99536047730936	508.9902705237046	509.00045043091416	508.94446094126164	509.0462600133571
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	4.6616473536268544e-4	509.9973347551377	509.99223478179016	510.00243472848524	509.94633502166215	510.0483344886132
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	4.392180672673385e-5	510.9996637153048	510.99455371866765	511.004773711942	510.9485637489333	511.0507636816763
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	4.456984667681686e-6	512.0017031980373	511.9965831810053	512.0068232150693	511.95050302771745	512.0529033683571
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	3.5924294015758715e-7	513.003965587974	512.9988355483181	513.0090956276299	512.9526651914152	513.0552659845328
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	2.9037448743608627e-8	514.0060481410868	514.0009080806054	514.0111882015683	513.9546475362727	514.057448745901
path:map00230	C10H16N5O13P3	cpd:C00002	negative	[M-H]-	""	H	-1	1	-1.007276	2.0273776467945727e-9	515.008266118027	515.0031160353658	515.0134162006882	514.9567652914152	515.0597669446388
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.8566536727989904	212.50743146276	212.50530638844538	212.50955653707464	212.4861807196137	212.52868220590628
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.11594810904941746	213.00871324531954	213.00658315818708	213.010843332452	212.987412373995	213.03001411664408
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.024461223182320906	213.50967492703091	213.50753983028164	213.51181002378019	213.4883239595382	213.53102589452362
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.0026002434534719695	214.0108698310238	214.00872972232548	214.0130099397221	213.9894687440407	214.0322709180069
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	3.0768983739645344e-4	214.51188179214813	214.50973667333022	214.51402691096607	214.49043060396892	214.53333298032734
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	2.660393734107182e-5	215.01302563708214	215.01087550682578	215.01517576733852	214.99152433451843	215.03452693964584
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	2.281676080883598e-6	215.5140676028729	215.51191246219688	215.51622274354895	215.4925161961126	215.5356190096332
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	1.641505036190102e-7	216.01518065708692	216.01302050528037	216.0173408088935	215.99357913902122	216.0367821751526
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	1.1193847066968369e-8	216.51624027175052	216.5140751093478	216.51840543415324	216.49458864772333	216.5378918957777
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-2H]2-	""	H2	-2	1	-1.007276	6.800520421932449e-10	217.01733483848332	217.01516466513496	217.0195050118317	216.99563310499948	217.03903657196716
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	0.8565251747480706	426.02213938026	426.0178791588662	426.02639960165385	425.97953716632196	426.06474159419804
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	0.11605921488397992	427.02470705653616	427.0204368094656	427.0289773036068	426.9820045858305	427.0674095272418
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	0.02447494621520097	428.0266294023787	428.0223491360847	428.0309096686728	427.9838267394385	428.06943206531895
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	0.002603522600431297	429.02902159472035	429.0247313045044	429.0333118849363	428.98611869256086	429.07192449687983
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	3.0803372043886474e-4	430.0310454240314	430.0267451135772	430.03534573448565	429.988042319489	430.07404852857377
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	2.664610022608013e-5	431.0333346383289	431.0290243049825	431.0376449716753	430.99023130486506	431.0764379717927
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	2.285324420072626e-6	432.03541898191537	432.03109862772556	432.03973933610524	431.99221544001716	432.0786225238136
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	1.6446813245559993e-7	433.0376461981426	433.0333158216807	433.04197657460463	432.99434243352283	433.0809499627624
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	1.1216790565451179e-8	434.03976612464754	434.0354257269863	434.0441065223088	433.9963621480351	434.08317010126
path:map00230	C10H15N5O10P2	cpd:C00008	negative	[M-H]-	""	H	-1	1	-1.007276	6.816291114469613e-10	435.0419562008651	435.0376057813031	435.0463066204272	434.99845200524504	435.0854603964852
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.8629288498261157	172.52426600025998	172.52254075759998	172.52599124291999	172.50701357365995	172.54151842686002
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.11568190999306349	173.02553865991734	173.02380840453074	173.02726891530395	173.00823610605136	173.04284121378333
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.019300411488901076	173.5265321007169	173.5247968353959	173.52826736603794	173.50917944750682	173.543884753927
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	0.001893790368298843	174.02770372123257	174.02596344419536	174.02944399826978	174.01030095086045	174.04510649160468
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	1.80364724129996e-4	174.52874668263092	174.5270013951641	174.53049197009776	174.51129380796266	174.5461995572992
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	1.366828686401627e-5	175.0298679583507	175.02811765967112	175.0316182570303	175.01236497155486	175.04737094514655
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	9.450193174186882e-7	175.530935295903	175.52917998655005	175.53269060525597	175.5133822023734	175.54848838943258
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	5.703468702261014e-8	176.03203122633235	176.0302709060201	176.03379154664464	176.01442802320972	176.04963442945498
path:map00230	C10H14N5O7P	cpd:C00020	negative	[M-2H]2-	""	H2	-2	1	-1.007276	3.1001525394222818e-9	176.5331091914822	176.53134386039028	176.5348745225741	176.51545588056305	176.55076250240134
