Species	Species2	KEGG_ORG	KEGG_GENE	KEGG_UNIPROT	KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0468	B7MQG0	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0448	B7M3T7	cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1220		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_2896	D9R702	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0961	B7MS49	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0972	B7M860	cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_0565		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2771		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L107468		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_0227		cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0454	B7MQE6	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0455	B7MQE7	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0434		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0435		cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_1062	B7MPR8	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_1063	B7MPR9	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0700	B7MPM4	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0701	B7MPM5	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_1019		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_1020		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0708		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0709		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_1125		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_1126		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L107726		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L109201		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3353	D9R9C9	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3354	D9R9D0	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3355	D9R9D1	cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_1147		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_1148		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_1149		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0473		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0474		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0475		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1695		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1696		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1697		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_2411	D9R4B3	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_1041	D9R7C9	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_0748	B7MQN7	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_0818	B7M755	cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_1492		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3365	D9R9E1	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3366	D9R9E2	cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1438		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1439		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_0222	D9R1X1	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_1573	D9RA92	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_2913	B7MYB7	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_2529	B7M7I1	cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2123		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2685		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0093		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_1292		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_0943	D9R6Q6	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_1799	D9QZD1	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_2923	D9R727	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_3658	B7MZZ5	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_1822	B7MV99	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_3270	B7MYW8	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_3156		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_1673		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_3517		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2751		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2888		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_0255		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L177593		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0181		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_0328		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3827	D9R0B4	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_2184	B7MWA6	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_2004	B7M363	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_1922	D9R050	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_3782	B7N0B8	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_4458	B7N2Y5	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_3266		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_3959		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0081		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_0164		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3374	D9R9F0	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_3375	D9R9F1	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_2372	B7N2Z3	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_2374	B7MWU3	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_2093		cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_2095	B7M404	cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2554		cpd:C00001	H2O	18.0106
Lactobacillus plantarum WCFS1		lpl	lpl:lp_2557		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0069		cpd:C00001	H2O	18.0106
Lactococcus lactis IL1403		lla	lla:L0071		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_0845		cpd:C00001	H2O	18.0106
Streptococcus salivarius		stj	stj:SALIVA_0847		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_1033	D9R6Z4	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_3331	B7MZ25	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_2991		cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_0825	D9R613	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_0826	D9R614	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_0323	D9R2X0	cpd:C00001	H2O	18.0106
Clostridium saccharolyticum	Csaccharolyticum	csh	csh:Closa_0324	D9R2X1	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_2017	B7MVU3	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_3777	B7N0B3	cpd:C00001	H2O	18.0106
Escherichia coli ED1a	ED1a	ecq	ecq:ECED1_3250	B7MYU8	cpd:C00001	H2O	18.0106
Escherichia coli IAI1	IAI1	ecr	ecr:ECIAI1_1883		cpd:C00001	H2O	18.0106
