KEGG_PATHWAY	KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
path:map00230	cpd:C00002	C10H16N5O13P3	506.9957
path:map00230	cpd:C00008	C10H15N5O10P2	427.0294
path:map00230	cpd:C00011	CO2	43.9898
path:map00230	cpd:C00014	NH3	17.0265
path:map00230	cpd:C00020	C10H14N5O7P	347.0631
path:map00230	cpd:C00035	C10H15N5O11P2	443.0243
path:map00230	cpd:C00037	C2H5NO2	75.032
path:map00230	cpd:C00039	C10H17O8PR2(C5H8O5PR)n	
path:map00230	cpd:C00044	C10H16N5O14P3	522.9907
path:map00230	cpd:C00046	C10H18O13P2R2(C5H8O6PR)n	
path:map00230	cpd:C00048	C2H2O3	74.0004
path:map00230	cpd:C00053	C10H15N5O13P2S	506.9862
path:map00230	cpd:C00054	C10H15N5O10P2	427.0294
path:map00230	cpd:C00059	H2SO4	97.9674
path:map00230	cpd:C00064	C5H10N2O3	146.0691
path:map00230	cpd:C00081	C10H15N4O14P3	507.9798
path:map00230	cpd:C00086	CH4N2O	60.0324
path:map00230	cpd:C00104	C10H14N4O11P2	428.0134
path:map00230	cpd:C00117	C5H11O8P	230.0192
path:map00230	cpd:C00119	C5H13O14P3	389.9518
path:map00230	cpd:C00130	C10H13N4O8P	348.0471
path:map00230	cpd:C00131	C10H16N5O12P3	491.0008
path:map00230	cpd:C00144	C10H14N5O8P	363.058
path:map00230	cpd:C00147	C5H5N5	135.0545
path:map00230	cpd:C00169	CH4NO5P	140.9827
path:map00230	cpd:C00206	C10H15N5O9P2	411.0345
path:map00230	cpd:C00209	C2H2O4	89.9953
path:map00230	cpd:C00212	C10H13N5O4	267.0968
path:map00230	cpd:C00224	C10H14N5O10PS	427.0199
path:map00230	cpd:C00242	C5H5N5O	151.0494
path:map00230	cpd:C00262	C5H4N4O	136.0385
path:map00230	cpd:C00286	C10H16N5O13P3	506.9957
path:map00230	cpd:C00288	HCO3	60.9926
path:map00230	cpd:C00294	C10H12N4O5	268.0808
path:map00230	cpd:C00301	C15H23N5O14P2	559.0717
path:map00230	cpd:C00330	C10H13N5O4	267.0968
path:map00230	cpd:C00360	C10H14N5O6P	331.0682
path:map00230	cpd:C00361	C10H15N5O10P2	427.0294
path:map00230	cpd:C00362	C10H14N5O7P	347.0631
path:map00230	cpd:C00366	C5H4N4O3	168.0283
path:map00230	cpd:C00385	C5H4N4O2	152.0334
path:map00230	cpd:C00387	C10H13N5O5	283.0917
path:map00230	cpd:C00499	C4H8N4O4	176.0546
path:map00230	cpd:C00559	C10H13N5O3	251.1018
path:map00230	cpd:C00575	C10H12N5O6P	329.0525
path:map00230	cpd:C00603	C3H6N2O4	134.0328
path:map00230	cpd:C00620	C5H11O8P	230.0192
path:map00230	cpd:C00655	C10H13N4O9P	364.042
path:map00230	cpd:C00700	C10H15N4O15P3	523.9747
path:map00230	cpd:C00802	C3H4N2O4	132.0171
path:map00230	cpd:C00942	C10H12N5O7P	345.0474
path:map00230	cpd:C01228	C10H17N5O17P4	602.957
path:map00230	cpd:C01260	C20H28N10O19P4	836.0483
path:map00230	cpd:C01261	C20H28N10O21P4	868.0381
path:map00230	cpd:C01344	C10H14N4O10P2	412.0185
path:map00230	cpd:C01345	C10H15N4O13P3	491.9848
path:map00230	cpd:C01367	C10H14N5O7P	347.0631
path:map00230	cpd:C01444	C2H3NO3	89.0113
path:map00230	cpd:C01762	C10H12N4O6	284.0757
path:map00230	cpd:C02091	C3H7N3O3	133.0487
path:map00230	cpd:C02348	C4H6N4O3	158.044
path:map00230	cpd:C02350	C4H6N4O3	158.044
path:map00230	cpd:C02353	C10H12N5O6P	329.0525
path:map00230	cpd:C02718	C3H6N2O2	102.0429
path:map00230	cpd:C03090	C5H12NO7P	229.0351
path:map00230	cpd:C03373	C8H14N3O7P	295.0569
path:map00230	cpd:C03483	C10H17N5O16P4	586.9621
path:map00230	cpd:C03614	C10H16N4O17P4	587.9461
path:map00230	cpd:C03794	C14H18N5O11P	463.074
path:map00230	cpd:C03838	C7H15N2O8P	286.0566
path:map00230	cpd:C04051	C4H6N4O	126.0542
path:map00230	cpd:C04376	C8H15N2O9P	314.0515
path:map00230	cpd:C04392	C20H26N8O23P4	870.0061
path:map00230	cpd:C04494	C10H18N5O20P5	682.9233
path:map00230	cpd:C04640	C8H16N3O8P	313.0675
path:map00230	cpd:C04677	C9H15N4O8P	338.0628
path:map00230	cpd:C04734	C10H15N4O9P	366.0577
path:map00230	cpd:C04751	C9H14N3O9P	339.0468
path:map00230	cpd:C04823	C13H19N4O12P	454.0737
path:map00230	cpd:C05239	C3H5N3	83.0483
path:map00230	cpd:C05512	C10H12N4O4	252.0859
path:map00230	cpd:C05513	C10H12N4O7	300.0706
path:map00230	cpd:C05993	C12H16N5O8P	389.0736
path:map00230	cpd:C06193	C10H14N5O8P	363.058
path:map00230	cpd:C06194	C10H12N5O7P	345.0474
path:map00230	cpd:C06195	C3H4N2O	84.0324
path:map00230	cpd:C06196	C10H13N4O7P	332.0522
path:map00230	cpd:C06197	C20H27N10O16P3	756.0819
path:map00230	cpd:C06433	C17H18N5O8P	451.0893
path:map00230	cpd:C06435	C14H19N4O9P	418.089
path:map00230	cpd:C11821	C5H4N4O4	184.0233
path:map00230	cpd:C12248	C5H6N4O5	202.0338
path:map00230	cpd:C15667	C9H14N3O9P	339.0468
