annotation	ec
TIGR00005	5.4.99.-
TIGR00006	2.1.1.199
TIGR00007	5.3.1.16
TIGR00011	3.6.1.-
TIGR00013	5.3.2.-
TIGR00014	1.20.4.1
TIGR00016	2.7.2.1
TIGR00017	2.7.4.14
TIGR00018	6.3.2.1
TIGR00021	5.3.1.6
TIGR00023	2.3.1.-
TIGR00024	3.1.-.-
TIGR00027	2.1.1.-
TIGR00031	5.4.99.9
TIGR00032	6.3.4.5
TIGR00033	4.2.3.5
TIGR00034	2.5.1.54
TIGR00035	5.1.1.13
TIGR00036	1.17.1.8
TIGR00040	3.1.-.-
TIGR00041	2.7.4.9
TIGR00042	3.6.1.-
TIGR00045	2.7.1.31
TIGR00046	2.1.1.-
TIGR00048	2.1.1.192
TIGR00050	2.1.1.-
TIGR00052	3.6.1.-
TIGR00054	3.4.24.-
TIGR00055	2.5.1.31
TIGR00063	3.5.4.16
TIGR00066	2.3.2.2
TIGR00067	5.1.1.3
TIGR00068	4.4.1.5
TIGR00069	1.1.1.23
TIGR00070	2.4.2.17
TIGR00071	5.4.99.12
TIGR00077	3.4.23.36
TIGR00078	2.4.2.19
TIGR00079	3.5.1.88
TIGR00080	2.1.1.77
TIGR00081	6.3.2.6
TIGR00083	2.7.1.26
TIGR00083	2.7.7.2
TIGR00084	3.6.4.12
TIGR00087	3.1.3.5
TIGR00087	3.1.3.6
TIGR00088	2.1.1.228
TIGR00089	2.1.1.-
TIGR00089	2.8.1.-
TIGR00091	2.1.1.33
TIGR00093	5.4.99.-
TIGR00094	5.4.99.-
TIGR00095	2.1.1.171
TIGR00096	2.1.1.198
TIGR00097	2.7.1.49
TIGR00097	2.7.4.7
TIGR00104	2.1.1.-
TIGR00107	2.4.2.1
TIGR00109	4.99.1.1
TIGR00110	4.2.1.9
TIGR00112	1.5.1.2
TIGR00113	2.4.99.17
TIGR00114	2.5.1.78
TIGR00115	5.2.1.8
TIGR00117	4.2.1.3
TIGR00118	2.2.1.6
TIGR00119	2.2.1.6
TIGR00120	2.3.1.35
TIGR00120	2.3.1.1
TIGR00121	6.3.4.15
TIGR00124	6.2.1.22
TIGR00126	4.1.2.4
TIGR00127	1.1.1.42
TIGR00128	2.3.1.39
TIGR00131	2.7.1.6
TIGR00132	6.3.5.-
TIGR00133	6.3.5.-
TIGR00134	6.3.5.-
TIGR00135	6.3.5.-
TIGR00137	2.1.1.74
TIGR00138	2.1.1.170
TIGR00139	4.2.1.36
TIGR00140	3.4.23.-
TIGR00142	3.4.23.-
TIGR00147	2.7.1.-
TIGR00148	4.1.1.-
TIGR00151	4.6.1.12
TIGR00152	2.7.1.24
TIGR00154	2.7.1.148
TIGR00157	3.6.-.-
TIGR00160	4.2.3.3
TIGR00163	4.1.1.65
TIGR00169	1.1.1.85
TIGR00170	4.2.1.33
TIGR00171	4.2.1.33
TIGR00173	2.2.1.9
TIGR00174	2.5.1.75
TIGR00175	1.1.1.41
TIGR00178	1.1.1.42
TIGR00179	1.3.1.98
TIGR00181	3.4.24.-
TIGR00183	1.1.1.42
TIGR00184	6.3.4.4
TIGR00185	2.1.1.207
TIGR00187	2.5.1.9
TIGR00188	3.1.26.5
TIGR00189	3.1.2.-
TIGR00190	4.1.99.17
TIGR00191	2.7.1.39
TIGR00192	3.5.1.5
TIGR00193	3.5.1.5
TIGR00194	3.1.25.-
TIGR00195	3.1.11.2
TIGR00198	1.11.1.6
TIGR00199	3.5.-.-
TIGR00203	1.10.3.-
TIGR00204	2.2.1.7
TIGR00209	2.7.7.10
TIGR00211	6.1.1.14
TIGR00212	2.5.1.61
TIGR00214	2.3.1.181
TIGR00215	2.4.1.182
TIGR00216	1.17.1.2
TIGR00217	2.4.1.25
TIGR00218	5.3.1.8
TIGR00221	3.5.1.25
TIGR00222	2.1.2.11
TIGR00223	4.1.1.11
TIGR00224	4.1.1.49
TIGR00225	3.4.21.-
TIGR00227	3.5.4.-
TIGR00228	3.1.22.4
