uniprot_id	go_term
B7LIF3	GO:0009001
B7LIF4	GO:0005737
B7LIF4	GO:0010608
B7LIF4	GO:0033592
B7LIF4	GO:0034057
B7LIG4	GO:0000150
B7LIG4	GO:0003677
B7LIG9	GO:0016740
B7LIH8	GO:0016301
B7LIJ2	GO:0016020
B7LIJ2	GO:0042626
B7LIK6	GO:0006276
B7LIK6	GO:0008657
B7LIM7	GO:0016021
B7LIM7	GO:0019534
B7LIM7	GO:0043213
B7LIN6	GO:0009279
B7LIN6	GO:0016021
B7LIP0	GO:0003677
B7LIP0	GO:0004803
B7LIP0	GO:0006313
B7LIP2	GO:0016021
B7LIP2	GO:0042597
B7LIP8	GO:0008484
B7LIP8	GO:0016021
B7LIP8	GO:0016772
B7LIT1	GO:0015627
B7LIT1	GO:0015628
B7LIT1	GO:0016021
B7LIT9	GO:0009297
B7LIT9	GO:0009306
B7LIT9	GO:0019867
B7LIU6	GO:0016021
B7LIU7	GO:0016021
B7MNL2	GO:0004795
B7MNL2	GO:0006520
B7MNL2	GO:0030170
B7MNL6	GO:0004801
B7MNL6	GO:0005737
B7MNL6	GO:0005975
B7MNL6	GO:0006098
B7MNL7	GO:0006777
B7MNM1	GO:0005524
B7MNM1	GO:0006457
B7MNM1	GO:0051082
B7MNM2	GO:0005524
B7MNM2	GO:0005737
B7MNM2	GO:0006260
B7MNM2	GO:0006457
B7MNM2	GO:0008270
B7MNM2	GO:0009408
B7MNM2	GO:0031072
B7MNM2	GO:0051082
B7MNM6	GO:0005886
B7MNM6	GO:0006885
B7MNM6	GO:0015081
B7MNM6	GO:0015297
B7MNM6	GO:0016021
B7MNM7	GO:0003677
B7MNM7	GO:0003700
B7MNM8	GO:0003735
B7MNM8	GO:0005840
B7MNM8	GO:0006412
B7MNM8	GO:0019843
B7MNN0	GO:0003919
B7MNN0	GO:0005524
B7MNN0	GO:0006747
B7MNN0	GO:0008531
B7MNN0	GO:0009231
B7MNN0	GO:0009398
B7MNN1	GO:0000049
B7MNN1	GO:0002161
B7MNN1	GO:0004822
B7MNN1	GO:0005524
B7MNN1	GO:0005737
B7MNN1	GO:0006428
B7MNN1	GO:0008270
B7MNN3	GO:0003755
B7MNN4	GO:0016114
B7MNN4	GO:0019288
B7MNN4	GO:0046872
B7MNN4	GO:0050992
B7MNN4	GO:0051539
B7MNN4	GO:0051745
B7MNN5	GO:0006144
B7MNN5	GO:0006206
B7MNN5	GO:0016799
B7MNN7	GO:0005737
B7MNN7	GO:0008839
B7MNN7	GO:0009089
B7MNN7	GO:0016726
B7MNN7	GO:0019877
B7MNN7	GO:0050661
B7MNN7	GO:0051287
B7MNN8	GO:0004088
B7MNN8	GO:0005524
B7MNN8	GO:0006207
B7MNN8	GO:0006526
B7MNN8	GO:0006541
B7MNN8	GO:0016740
B7MNN8	GO:0044205
B7MNN9	GO:0004088
B7MNN9	GO:0005524
B7MNN9	GO:0006526
B7MNN9	GO:0044205
B7MNN9	GO:0046872
