order,short,long,full,GroupName,Color,Color2,Color3,ATC code
3,ac,aceta,Acetaminophen,acet,#543005,#F564E3,#a6cee3,Analgesics
3,ach,acehi,Acetaminophen high,acethi,,,,
13,a,aripi,Aripiprazole,arip,#8c510a,#619CFF,#1f78b4,Psycholeptics
12,di,digox,Digoxin,digo,#bf812d,#C77CFF,#b2df8a,Cardiac therapy
4,do,donep,Donepezil,done,#dfc27d,#FF64B0,#33a02c,Psychoanaleptics
13,d,dulox,Duloxetine,dulo,#b22222,#b22222,#b22222,Psychoanaleptics
6,e,ezeti,Ezetimibe,ezet,#7A7361,#F8766D,#fb9a99,Lipid modifying agents
9,l,levam,Levamisole,leva,#1E90FF,#00BA38,#fdbf6f,Anthelmintics
1,lo,loper,Loperamide,lope,,,,Antidiarrheals
16,me,metfo,Metformin,metf,,,,Anti-diabetics
15,mt,metro,Metronidazole,metr,,#DE8C00,#e31a1c,Antibiotics
10,m,monte,Montelukast,mont,#80cdc1,#B79F00,#ff7f00,Drugs for obstructive airway disease
8,ra,ranit,Ranitidine,rani,#35978f,#7CAE00,#cab2d6,Drugs for acid related disorders
5,ro,roflu,Roflumilast,rofl,#01665e,#00C08B,#6a3d9a,Drugs for obstructive airway disease
7,r,rosig,Rosiglitazone,rosi,#003c30,#00BFC4,#8A8A53,Anti-diabetics
17,rs,rosuv,Rosuvastatin,rosu,,,,Lipid modifying agents
11,si,simva,Simvastatin,simv,,,,Lipid modifying agents
14,s,sulfa,Sulfasalazine,sulf,#B8B8B8,#00B4F0,#8F5419,Antidiarrheals
18,te,tenof,Tenofovir,teno,,,,Antivirals
2,to,tolme,Tolmetin,tolm,,,,Antirheumatics
