Batch	Plate	Well	No	Extraction	Species_name	Incubated	Drug	Concentration	Replicate	Drug_measured	Intensity	IntensityNorm	Standard	StandardIntensity
Batch 3	Plate 1	A01	29	total	no bug	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	2571486
Batch 3	Plate 1	A02	29	total	no bug	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	2638705
Batch 3	Plate 1	A03	29	supernatant	no bug	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	1907665
Batch 3	Plate 1	A04	29	supernatant	no bug	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	2672491
Batch 3	Plate 1	A05	30	total	no bug	Yes	Duloxetine	10	1	Duloxetine	23611.56321	0.008672833316314498	Sulfamethazine_IS	2722474
Batch 3	Plate 1	A06	30	total	no bug	Yes	Duloxetine	10	2	Duloxetine	19261.05836	0.006972265720672211	Sulfamethazine_IS	2762525
Batch 3	Plate 1	A07	30	supernatant	no bug	Yes	Duloxetine	10	1	Duloxetine	11668.7593	0.00788594328140132	Sulfamethazine_IS	1479691
Batch 3	Plate 1	A08	30	supernatant	no bug	Yes	Duloxetine	10	2	Duloxetine	24970.78858	0.009064432240335995	Sulfamethazine_IS	2754810
Batch 3	Plate 1	A09	31	total	no bug	Yes	Duloxetine	20	1	Duloxetine	149805.6438	0.05771424887234151	Sulfamethazine_IS	2595644
Batch 3	Plate 1	A10	31	total	no bug	Yes	Duloxetine	20	2	Duloxetine	131538.0765	0.04886200331199629	Sulfamethazine_IS	2692032
Batch 3	Plate 1	A11	31	supernatant	no bug	Yes	Duloxetine	20	1	Duloxetine	143303.1412	0.05429403809213493	Sulfamethazine_IS	2639390
Batch 3	Plate 1	A12	31	supernatant	no bug	Yes	Duloxetine	20	2	Duloxetine	136367.3458	0.04920232583563859	Sulfamethazine_IS	2771563
Batch 3	Plate 1	B01	32	total	no bug	Yes	Duloxetine	30	1	Duloxetine	190514.8638	0.0712107932188692	Sulfamethazine_IS	2675365
Batch 3	Plate 1	B02	32	total	no bug	Yes	Duloxetine	30	2	Duloxetine	196874.3257	0.0719658019896442	Sulfamethazine_IS	2735665
Batch 3	Plate 1	B03	32	supernatant	no bug	Yes	Duloxetine	30	1	Duloxetine	229457.1769	0.08049485224420837	Sulfamethazine_IS	2850582
Batch 3	Plate 1	B04	32	supernatant	no bug	Yes	Duloxetine	30	2	Duloxetine	228176.4765	0.0810407516825148	Sulfamethazine_IS	2815577
Batch 3	Plate 1	B05	33	total	no bug	Yes	Duloxetine	40	1	Duloxetine	310681.8479	0.11205570864679146	Sulfamethazine_IS	2772566
Batch 3	Plate 1	B06	33	total	no bug	Yes	Duloxetine	40	2	Duloxetine	305363.4317	0.1071841389545171	Sulfamethazine_IS	2848961
Batch 3	Plate 1	B07	33	supernatant	no bug	Yes	Duloxetine	40	1	Duloxetine	304264.2661	0.10836629262905136	Sulfamethazine_IS	2807739
Batch 3	Plate 1	B08	33	supernatant	no bug	Yes	Duloxetine	40	2	Duloxetine	309286.6274	0.10695253612613821	Sulfamethazine_IS	2891812
Batch 3	Plate 1	B09	34	total	no bug	Yes	Duloxetine	50	1	Duloxetine	318022.2817	0.11455989629093292	Sulfamethazine_IS	2776035
Batch 3	Plate 1	B10	34	total	no bug	Yes	Duloxetine	50	2	Duloxetine	342195.4397	0.12400250026725032	Sulfamethazine_IS	2759585
Batch 3	Plate 1	B11	34	supernatant	no bug	Yes	Duloxetine	50	1	Duloxetine	381807.5331	0.1367076076390045	Sulfamethazine_IS	2792877
Batch 3	Plate 1	B12	34	supernatant	no bug	Yes	Duloxetine	50	2	Duloxetine	386678.9172	0.14045147320452406	Sulfamethazine_IS	2753114
Batch 3	Plate 1	C01	35	total	no bug	Yes	Duloxetine	70	1	Duloxetine	580419.3379	0.21135347578218938	Sulfamethazine_IS	2746202
Batch 3	Plate 1	C02	35	total	no bug	Yes	Duloxetine	70	2	Duloxetine	597631.4041	0.2148719084483799	Sulfamethazine_IS	2781338
Batch 3	Plate 1	C03	35	supernatant	no bug	Yes	Duloxetine	70	1	Duloxetine	611517.944	0.21275680332106583	Sulfamethazine_IS	2874258
Batch 3	Plate 1	C04	35	supernatant	no bug	Yes	Duloxetine	70	2	Duloxetine	607356.5366	0.21458101299095897	Sulfamethazine_IS	2830430
Batch 3	Plate 1	C05	1	total	L. lactis	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	2963722
Batch 3	Plate 1	C06	1	total	L. lactis	Yes	Duloxetine	0	2	Duloxetine	0	0	Sulfamethazine_IS	2963449
Batch 3	Plate 1	C07	1	total	L. lactis	Yes	Duloxetine	0	3	Duloxetine	0	0	Sulfamethazine_IS	2954395
Batch 3	Plate 1	C08	1	total	L. lactis	Yes	Duloxetine	0	4	Duloxetine	0	0	Sulfamethazine_IS	2980270
Batch 3	Plate 1	C09	1	supernatant	L. lactis	Yes	Duloxetine	0	1	Duloxetine	0	0	Sulfamethazine_IS	2938081
