organism	protein_id	gene_name	is_hit	n_hits	list_hits
Csaccha	D9QZ39	CLOSA_1694	FALSE	0	""
Csaccha	D9QZ40	CLOSA_1695	FALSE	0	""
Csaccha	D9QZ41	CLOSA_1696	FALSE	0	""
Csaccha	D9QZ42	CLOSA_1697	FALSE	0	""
Csaccha	D9QZ43	CLOSA_1698	FALSE	0	""
Csaccha	D9QZ44	CLOSA_1699	FALSE	0	""
Csaccha	D9QZ45	CLOSA_1700	FALSE	0	""
Csaccha	D9QZ47	CLOSA_1702	TRUE	1	0,05,10,2,50
Csaccha	D9QZ48	CLOSA_1703	TRUE	1	0,05,10,2,50
Csaccha	D9QZ49	CLOSA_1704	TRUE	1	0,05,10,2,50
Csaccha	D9QZ50	CLOSA_1705	FALSE	0	""
Csaccha	D9QZ51	CLOSA_1706	FALSE	0	""
Csaccha	D9QZ52	CLOSA_1707	FALSE	0	""
Csaccha	D9QZ53	CLOSA_1708	FALSE	0	""
Csaccha	D9QZ54	CLOSA_1709	FALSE	0	""
Csaccha	D9QZ56	CLOSA_1711	FALSE	0	""
Csaccha	D9QZ59	CLOSA_1714	FALSE	0	""
Csaccha	D9QZ62	CLOSA_1717	FALSE	0	""
Csaccha	D9QZ65	CLOSA_1720	FALSE	0	""
Csaccha	D9QZ66	CLOSA_1721	FALSE	0	""
Csaccha	D9QZ67	CLOSA_1722	FALSE	0	""
Csaccha	D9QZ69	CLOSA_1724	FALSE	0	""
Csaccha	D9QZ70	CLOSA_1725	FALSE	0	""
Csaccha	D9QZ71	CLOSA_1726	FALSE	0	""
Csaccha	D9QZ72	CLOSA_1727	FALSE	0	""
Csaccha	D9QZ73	CLOSA_1728	FALSE	0	""
Csaccha	D9QZ74	CLOSA_1729	FALSE	0	""
Csaccha	D9QZ75	CLOSA_1730	FALSE	0	""
Csaccha	D9QZ76	CLOSA_1733	FALSE	0	""
Csaccha	D9QZ79|D9RA75	CLOSA_1737|CLOSA_3522	FALSE	0	""
Csaccha	D9QZ92	CLOSA_1754	FALSE	0	""
Csaccha	D9QZ93	CLOSA_1755	FALSE	0	""
Csaccha	D9QZ99	CLOSA_1762	FALSE	0	""
Csaccha	D9QZA0	CLOSA_1763	FALSE	0	""
Csaccha	D9QZA3	CLOSA_1769	FALSE	0	""
Csaccha	D9QZA7	CLOSA_1773	FALSE	0	""
Csaccha	D9QZA9	CLOSA_1775	FALSE	0	""
Csaccha	D9QZB4	CLOSA_1782	FALSE	0	""
Csaccha	D9QZB7	CLOSA_1785	FALSE	0	""
Csaccha	D9QZC2	CLOSA_1790	FALSE	0	""
Csaccha	D9QZC3	CLOSA_1791	FALSE	0	""
Csaccha	D9QZC6	CLOSA_1794	FALSE	0	""
Csaccha	D9QZC7	CLOSA_1795	FALSE	0	""
Csaccha	D9QZD1	CLOSA_1799	FALSE	0	""
Csaccha	D9QZD3	CLOSA_1801	FALSE	0	""
Csaccha	D9QZD4	CLOSA_1802	FALSE	0	""
Csaccha	D9QZD5	CLOSA_1803	FALSE	0	""
Csaccha	D9QZD7	DEOB	FALSE	0	""
Csaccha	D9QZD8	CLOSA_1806	FALSE	0	""
Csaccha	D9QZE0	CLOSA_1808	FALSE	0	""
Csaccha	D9QZE2	CLOSA_1810	FALSE	0	""
Csaccha	D9QZE4	CLOSA_1812	FALSE	0	""
Csaccha	D9QZE5	CLOSA_1813	FALSE	0	""
Csaccha	D9QZE7	MTNK	FALSE	0	""
Csaccha	D9QZE8	MTNA	FALSE	0	""
Csaccha	D9QZE9	CLOSA_1817	FALSE	0	""
Csaccha	D9QZF3	CLOSA_1821	FALSE	0	""
Csaccha	D9QZF5	CLOSA_1823	FALSE	0	""
Csaccha	D9QZF7	CLOSA_1825	FALSE	0	""
Csaccha	D9QZF8	CLOSA_1826	FALSE	0	""
Csaccha	D9QZG0	CLOSA_1828	FALSE	0	""
Csaccha	D9QZG1	CLOSA_1829	FALSE	0	""
Csaccha	D9QZG3	CLOSA_1831	FALSE	0	""
Csaccha	D9QZG4	CLOSA_3669	FALSE	0	""
Csaccha	D9QZG6	CLOSA_3671	FALSE	0	""
Csaccha	D9QZH5	CLOSA_3681	FALSE	0	""
Csaccha	D9QZH8	CLOSA_3684	FALSE	0	""
Csaccha	D9QZI0	CLOSA_3686	FALSE	0	""
Csaccha	D9QZI1	CLOSA_3687	FALSE	0	""
Csaccha	D9QZI2	CLOSA_3688	FALSE	0	""
Csaccha	D9QZI3	CLOSA_3689	FALSE	0	""
Csaccha	D9QZI5	CLOSA_3691	FALSE	0	""
Csaccha	D9QZI6	CLOSA_3692	FALSE	0	""
Csaccha	D9QZI7	CLOSA_3693	FALSE	0	""
Csaccha	D9QZI8	CLOSA_3694	FALSE	0	""
Csaccha	D9QZI9	CLOSA_3695	FALSE	0	""
Csaccha	D9QZJ0	CLOSA_3696	FALSE	0	""
Csaccha	D9QZJ1	CLOSA_3697	FALSE	0	""
Csaccha	D9QZJ2	CLOSA_3698	FALSE	0	""
Csaccha	D9QZJ3	CLOSA_3699	FALSE	0	""
Csaccha	D9QZK2	CLOSA_3708	FALSE	0	""
Csaccha	D9QZK5	CLOSA_3711	FALSE	0	""
Csaccha	D9QZK9	CLOSA_3715	FALSE	0	""
Csaccha	D9QZM2	CLOSA_3728	FALSE	0	""
Csaccha	D9QZM3	RPSI	FALSE	0	""
Csaccha	D9QZM4	RPLM	FALSE	0	""
Csaccha	D9QZM5	TRUA	FALSE	0	""
