"Extraction","Method","test","Bugs","X.","Name","RT","Area","Height","SampleName","Condition","Replicate","Vial","Sample.Set.Name","Channel.Description","Date.Acquired","Area.norm","screen","Ctrl","Area.corrected","Condition.ctrl","Ctrl.ctrl","Bugs.ctrl","Mean.ctrl","Median.ctrl","SD.ctrl","Var.ctrl","IsNA.ctrl","Count.ctrl","Mean.base.ctrl","Condition.smpl","Ctrl.smpl","Mean.smpl","Median.smpl","SD.smpl","Var.smpl","IsNA.smpl","Count.smpl","Mean.base.smpl","Ns","Percentleft","pvalue","Mean.diff","Bugslong","Drugs","ratio","DiffCtrlSample"
"Supernatant","a",2,"Bu",1446,"aripi_peak",3.362,0,0,"Bu_dot_a_1","Bu",1,"1:A,1","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 8:26:43 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,-1
"Supernatant","a",2,"Bu",1293,"aripi_peak",3.218,78741,33831,"Bua_dot_a_2","Bua",2,"1:E,8","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 4:07:01 AM CEST",0.267992430688385,"Supernatant 2","smpl",0.267992430688385,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,0.289235598150355
"Supernatant","a",2,"Bu",1279,"aripi_peak",3.216,79140,33974,"Bua_dot_a_2","Bua",2,"1:E,8","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 4:01:29 AM CEST",0.275955855431769,"Supernatant 2","smpl",0.275955855431769,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,0.3275453766616
"Supernatant","a",2,"Bu",1448,"aripi_peak",3.362,0,0,"Bu_dot_a_2","Bu",2,"1:A,2","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 8:37:46 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,-1
"Supernatant","a",2,"Bu",1449,"aripi_peak",3.362,0,0,"Bu_dot_a_2","Bu",2,"1:A,2","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 8:43:18 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,-1
"Supernatant","a",2,"Bu",1280,"aripi_peak",3.216,100544,43861,"Bua_dot_a_1","Bua",1,"1:E,7","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 3:50:22 AM CEST",0.35100630138421,"Supernatant 2","smpl",0.35100630138421,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,0.68859179252643
"Supernatant","a",2,"Bu",1278,"aripi_peak",3.215,99963,43538,"Bua_dot_a_1","Bua",1,"1:E,7","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 3:55:54 AM CEST",0.348509570128648,"Supernatant 2","smpl",0.348509570128648,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,0.676580726372744
"Supernatant","a",2,"Bu",1281,"aripi_peak",3.216,79327,33827,"Bua_dot_a_3","Bua",3,"1:E,9","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 4:12:32 AM CEST",0.267228340143708,"Supernatant 2","smpl",0.267228340143708,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,0.285559775188202
"Supernatant","a",2,"Bu",1311,"aripi_peak",3.219,78981,33809,"Bua_dot_a_3","Bua",3,"1:E,9","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 4:18:05 AM CEST",0.266393014101989,"Supernatant 2","smpl",0.266393014101989,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,0.281541258447709
"Supernatant","a",2,"Bu",1450,"aripi_peak",3.362,0,0,"Bu_dot_a_3","Bu",3,"1:A,3","160808_hitvalid2_p1_p2","PDA Ch1 255nm@3.6nm","8/10/2016 8:48:52 AM CEST",0,"Supernatant 2","zero",0,"a","ctrl","BugFreeControl",0.209090850436204,0.207869245212333,0.00280105734370533,7.84592224272555e-06,0,6,0.209090850436204,"Bua","smpl",0.296180918646452,0.271974143060077,0.0416493108053285,0.00173466509055886,0,6,0.296180918646452,3,1.4165178343699,0.0036423786823259,0.416517834369899,"Bacteroides uniformis","aripi",2.06218112571642,-1
