METABOLITES,csh,bth,ecd
cpd:C00001,1,1,1
cpd:C00002,1,1,1
cpd:C00003,1,1,1
cpd:C00004,1,1,1
cpd:C00005,1,1,1
cpd:C00006,1,1,1
cpd:C00007,1,1,1
cpd:C00008,1,1,1
cpd:C00009,1,1,1
cpd:C00010,1,1,1
cpd:C00011,1,1,1
cpd:C00012,0,0,1
cpd:C00013,1,1,1
cpd:C00014,1,1,1
cpd:C00015,1,1,1
cpd:C00016,1,1,1
cpd:C00017,0,0,1
cpd:C00018,1,1,1
cpd:C00019,1,1,1
cpd:C00020,1,1,1
cpd:C00021,1,1,1
cpd:C00022,1,1,1
cpd:C00024,1,1,1
cpd:C00025,1,1,1
cpd:C00026,1,1,1
cpd:C00027,1,1,1
cpd:C00028,1,1,1
cpd:C00029,1,1,1
cpd:C00030,1,1,1
cpd:C00031,1,1,1
cpd:C00032,0,0,1
cpd:C00033,1,1,1
cpd:C00034,0,0,1
cpd:C00035,1,1,1
cpd:C00036,1,1,1
cpd:C00037,1,1,1
cpd:C00038,0,0,0
cpd:C00039,1,1,1
cpd:C00040,1,1,1
cpd:C00041,1,1,1
cpd:C00042,1,1,1
cpd:C00043,1,1,1
cpd:C00044,1,1,1
cpd:C00045,0,0,1
cpd:C00046,1,1,1
cpd:C00047,1,1,1
cpd:C00048,1,1,1
cpd:C00049,1,1,1
cpd:C00051,1,1,1
cpd:C00052,1,1,1
cpd:C00053,0,1,1
cpd:C00054,1,0,1
cpd:C00055,1,1,1
cpd:C00058,1,1,1
cpd:C00059,0,1,1
cpd:C00060,1,0,1
cpd:C00061,1,1,1
cpd:C00062,1,1,1
cpd:C00063,1,1,1
cpd:C00064,1,1,1
cpd:C00065,1,1,1
cpd:C00066,1,1,1
cpd:C00067,0,1,1
cpd:C00068,1,1,1
cpd:C00069,0,0,1
cpd:C00071,1,0,1
cpd:C00072,1,0,1
cpd:C00073,1,1,1
cpd:C00074,1,1,1
cpd:C00075,1,1,1
cpd:C00077,1,0,1
cpd:C00078,1,1,1
cpd:C00079,1,1,1
cpd:C00080,1,1,1
cpd:C00081,1,1,1
cpd:C00082,1,1,1
cpd:C00083,1,1,1
cpd:C00084,1,1,1
cpd:C00085,1,1,1
cpd:C00086,0,0,1
cpd:C00087,0,0,0
cpd:C00088,0,1,1
cpd:C00089,1,1,1
cpd:C00090,0,0,0
cpd:C00091,1,1,1
cpd:C00092,1,1,1
cpd:C00093,1,1,1
cpd:C00094,1,1,1
cpd:C00095,1,1,1
cpd:C00096,1,1,1
cpd:C00097,1,1,1
cpd:C00099,0,1,1
cpd:C00100,1,1,1
cpd:C00101,1,1,1
cpd:C00103,1,1,1
cpd:C00104,1,1,1
cpd:C00105,1,1,1
cpd:C00106,1,1,1
cpd:C00108,1,1,1
cpd:C00109,1,1,1
cpd:C00110,1,1,0
cpd:C00111,1,1,1
cpd:C00112,1,1,1
cpd:C00113,0,0,0
cpd:C00114,1,1,1
cpd:C00116,1,1,1
cpd:C00117,1,1,1
cpd:C00118,1,1,1
cpd:C00119,1,1,1
cpd:C00120,1,1,1
cpd:C00121,1,1,1
cpd:C00122,1,1,1
cpd:C00123,1,1,1
cpd:C00124,1,1,1
cpd:C00125,0,1,1
cpd:C00126,0,1,1
cpd:C00127,1,1,1
cpd:C00128,1,0,0
cpd:C00129,1,1,1
cpd:C00130,1,1,1
cpd:C00131,1,1,1
cpd:C00132,0,1,1
cpd:C00133,1,1,1
cpd:C00134,1,1,1
cpd:C00135,1,1,1
cpd:C00136,1,1,1
cpd:C00137,1,1,1
cpd:C00138,1,1,1
cpd:C00139,1,1,1
cpd:C00140,1,1,1
cpd:C00141,1,1,1
cpd:C00143,1,1,1
cpd:C00144,1,1,1
cpd:C00145,0,0,0
cpd:C00146,1,0,0
cpd:C00147,1,1,1
cpd:C00148,1,1,1
cpd:C00149,1,1,1
cpd:C00151,0,0,1
cpd:C00152,1,1,1
cpd:C00153,1,1,1
cpd:C00154,0,1,1
cpd:C00155,1,1,1
cpd:C00156,1,0,1
cpd:C00157,0,0,1
cpd:C00158,1,1,1
cpd:C00159,1,1,1
cpd:C00160,1,1,1
cpd:C00161,1,0,1
cpd:C00162,0,0,1
cpd:C00163,1,1,1
cpd:C00164,0,0,1
cpd:C00165,0,0,0
cpd:C00166,1,1,1
cpd:C00167,0,1,1
cpd:C00168,1,1,1
cpd:C00169,1,1,1
cpd:C00170,1,1,1
cpd:C00173,1,1,1
cpd:C00175,1,0,0
cpd:C00177,1,0,1
cpd:C00178,1,0,1
cpd:C00179,1,1,1
cpd:C00180,1,0,1
cpd:C00181,0,1,1
cpd:C00183,1,1,1
cpd:C00184,1,0,1
cpd:C00185,1,1,1
cpd:C00186,1,0,1
cpd:C00187,0,0,0
cpd:C00188,1,1,1
cpd:C00189,1,1,1
cpd:C00190,0,1,0
cpd:C00191,1,1,1
cpd:C00192,1,1,1
cpd:C00193,0,0,0
cpd:C00194,1,1,1
cpd:C00195,0,1,0
cpd:C00196,0,0,1
cpd:C00197,1,1,1
cpd:C00198,0,0,1
cpd:C00199,1,1,1
cpd:C00201,1,1,1
cpd:C00203,0,0,0
