KEGG id,Name,Sum formula,Monoisotopic mass,CAS number,PubChem id,ChEBI id,KNApSAcK id
cpd:C00001,H2O,H2O,18.0106,7732-18-5,3303,15377,n.a.
cpd:C00002,ATP,C10H16N5O13P3,506.9957,56-65-5,3304,15422,C00001491
cpd:C00003,NAD+,C21H28N7O14P2,664.1169,53-84-9,3305,15846,C00007256
cpd:C00004,NADH,C21H29N7O14P2,665.1248,58-68-4,3306,16908,C00019343
cpd:C00005,NADPH,C21H30N7O17P3,745.0911,2646-71-1,3307,16474,n.a.
cpd:C00006,NADP+,C21H29N7O17P3,744.0833,53-59-8,3308,18009,n.a.
cpd:C00007,Oxygen,O2,31.9898,7782-44-7,3309,15379,n.a.
cpd:C00008,ADP,C10H15N5O10P2,427.0294,58-64-0,3310,16761,C00019353
cpd:C00009,Orthophosphate,H3PO4,97.9769,7664-38-2,3311,18367,C00007408
cpd:C00010,CoA,C21H36N7O16P3S,767.1152,85-61-0,3312,15346,C00007258
cpd:C00011,CO2,CO2,43.9898,124-38-9,3313,16526,n.a.
cpd:C00012,Peptide,C2H4NO2R(C2H2NOR)n,0,n.a,3314,16670,n.a.
cpd:C00013,Diphosphate,H4P2O7,177.9432,03/09/2466,3315,18361,C00019561
cpd:C00014,Ammonia,NH3,17.0265,7664-41-7,3316,16134,C00007267
cpd:C00015,UDP,C9H14N2O12P2,404.0022,58-98-0,3317,17659,C00007313
cpd:C00016,FAD,C27H33N9O15P2,785.1571,146-14-5,3318,16238,C00001500
cpd:C00017,Protein,C2H4NO2R(C2H2NOR)n,0,n.a,3319,16541,n.a.
cpd:C00018,Pyridoxal phosphate,C8H10NO6P,247.0246,54-47-7,3320,18405,C00007503
cpd:C00019,S-Adenosyl-L-methionine,C15H22N6O5S,398.1372,29908-03-0,3321,15414,C00007347
cpd:C00020,AMP,C10H14N5O7P,347.0631,61-19-8,3322,16027,C00019347
cpd:C00021,S-Adenosyl-L-homocysteine,C14H20N6O5S,384.1216,979-92-0,3323,16680,C00007230
cpd:C00022,Pyruvate,C3H4O3,88.016,127-17-3,3324,32816,C00001200
cpd:C00023,Iron,Fe,55.9349,7439-89-6,3325,18248,n.a.
cpd:C00024,Acetyl-CoA,C23H38N7O17P3S,809.1258,72-89-9,3326,15351,C00007259
cpd:C00025,L-Glutamate,C5H9NO4,147.0532,56-86-0,3327,16015,C00001358
cpd:C00026,2-Oxoglutarate,C5H6O5,146.0215,328-50-7,3328,30915,C00000769
cpd:C00027,Hydrogen peroxide,H2O2,34.0055,7722-84-1,3329,16240,n.a.
cpd:C00028,Acceptor,n.a.,0,n.a,3330,15339,n.a.
cpd:C00029,UDP-glucose,C15H24N2O17P2,566.055,133-89-1,3331,18066,C00001514
cpd:C00030,Reduced acceptor,n.a.,0,n.a,3332,17499,n.a.
cpd:C00031,D-Glucose,C6H12O6,180.0634,50-99-7,3333,4167,C00042470
cpd:C00032,Heme,C34H32FeN4O4,616.1773,14875-96-8,3334,17627,n.a.
