"Control"	"Du"
"A0A0H3W5U9"	4	4
"D6DDN4"	4	4
"D6DDN5"	4	4
"D9R8T7"	4	4
"D6DDX3"	4	4
"D6DDZ1"	4	4
"D6DE04"	4	4
"D6DE22"	4	4
"D6DE96"	4	4
"D6DED4"	4	4
"D6DEP3"	4	4
"D6DEU1"	4	4
"D6DEY9"	4	4
"D6DF39"	4	4
"D6DFB5"	4	2
"D6DFB9"	4	4
"D6DFJ7"	4	4
"D6DFR1"	4	4
"D6DFV8"	4	4
"D6DG42"	4	4
"D6DGE8"	4	4
"D6DGR1"	4	4
"D9R3V6"	4	3
"D6DGZ9"	4	4
"D9R8L7"	4	4
"D6DHU1"	4	4
"D6DHU5"	4	4
"D6DHX9"	4	4
"D9R9V0"	4	4
"D6DII1"	4	4
"D6DIR4"	4	4
"D6DJP1"	4	4
"D6DJW6"	4	3
"D6DJY1"	4	4
"D9R1A4"	1	1
"D9R025"	4	4
"D6DK98"	4	4
"D6DKC9"	4	4
"D6DKH9"	4	4
"D9R6M1"	3	4
"D6DKU5"	4	4
"D6DKZ9"	4	4
"D6DL67"	4	4
"D6DLI8"	4	4
"D6DLT0"	3	4
"D6DLV1"	4	4
"D6DLV6"	4	3
"D6DM03"	4	4
"D6DM14"	4	4
"D6DM48"	4	4
"D9QZ39"	4	4
"D9QZ43"	0	0
"D9QZ44"	0	0
"D9QZ45"	2	0
"D9QZ48"	1	2
"D9QZ49"	0	0
"D9QZ50"	1	0
"D9QZ53"	4	2
"D9QZ54"	3	4
"D9QZ62"	3	0
"D9QZ67"	4	4
"D9QZ69"	4	4
"D9QZ70"	4	4
"D9QZ71"	0	0
"D9QZ73"	4	0
"D9QZ75"	4	3
"D9RA69"	4	4
"D9QZB4"	0	0
"D9QZE4"	3	2
"D9QZE9"	4	0
"D9QZG4"	4	4
"D9QZI2"	4	3
"D9QZM3"	2	0
"D9QZM4"	2	0
"D9QZM8"	4	4
"D9QZN1"	0	0
"D9QZN2"	0	0
"D9QZN3"	0	0
"D9QZN4"	1	0
"D9QZN5"	3	0
"D9QZN6"	4	4
"D9QZN7"	3	0
"D9QZP0"	3	3
"D9QZP1"	4	4
"D9QZP2"	3	0
"D9QZP3"	0	0
"D9QZP4"	0	0
"D9QZP5"	3	0
"D9QZP6"	0	0
"D9QZP7"	0	0
"D9QZP9"	0	0
"D9QZQ0"	3	2
"D9QZQ1"	0	0
"D9QZQ2"	2	0
"D9QZQ3"	2	3
"D9QZQ4"	4	2
"D9QZQ5"	0	0
"D9QZQ6"	0	0
"D9QZQ7"	2	0
"D9QZQ8"	0	0
"D9QZQ9"	2	0
"D9QZR0"	0	0
"D9QZR1"	0	0
"D9QZR2"	0	0
"D9QZR4"	4	4
"D9QZS4"	0	0
"D9QZS5"	0	0
"D9QZS6"	0	0
"D9QZS7"	0	0
"D9QZS8"	0	0
"D9QZS9"	0	0
"D9QZT0"	0	0
"D9QZT2"	0	0
"D9QZT3"	0	0
"D9QZT6"	3	4
"D9QZU2"	4	0
"D9QZU3"	4	0
"D9QZU5"	2	0
"D9QZU9"	0	0
"D9QZV0"	0	0
"D9QZV7"	4	4
"D9QZV8"	4	1
"D9QZW0"	4	4
"D9QZW6"	0	1
"D9QZX6"	4	1
"D9QZX7"	0	0
"D9QZX8"	0	0
"D9QZX9"	0	0
"D9QZY0"	1	0
"D9QZY1"	0	1
"D9QZY2"	0	0
"D9QZY3"	0	0
"D9QZY4"	0	0
"D9QZY5"	0	0
"D9QZY7"	3	0
"D9QZY8"	4	0
"D9QZZ2"	2	0
"D9QZZ6"	3	4
"D9R001"	4	3
"D9R006"	4	2
"D9R007"	1	0
"D9R009"	0	0
"D9R010"	3	1
"D9R012"	4	0
"D9R013"	4	4
"D9R019"	4	3
"D9R022"	4	4
"D9R023"	0	0
"D9R032"	0	0
"D9R037"	4	3
"D9R040"	4	4
"D9R042"	0	0
"D9R045"	0	0
"D9R048"	4	4
"D9R049"	1	0
"D9R050"	0	0
"D9R054"	3	1
"D9R062"	2	1
"D9R074"	4	3
"D9R075"	4	3
"D9R077"	4	1
