Control_1	Control_2	Control_3	Control_4	Du_1	Du_2	Du_3	Du_4
D9R1A4	19.1755787878367	20.5849955210122	NA	19.0317119703667	NA	22.0411631506573	22.2538717161675	22.6780748288147
D9QZ43	18.6531949633098	18.9566257211791	17.8207773014191	19.5242241316904	19.2286543115795	19.0478800890544	19.6187188632689	19.2038068024878
D9QZ44	20.6074748072187	18.2052396112667	18.195083793373	22.1140066250491	21.6692985893071	21.1119710761528	21.278326941551	20.9313521488361
D9QZ45	NA	20.5126787445497	NA	20.9353147085571	20.9464237195234	21.7923724931859	21.3151208092784	21.8276466247212
D9QZ48	14.4807271007376	16.3001380278674	NA	17.5297050598154	NA	NA	18.2582899816441	18.5944120868222
D9QZ49	17.7715926333636	18.2851854515204	17.1566953962928	18.0463886559828	17.9080641863678	18.7053286443258	18.8985895790214	18.7447812908316
D9QZ50	18.079318104254	17.3957349420659	NA	19.0718237033591	21.6256464228969	22.7859233489857	22.4760292262595	22.506832486614
D9QZ62	NA	NA	NA	16.2386846224811	18.8754074002354	18.7099790247805	18.4627977979864	19.0494497541838
D9QZ71	18.498257101505	18.7080263428719	18.5204882403947	18.984373952468	20.5439682527522	20.2787806549098	21.2318680429898	21.0425998817129
D9QZ73	NA	NA	NA	NA	19.8275380890397	20.5398100825869	21.05920184905	21.5028570491448
D9QZB4	18.7544699952756	18.6634121707238	16.5062920828321	19.0959687043486	20.9649387077848	21.3188208081577	22.9762249730286	21.7495601274905
D9QZE9	NA	NA	NA	NA	17.975165051329	18.1762608210287	19.7173116070527	19.1643275488161
D9QZM3	NA	NA	17.3807654275652	19.480399723329	21.0925532773077	21.8908194092144	21.5753785921189	20.8494203732992
D9QZM4	NA	19.2264686410417	NA	20.3681568629843	21.2394633448367	22.3505140810525	23.4734550617965	21.8526620860309
D9QZN1	20.6109022806378	21.1214879872252	20.5745935273376	21.7895495644517	22.1962551168668	23.2513165482977	22.9928609078025	22.8670094582475
D9QZN2	19.5822779925452	19.5379918456723	19.1172068019709	20.1265381194176	23.1889714989449	23.0774905283829	24.0727560943292	23.4196979168742
D9QZN3	17.9894277637653	17.8940953825311	18.1321482508036	20.2340923470598	20.8369194689051	22.4637358896047	21.8236098085851	21.6892745868055
D9QZN4	20.9794558987207	21.3332536410466	NA	20.5136427907205	22.4403774955588	22.2951601959409	22.3335266357379	21.8151111886375
D9QZN5	NA	NA	NA	19.3290210807218	20.985236018363	22.0118168994163	22.698841988071	21.742875180794
D9QZN7	NA	19.1826756173755	NA	NA	21.2592559335002	21.99095846013	20.8951906544336	21.2463230916053
D9QZP2	NA	NA	NA	21.0849848115794	22.9832190895419	24.4645711757913	24.340823716009	23.5183333126793
D9QZP3	21.0421990774206	19.2780319513326	20.1866462513296	20.5544052357065	20.7938414105107	21.0219477967195	20.8150329874265	21.5461370812884
D9QZP4	22.0857304825798	21.8346839868418	21.3002251855271	22.7815077986215	23.9528706139903	24.8182162586546	25.3887031636422	24.959828286829
D9QZP5	NA	NA	NA	19.7563934368118	21.3792535508152	21.8314788975725	21.3778777411796	19.8209019241498
D9QZP6	20.0574841187989	19.5945943258222	19.4643542972063	21.0167892486167	22.2547368487438	23.1858602556464	22.9568277512611	22.2813301372768
D9QZP7	21.3504601253316	20.8831563641389	20.4976530598396	22.2733266544029	22.6907030928483	22.0283701511733	22.7723741823293	22.6895092147188
D9QZP9	17.3168118368582	18.4586389048368	16.6834607077285	20.3214657314393	21.2585660338899	20.289852292177	20.0081276644558	20.7341340466321
D9QZQ1	20.232453718734	19.9845408441382	16.9804743226132	20.3415839723812	21.9389076153323	22.8735762830121	23.0435346589277	22.5617177253151
D9QZQ2	18.1157853774164	NA	NA	20.5535618009903	19.8601170269398	21.3993697258126	20.9317128316153	20.896521622225
