Control	Du	randna
D9R1A4	1	1	TRUE
D9QZ43	0	0	TRUE
D9QZ44	0	0	TRUE
D9QZ45	2	0	TRUE
D9QZ48	1	2	TRUE
D9QZ49	0	0	TRUE
D9QZ50	1	0	TRUE
D9QZ62	3	0	FALSE
D9QZ71	0	0	TRUE
D9QZ73	4	0	FALSE
D9QZB4	0	0	TRUE
D9QZE9	4	0	FALSE
D9QZM3	2	0	TRUE
D9QZM4	2	0	TRUE
D9QZN1	0	0	TRUE
D9QZN2	0	0	TRUE
D9QZN3	0	0	TRUE
D9QZN4	1	0	TRUE
D9QZN5	3	0	FALSE
D9QZN7	3	0	FALSE
D9QZP2	3	0	FALSE
D9QZP3	0	0	TRUE
D9QZP4	0	0	TRUE
D9QZP5	3	0	FALSE
D9QZP6	0	0	TRUE
D9QZP7	0	0	TRUE
D9QZP9	0	0	TRUE
D9QZQ1	0	0	TRUE
D9QZQ2	2	0	TRUE
D9QZQ5	0	0	TRUE
D9QZQ6	0	0	TRUE
D9QZQ7	2	0	TRUE
D9QZQ8	0	0	TRUE
D9QZQ9	2	0	TRUE
D9QZR0	0	0	TRUE
D9QZR1	0	0	TRUE
D9QZR2	0	0	TRUE
D9QZS4	0	0	TRUE
D9QZS5	0	0	TRUE
D9QZS6	0	0	TRUE
D9QZS7	0	0	TRUE
D9QZS8	0	0	TRUE
D9QZS9	0	0	TRUE
D9QZT0	0	0	TRUE
D9QZT2	0	0	TRUE
D9QZT3	0	0	TRUE
D9QZU2	4	0	FALSE
D9QZU3	4	0	FALSE
D9QZU5	2	0	TRUE
D9QZU9	0	0	TRUE
D9QZV0	0	0	TRUE
D9QZV8	4	1	FALSE
D9QZW6	0	1	TRUE
D9QZX6	4	1	FALSE
D9QZX7	0	0	TRUE
D9QZX8	0	0	TRUE
D9QZX9	0	0	TRUE
D9QZY0	1	0	TRUE
D9QZY1	0	1	TRUE
D9QZY2	0	0	TRUE
D9QZY3	0	0	TRUE
D9QZY4	0	0	TRUE
D9QZY5	0	0	TRUE
D9QZY7	3	0	FALSE
D9QZY8	4	0	FALSE
D9QZZ2	2	0	TRUE
D9R007	1	0	TRUE
D9R009	0	0	TRUE
D9R010	3	1	TRUE
D9R012	4	0	FALSE
D9R023	0	0	TRUE
