Well	Species	Concentration	Replicate	Time	OD
A1	B. thetaiotaomicron	1000	1	0	0.142
A1	B. thetaiotaomicron	1000	1	1	0.139
A1	B. thetaiotaomicron	1000	1	2	0.137
A1	B. thetaiotaomicron	1000	1	3	0.135
A1	B. thetaiotaomicron	1000	1	4	0.133
A1	B. thetaiotaomicron	1000	1	5	0.13
A1	B. thetaiotaomicron	1000	1	6	0.127
A1	B. thetaiotaomicron	1000	1	7	0.125
A1	B. thetaiotaomicron	1000	1	8	0.123
A1	B. thetaiotaomicron	1000	1	9	0.12
A1	B. thetaiotaomicron	1000	1	10	0.118
A1	B. thetaiotaomicron	1000	1	11	0.116
A1	B. thetaiotaomicron	1000	1	12	0.114
A1	B. thetaiotaomicron	1000	1	13	0.113
A1	B. thetaiotaomicron	1000	1	14	0.112
A1	B. thetaiotaomicron	1000	1	15	0.111
A1	B. thetaiotaomicron	1000	1	16	0.11
A1	B. thetaiotaomicron	1000	1	17	0.109
A1	B. thetaiotaomicron	1000	1	18	0.109
A1	B. thetaiotaomicron	1000	1	19	0.109
A1	B. thetaiotaomicron	1000	1	20	0.108
A1	B. thetaiotaomicron	1000	1	21	0.108
A1	B. thetaiotaomicron	1000	1	22	0.107
A1	B. thetaiotaomicron	1000	1	23	0.107
A1	B. thetaiotaomicron	1000	1	24	0.107
A1	B. thetaiotaomicron	1000	2	0	0.14
A1	B. thetaiotaomicron	1000	2	1	0.138
A1	B. thetaiotaomicron	1000	2	2	0.136
A1	B. thetaiotaomicron	1000	2	3	0.133
A1	B. thetaiotaomicron	1000	2	4	0.131
A1	B. thetaiotaomicron	1000	2	5	0.127
A1	B. thetaiotaomicron	1000	2	6	0.125
A1	B. thetaiotaomicron	1000	2	7	0.122
A1	B. thetaiotaomicron	1000	2	8	0.119
A1	B. thetaiotaomicron	1000	2	9	0.117
A1	B. thetaiotaomicron	1000	2	10	0.115
A1	B. thetaiotaomicron	1000	2	11	0.113
A1	B. thetaiotaomicron	1000	2	12	0.112
A1	B. thetaiotaomicron	1000	2	13	0.11
A1	B. thetaiotaomicron	1000	2	14	0.11
A1	B. thetaiotaomicron	1000	2	15	0.109
A1	B. thetaiotaomicron	1000	2	16	0.108
A1	B. thetaiotaomicron	1000	2	17	0.107
A1	B. thetaiotaomicron	1000	2	18	0.107
A1	B. thetaiotaomicron	1000	2	19	0.106
A1	B. thetaiotaomicron	1000	2	20	0.106
A1	B. thetaiotaomicron	1000	2	21	0.106
A1	B. thetaiotaomicron	1000	2	22	0.105
A1	B. thetaiotaomicron	1000	2	23	0.105
A1	B. thetaiotaomicron	1000	2	24	0.105
A1	B. thetaiotaomicron	1000	3	0	0.155
A1	B. thetaiotaomicron	1000	3	1	0.151
A1	B. thetaiotaomicron	1000	3	2	0.148
A1	B. thetaiotaomicron	1000	3	3	0.146
A1	B. thetaiotaomicron	1000	3	4	0.143
A1	B. thetaiotaomicron	1000	3	5	0.141
A1	B. thetaiotaomicron	1000	3	6	0.139
A1	B. thetaiotaomicron	1000	3	7	0.135
A1	B. thetaiotaomicron	1000	3	8	0.132
A1	B. thetaiotaomicron	1000	3	9	0.129
A1	B. thetaiotaomicron	1000	3	10	0.127
A1	B. thetaiotaomicron	1000	3	11	0.125
A1	B. thetaiotaomicron	1000	3	12	0.123
A1	B. thetaiotaomicron	1000	3	13	0.122
A1	B. thetaiotaomicron	1000	3	14	0.12
A1	B. thetaiotaomicron	1000	3	15	0.119
A1	B. thetaiotaomicron	1000	3	16	0.118
A1	B. thetaiotaomicron	1000	3	17	0.117
A1	B. thetaiotaomicron	1000	3	18	0.117
A1	B. thetaiotaomicron	1000	3	19	0.116
A1	B. thetaiotaomicron	1000	3	20	0.115
A1	B. thetaiotaomicron	1000	3	21	0.115
A1	B. thetaiotaomicron	1000	3	22	0.114
A1	B. thetaiotaomicron	1000	3	23	0.114
A1	B. thetaiotaomicron	1000	3	24	0.114
A2	B. thetaiotaomicron	500	1	0	0.151
A2	B. thetaiotaomicron	500	1	1	0.148
A2	B. thetaiotaomicron	500	1	2	0.145
A2	B. thetaiotaomicron	500	1	3	0.143
A2	B. thetaiotaomicron	500	1	4	0.14
A2	B. thetaiotaomicron	500	1	5	0.137
A2	B. thetaiotaomicron	500	1	6	0.133
A2	B. thetaiotaomicron	500	1	7	0.131
A2	B. thetaiotaomicron	500	1	8	0.129
A2	B. thetaiotaomicron	500	1	9	0.127
A2	B. thetaiotaomicron	500	1	10	0.125
A2	B. thetaiotaomicron	500	1	11	0.124
A2	B. thetaiotaomicron	500	1	12	0.122
A2	B. thetaiotaomicron	500	1	13	0.121
A2	B. thetaiotaomicron	500	1	14	0.121
A2	B. thetaiotaomicron	500	1	15	0.12
A2	B. thetaiotaomicron	500	1	16	0.119
A2	B. thetaiotaomicron	500	1	17	0.118
A2	B. thetaiotaomicron	500	1	18	0.126
A2	B. thetaiotaomicron	500	1	19	0.118
A2	B. thetaiotaomicron	500	1	20	0.118
A2	B. thetaiotaomicron	500	1	21	0.117
A2	B. thetaiotaomicron	500	1	22	0.117
A2	B. thetaiotaomicron	500	1	23	0.118
A2	B. thetaiotaomicron	500	1	24	0.117
A2	B. thetaiotaomicron	500	2	0	0.142
A2	B. thetaiotaomicron	500	2	1	0.139
A2	B. thetaiotaomicron	500	2	2	0.137
A2	B. thetaiotaomicron	500	2	3	0.134
A2	B. thetaiotaomicron	500	2	4	0.13
A2	B. thetaiotaomicron	500	2	5	0.126
A2	B. thetaiotaomicron	500	2	6	0.124
A2	B. thetaiotaomicron	500	2	7	0.121
A2	B. thetaiotaomicron	500	2	8	0.118
A2	B. thetaiotaomicron	500	2	9	0.117
A2	B. thetaiotaomicron	500	2	10	0.115
A2	B. thetaiotaomicron	500	2	11	0.113
A2	B. thetaiotaomicron	500	2	12	0.112
A2	B. thetaiotaomicron	500	2	13	0.111
A2	B. thetaiotaomicron	500	2	14	0.11
A2	B. thetaiotaomicron	500	2	15	0.11
A2	B. thetaiotaomicron	500	2	16	0.109
A2	B. thetaiotaomicron	500	2	17	0.109
A2	B. thetaiotaomicron	500	2	18	0.108
A2	B. thetaiotaomicron	500	2	19	0.107
A2	B. thetaiotaomicron	500	2	20	0.107
A2	B. thetaiotaomicron	500	2	21	0.107
A2	B. thetaiotaomicron	500	2	22	0.107
A2	B. thetaiotaomicron	500	2	23	0.106
A2	B. thetaiotaomicron	500	2	24	0.107
A2	B. thetaiotaomicron	500	3	0	0.144
A2	B. thetaiotaomicron	500	3	1	0.141
A2	B. thetaiotaomicron	500	3	2	0.139
A2	B. thetaiotaomicron	500	3	3	0.136
A2	B. thetaiotaomicron	500	3	4	0.133
A2	B. thetaiotaomicron	500	3	5	0.13
A2	B. thetaiotaomicron	500	3	6	0.127
A2	B. thetaiotaomicron	500	3	7	0.123
A2	B. thetaiotaomicron	500	3	8	0.121
A2	B. thetaiotaomicron	500	3	9	0.119
A2	B. thetaiotaomicron	500	3	10	0.117
A2	B. thetaiotaomicron	500	3	11	0.115
A2	B. thetaiotaomicron	500	3	12	0.114
A2	B. thetaiotaomicron	500	3	13	0.113
A2	B. thetaiotaomicron	500	3	14	0.113
A2	B. thetaiotaomicron	500	3	15	0.111
A2	B. thetaiotaomicron	500	3	16	0.111
A2	B. thetaiotaomicron	500	3	17	0.11
A2	B. thetaiotaomicron	500	3	18	0.11
A2	B. thetaiotaomicron	500	3	19	0.109
A2	B. thetaiotaomicron	500	3	20	0.109
