Well	Species	Concentration
A1	B. thetaiotaomicron	1000
A2	B. thetaiotaomicron	500
A3	B. thetaiotaomicron	125
A4	B. thetaiotaomicron	75
A5	B. thetaiotaomicron	60
A6	B. thetaiotaomicron	50
A7	B. thetaiotaomicron	40
A8	B. thetaiotaomicron	30
A9	B. thetaiotaomicron	20
A10	B. thetaiotaomicron	10
A11	B. thetaiotaomicron	5
A12	B. thetaiotaomicron	0
B1	S. salivarius	1000
B2	S. salivarius	500
B3	S. salivarius	125
B4	S. salivarius	75
B5	S. salivarius	60
B6	S. salivarius	50
B7	S. salivarius	40
B8	S. salivarius	30
B9	S. salivarius	20
B10	S. salivarius	10
B11	S. salivarius	5
B12	S. salivarius	0
C1	E. rectale	1000
C2	E. rectale	500
C3	E. rectale	125
C4	E. rectale	75
C5	E. rectale	60
C6	E. rectale	50
C7	E. rectale	40
C8	E. rectale	30
C9	E. rectale	20
C10	E. rectale	10
C11	E. rectale	5
C12	E. rectale	0
D1	B. uniformis	1000
D2	B. uniformis	500
D3	B. uniformis	125
D4	B. uniformis	75
D5	B. uniformis	60
D6	B. uniformis	50
D7	B. uniformis	40
D8	B. uniformis	30
D9	B. uniformis	20
D10	B. uniformis	10
D11	B. uniformis	5
D12	B. uniformis	0
E1	C. saccharolyticum	1000
E2	C. saccharolyticum	500
E3	C. saccharolyticum	125
E4	C. saccharolyticum	75
E5	C. saccharolyticum	60
E6	C. saccharolyticum	50
E7	C. saccharolyticum	40
E8	C. saccharolyticum	30
E9	C. saccharolyticum	20
E10	C. saccharolyticum	10
E11	C. saccharolyticum	5
E12	C. saccharolyticum	0
F1	R. torques	1000
F2	R. torques	500
F3	R. torques	125
F4	R. torques	75
F5	R. torques	60
F6	R. torques	50
F7	R. torques	40
F8	R. torques	30
F9	R. torques	20
F10	R. torques	10
F11	R. torques	5
F12	R. torques	0
G1	L. gasseri	1000
G2	L. gasseri	500
G3	L. gasseri	125
G4	L. gasseri	75
G5	L. gasseri	60
G6	L. gasseri	50
G7	L. gasseri	40
G8	L. gasseri	30
G9	L. gasseri	20
G10	L. gasseri	10
G11	L. gasseri	5
G12	L. gasseri	0
H1	empty	1000
H2	empty	500
H3	empty	125
H4	empty	75
H5	empty	60
H6	empty	50
H7	empty	40
H8	empty	30
H9	empty	20
H10	empty	10
H11	empty	5
H12	empty	0
