x,Sample,Date,Condition
1,Marty1081,1,+Bu;+D
2,Marty10810,1,-Bu;-D
3,Marty10811,1,-Bu;-D
4,Marty10812,1,-Bu;-D
5,Marty1082,1,+Bu;+D
6,Marty1083,1,+Bu;+D
7,Marty1084,1,-Bu;+D
8,Marty1085,1,-Bu;+D
9,Marty1086,1,-Bu;+D
10,Marty1087,1,+Bu;-D
11,Marty1088,1,+Bu;-D
12,Marty1089,1,+Bu;-D
13,Marty1281,2,+Bu;+D
14,Marty12810,2,-Bu;-D
15,Marty12811,2,-Bu;-D
16,Marty12812,2,-Bu;-D
17,Marty1282,2,+Bu;+D
18,Marty1283,2,+Bu;+D
19,Marty1284,2,-Bu;+D
20,Marty1285,2,-Bu;+D
21,Marty1286,2,-Bu;+D
22,Marty1287,2,+Bu;-D
23,Marty1288,2,+Bu;-D
24,Marty1289,2,+Bu;-D
25,Marty1481,3,+Bu;+D
26,Marty14810,3,-Bu;-D
27,Marty14811,3,-Bu;-D
28,Marty14812,3,-Bu;-D
29,Marty1482,3,+Bu;+D
30,Marty1483,3,+Bu;+D
31,Marty1484,3,-Bu;+D
32,Marty1485,3,-Bu;+D
33,Marty1486,3,-Bu;+D
34,Marty1487,3,+Bu;-D
35,Marty1488,3,+Bu;-D
36,Marty1489,3,+Bu;-D
37,Marty1681,4,+Bu;+D
38,Marty16810,4,-Bu;-D
39,Marty16811,4,-Bu;-D
40,Marty16812,4,-Bu;-D
41,Marty1682,4,+Bu;+D
42,Marty1683,4,+Bu;+D
43,Marty1684,4,-Bu;+D
44,Marty1685,4,-Bu;+D
45,Marty1686,4,-Bu;+D
46,Marty1687,4,+Bu;-D
47,Marty1688,4,+Bu;-D
48,Marty1689,4,+Bu;-D
49,Marty1881,5,+Bu;+D
50,Marty18810,5,-Bu;-D
51,Marty18811,5,-Bu;-D
52,Marty18812,5,-Bu;-D
53,Marty1882,5,+Bu;+D
54,Marty1883,5,+Bu;+D
55,Marty1884,5,-Bu;+D
56,Marty1885,5,-Bu;+D
57,Marty1886,5,-Bu;+D
58,Marty1887,5,+Bu;-D
59,Marty1888,5,+Bu;-D
60,Marty1889,5,+Bu;-D
61,Marty881_a,0,-Bu;-D
62,Marty881Plus_a,0,+Bu;-D
63,Marty882_a,0,-Bu;-D
64,Marty882Plus_a,0,+Bu;-D
65,Marty883_a,0,-Bu;-D
66,Marty883Plus_a,0,+Bu;-D
67,Marty88Bt,0,Bt;-D
68,Marty88Bu,0,Bu;-D
69,Marty88Er,0,Er;-D
70,Marty88Lg,0,Lg;-D
71,Marty88Rt,0,Rt;-D
72,Marty88Ss,0,Ss;-D
73,Marty881_b,0,-Bu;+D
74,Marty881Plus_b,0,+Bu;+D
75,Marty882_b,0,-Bu;+D
76,Marty882Plus_b,0,+Bu;+D
77,Marty883_b,0,-Bu;+D
78,Marty883Plus_b,0,+Bu;+D
