Sample,B. thetaiotaomicron,B. uniformis,E. rectale,L. gasseri,R. torques,S. salivarius
Marty1081,15.84641726,17.72822179,52.34552246,0.89697414,0.021735887,13.16112846
Marty10810,21.07550096,0.0128186,55.62246844,0.821909631,0.025067484,22.44223489
Marty10811,22.11942387,0.014474648,53.57549756,0.656184048,0.020371727,23.61404815
Marty10812,18.41258641,0.011742338,62.52559873,0.61999542,0.020875267,18.40920183
Marty1082,12.67077016,14.36266151,61.16939974,0.746345286,0.020149115,11.03067419
Marty1083,14.56265,16.15532047,55.77510232,0.733091702,0.018570477,12.75526503
Marty1084,23.48255985,0.028929494,56.25673909,1.949732507,0.028270132,18.25376893
Marty1085,20.27777078,0.012530855,60.95007986,2.080678896,0.024597605,16.654342
Marty1086,23.34562519,0.018218729,55.96793574,1.757769972,0.02572552,18.88472484
Marty1087,14.22122988,19.65727106,48.73860912,0.622529358,0.018551643,16.74180894
Marty1088,11.12660054,16.59910257,57.25958014,0.58707022,0.013049263,14.41459727
Marty1089,14.24956297,20.01503113,46.58043608,0.731335349,0.017580177,18.40605429
Marty1281,20.05730332,19.12798807,48.44075008,0.713444012,0.017868887,11.64264563
Marty12810,48.36811546,0.041147015,1.170403994,0.333240026,0.002201281,50.08489222
Marty12811,50.82910519,0.028732506,0.919440184,0.448368978,0.001773611,47.77257954
Marty12812,50.49930731,0.015102816,1.288773666,0.337109778,0.000559364,47.85914706
Marty1282,20.11472579,20.87327857,45.65143772,0.89010549,0.023878401,12.44657403
Marty1283,19.05920582,20.44385924,47.8766296,0.914981724,0.022241802,11.68308181
Marty1284,27.13361792,0.020726753,52.11297999,2.634600655,0.026100356,18.07197432
Marty1285,31.55490406,0.023574574,46.1253379,2.096515553,0.022826175,20.17684174
Marty1286,26.56263923,0.010475901,49.837354,1.897560772,0.022115791,21.66985431
Marty1287,23.47746915,45.72763486,0,0.129785555,0.000426926,30.66468351
Marty1288,23.16644631,44.63238435,0.200679542,0.104985131,0.000464536,31.89504014
Marty1289,23.59633813,43.82543947,0.273561702,0.130448404,0.000316622,32.17389568
