Well	OD578	Hour	Plate	BugsGrow	Annotation	species.code	Concentration	Replicate	Condition
F1	0.126	0	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.125	1	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.699	18	Plate10_Er2	Er	0	Ctrl	0	3	fresh
F1	0.684	19	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F1	0.671	20	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.663	21	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.651	22	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.644	23	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.639	24	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.634	25	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.629	26	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.626	27	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.624	28	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.622	29	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.622	30	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.622	31	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.622	32	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F1	0.623	33	Plate10_Er2	Er	0	Ctrl	0	1	fresh
F2	0.124	0	Plate10_Er2	Er	0	Ctrl	0	4	fresh
F2	0.121	1	Plate10_Er2	Er	0	Ctrl	0	3	fresh
F2	0.71	18	Plate10_Er2	Er	0	Ctrl	0	6	fresh
F2	0.693	19	Plate10_Er2	Er	0	Ctrl	0	4	fresh
F2	0.681	20	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.671	21	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.668	22	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.66	23	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.651	24	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.646	25	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.644	26	Plate10_Er2	Er	0	Ctrl	0	2	fresh
F2	0.639	27	Plate10_Er2	Er	0	Ctrl	0	2	fresh
