organism	protein_id	original_protein_id
C. saccharolyticum	D9QZ39	D9QZ39
C. saccharolyticum	D9QZ40	D9QZ40
C. saccharolyticum	D9QZ41	D9QZ41
C. saccharolyticum	D9QZ42	D9QZ42
C. saccharolyticum	D9QZ43	D9QZ43
C. saccharolyticum	D9QZ44	D9QZ44
C. saccharolyticum	D9QZ45	D9QZ45
C. saccharolyticum	D9QZ47	D9QZ47
C. saccharolyticum	D9QZ48	D9QZ48
C. saccharolyticum	D9QZ49	D9QZ49
C. saccharolyticum	D9QZ50	D9QZ50
C. saccharolyticum	D9QZ52	D9QZ52
C. saccharolyticum	D9QZ53	D9QZ53
C. saccharolyticum	D9QZ54	D9QZ54
C. saccharolyticum	D9QZ59	D9QZ59
C. saccharolyticum	D9QZ62	D9QZ62
C. saccharolyticum	D9QZ65	D9QZ65
C. saccharolyticum	D9QZ67	D9QZ67
C. saccharolyticum	D9QZ69	D9QZ69
C. saccharolyticum	D9QZ70	D9QZ70
C. saccharolyticum	D9QZ71	D9QZ71
C. saccharolyticum	D9QZ72	D9QZ72
C. saccharolyticum	D9QZ73	D9QZ73
C. saccharolyticum	D9QZ74	D9QZ74
C. saccharolyticum	D9QZ76	D9QZ76
C. saccharolyticum	D9QZ87	D9QZ87
C. saccharolyticum	D9QZ92	D9QZ92
C. saccharolyticum	D9QZ99	D9QZ99
C. saccharolyticum	D9QZA0	D9QZA0
C. saccharolyticum	D9QZA3	D9QZA3
C. saccharolyticum	D9QZA9	D9QZA9
C. saccharolyticum	D9QZB4	D9QZB4
C. saccharolyticum	D9QZB7	D9QZB7
C. saccharolyticum	D9QZC2	D9QZC2
C. saccharolyticum	D9QZC3	D9QZC3
C. saccharolyticum	D9QZC5	D9QZC5
C. saccharolyticum	D9QZC6	D9QZC6
C. saccharolyticum	D9QZC7	D9QZC7
C. saccharolyticum	D9QZD3	D9QZD3
C. saccharolyticum	D9QZD4	D9QZD4
C. saccharolyticum	D9QZD7	D9QZD7
C. saccharolyticum	D9QZE4	D9QZE4
C. saccharolyticum	D9QZE7	D9QZE7
C. saccharolyticum	D9QZE8	D9QZE8
C. saccharolyticum	D9QZE9	D9QZE9
C. saccharolyticum	D9QZF3	D9QZF3
C. saccharolyticum	D9QZF5	D9QZF5
C. saccharolyticum	D9QZF8	D9QZF8
C. saccharolyticum	D9QZG0	D9QZG0
C. saccharolyticum	D9QZG2	D9QZG2
C. saccharolyticum	D9QZG3	D9QZG3
C. saccharolyticum	D9QZG6	D9QZG6
C. saccharolyticum	D9QZH5	D9QZH5
C. saccharolyticum	D9QZI0	D9QZI0
C. saccharolyticum	D9QZI2	D9QZI2
C. saccharolyticum	D9QZI3	D9QZI3
C. saccharolyticum	D9QZI4	D9QZI4
C. saccharolyticum	D9QZI6	D9QZI6
C. saccharolyticum	D9QZI7	D9QZI7
C. saccharolyticum	D9QZI8	D9QZI8
C. saccharolyticum	D9QZI9	D9QZI9
C. saccharolyticum	D9QZJ0	D9QZJ0
C. saccharolyticum	D9QZJ1	D9QZJ1
C. saccharolyticum	D9QZJ3	D9QZJ3
C. saccharolyticum	D9QZJ8	D9QZJ8
C. saccharolyticum	D9QZM3	D9QZM3
C. saccharolyticum	D9QZM4	D9QZM4
C. saccharolyticum	D9QZM5	D9QZM5|D9R5X6
C. saccharolyticum	D9QZM7	D9QZM7|D9QZM8
C. saccharolyticum	D9QZM8	D9QZM7|D9QZM8
C. saccharolyticum	D9QZM9	D9QZM9
C. saccharolyticum	D9QZN0	D9QZN0
C. saccharolyticum	D9QZN1	D9QZN1
C. saccharolyticum	D9QZN2	D9QZN2
C. saccharolyticum	D9QZN3	D9QZN3
C. saccharolyticum	D9QZN4	D9QZN4
C. saccharolyticum	D9QZN5	D9QZN5
C. saccharolyticum	D9QZN6	D9QZN6
C. saccharolyticum	D9QZN7	D9QZN7
C. saccharolyticum	D9QZN9	D9QZN9|D9R7G6
C. saccharolyticum	D9QZP0	D9QZP0
C. saccharolyticum	D9QZP1	D9QZP1
C. saccharolyticum	D9QZP2	D9QZP2
C. saccharolyticum	D9QZP3	D9QZP3
C. saccharolyticum	D9QZP4	D9QZP4
C. saccharolyticum	D9QZP5	D9QZP5
C. saccharolyticum	D9QZP6	D9QZP6
C. saccharolyticum	D9QZP7	D9QZP7
C. saccharolyticum	D9QZP8	D9QZP8
C. saccharolyticum	D9QZP9	D9QZP9
C. saccharolyticum	D9QZQ0	D9QZQ0
C. saccharolyticum	D9QZQ1	D9QZQ1
C. saccharolyticum	D9QZQ2	D9QZQ2
C. saccharolyticum	D9QZQ3	D9QZQ3
C. saccharolyticum	D9QZQ4	D9QZQ4
C. saccharolyticum	D9QZQ5	D9QZQ5
C. saccharolyticum	D9QZQ6	D9QZQ6
C. saccharolyticum	D9QZQ7	D9QZQ7
C. saccharolyticum	D9QZQ8	D9QZQ8
C. saccharolyticum	D9QZQ9	D9QZQ9
C. saccharolyticum	D9QZR0	D9QZR0
C. saccharolyticum	D9QZR1	D9QZR1
C. saccharolyticum	D9QZR2	D9QZR2
C. saccharolyticum	D9QZR3	D9QZR3
C. saccharolyticum	D9QZR4	D9QZR4
C. saccharolyticum	D9QZR9	D9QZR9
C. saccharolyticum	D9QZS0	D9QZS0|D9R870|D9RAT4
C. saccharolyticum	D9QZS2	D9QZS2
C. saccharolyticum	D9QZS4	D9QZS4
C. saccharolyticum	D9QZS5	D9QZS5
C. saccharolyticum	D9QZS6	D9QZS6
C. saccharolyticum	D9QZS7	D9QZS7
