organism	preparation	variable	original_protein_id	n_hits	temp_hits	gene_name	log2fc	has_hits	log2fc_q	log2fc_z
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ39	0		CLOSA_1694	1.88693299810094		0.934450468210941	1.19670991097096
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ40	2	67,71.3	CLOSA_1695	-8.54415079515582	destabilized	0.00344997535731888	-5.24186036163888
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ41	0		CLOSA_1696	0.533740674272774		0.672745194677181	0.36145405050551
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ42	0		CLOSA_1697	-0.135976394659333		0.42533267619517	-0.0519277702668614
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ43	0		CLOSA_1698	-1.25210354142349		0.162148841793987	-0.740855518335967
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ44	0		CLOSA_1699	0.6403663159783		0.711680630852637	0.427268562265731
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ45	0		CLOSA_1700	-1.88901904651735		0.0892065056678167	-1.13399062476782
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ47	0		CLOSA_1702	0.373262572003584		0.620995564317398	0.262399191091649
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ48	0		CLOSA_1703	0.390338607084413		0.625431246919665	0.272939347227347
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ49	0		CLOSA_1704	-0.125615588566131		0.429275505174963	-0.0455325787954738
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ50	1	60.5	CLOSA_1705	0.685714312391646	destabilized	0.725973385904386	0.455259542629453
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ52	0		CLOSA_1707	0.525481520268173		0.67028092656481	0.356356100522086
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ53	0		CLOSA_1708	-1.1410011075008		0.177427304090685	-0.672277713531863
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ54	0		CLOSA_1709	0.901971036388586		0.783144406111385	0.588743669684285
C. saccharolyticum	lysate	norm_rel_fc_protein_unmodified	D9QZ59	0		CLOSA_1714	0.209711907161742		0.557417447018236	0.161447797201305
