protein_id	has_hits.lysate_Csaccharolyticum	has_hits.lysate_ED1a	has_hits.lysate_IAI1	has_hits.whole_ED1a	has_hits.whole_IAI1
B7LIG9				stabilized	
B7LIH2				stabilized	
B7LIH9		destabilized			
B7LII0		destabilized			
B7LIK5		destabilized			
B7LIK9				destabilized	
B7LIL0		destabilized			
B7LIM1		destabilized			
B7LIN2		destabilized			
B7LIT5		destabilized			
B7MNN5				stabilized	
B7MNN7				destabilized	
B7MNN8				stabilized	
B7MNP4		stabilized			
B7MNP8		stabilized			
B7MNQ8		destabilized			
B7MNT1				destabilized	
B7MNT7				stabilized	
B7MNU1		stabilized			
B7MNV4		stabilized			
B7MNW1				destabilized	
B7MNY7				stabilized	
B7MNY8		destabilized			
B7MNZ3		destabilized		stabilized	
B7MNZ5		destabilized			
B7MP18		destabilized		stabilized	
B7MP21		destabilized			
B7MP22				destabilized	
B7MP28		destabilized			
B7MP33				stabilized	
B7MP38				stabilized	
B7MP42				stabilized	
B7MP46				stabilized	
B7MP50		stabilized			
B7MP64		stabilized			
B7MP83		destabilized			
B7MP98		stabilized		stabilized	
B7MPE3		destabilized			
B7MPF0				destabilized	
B7MPF5		destabilized			
B7MPF7		destabilized			
B7MPF8		stabilized			
B7MPH0		destabilized			
B7MPH4		destabilized			
B7MPI1		stabilized		destabilized	
B7MPI3		destabilized			
B7MPJ6		destabilized			
B7MPL3				destabilized	
B7MPM0		destabilized			
B7MPM7				destabilized	
B7MPM9		stabilized			
B7MPN0		stabilized			
B7MPN3		destabilized			
B7MPP1		stabilized		stabilized	
B7MPR6		destabilized			
B7MPT7		destabilized			
B7MPU8		destabilized			
B7MPW2		stabilized		stabilized	
B7MPZ3		stabilized			
B7MQ35		stabilized			
B7MQ57		destabilized			
B7MQ58				stabilized	
B7MQ73		stabilized			
B7MQ74				destabilized	
B7MQ98				stabilized	
B7MQA5		destabilized			
B7MQD7		destabilized			
B7MQE0		stabilized			
B7MQF2		stabilized			
B7MQF3		destabilized			
B7MQF8		destabilized			
B7MQG8				stabilized	
B7MQH1		stabilized			
B7MQI0				stabilized	
B7MQI1		stabilized			
B7MQI2		destabilized			
B7MQI4				destabilized	
B7MQI6		destabilized			
B7MQJ1		destabilized			
B7MQJ7				destabilized	
B7MQK0		stabilized			
B7MQK2		destabilized			
B7MQL2		destabilized			
B7MQN8		destabilized			
B7MQN9				destabilized	
B7MQP6		stabilized			
B7MQP8				stabilized	
B7MQQ1		destabilized			
B7MQR6		destabilized		destabilized	
B7MQS3		destabilized			
B7MQT1		stabilized			
B7MQT2		stabilized		destabilized	
B7MQT3				destabilized	
B7MQT9		destabilized			
B7MQU1		destabilized			
B7MQV2		destabilized			
B7MQV4		destabilized			
B7MQV7				destabilized	
B7MQY4				stabilized	
B7MR11		destabilized			
B7MR14				stabilized	
B7MR21		destabilized			
B7MR28		stabilized			
B7MR50				stabilized	
B7MR61		stabilized			
B7MR69		destabilized			
B7MR71				destabilized	
B7MRA7				stabilized	
B7MRB2		destabilized			
B7MRC4				destabilized	
B7MRC6		destabilized			
B7MRD0				stabilized	
B7MRD7				stabilized	
B7MRD8		destabilized			
B7MRE6		stabilized			
B7MRF7				destabilized	
B7MRG8				destabilized	
B7MRH1		stabilized			
B7MRH4		stabilized			
B7MRI8				stabilized	
B7MRJ2		destabilized			
B7MRK1				destabilized	
B7MRP5		stabilized			
B7MRP6				stabilized	
B7MRQ3		stabilized			
B7MRQ5		stabilized			
B7MRQ8				stabilized	
B7MRR5		stabilized			
B7MRR8		destabilized			
B7MRS4		destabilized			
B7MRS7		stabilized			
B7MRS9				destabilized	
B7MRT0		destabilized			
B7MRV2				stabilized	
B7MRV3				stabilized	
B7MRV4		destabilized			
B7MS12		destabilized			
B7MS25		stabilized			
B7MS26		stabilized		stabilized	
B7MS29				stabilized	
B7MS35		destabilized			
B7MS46		destabilized			
B7MS50				destabilized	
B7MS64		destabilized			
B7MS68		destabilized			
B7MS76		stabilized			
B7MS88				stabilized	
B7MS91				stabilized	
B7MSE2		stabilized			
B7MSE8		stabilized		stabilized	
B7MSE9				stabilized	
B7MSF8		destabilized			
B7MSG2				stabilized	
B7MSH4				stabilized	
B7MSI2		destabilized		destabilized	
B7MSI6		stabilized		stabilized	
B7MSI8				stabilized	
B7MSJ5		destabilized			
B7MSJ7		destabilized			
B7MSK6				stabilized	
B7MSN7		stabilized			
B7MST0		stabilized			
B7MSU3		destabilized			
B7MSU8				destabilized	
B7MSV3				stabilized	
B7MSW0		destabilized			
B7MSW8		stabilized			
B7MSW9		destabilized			
B7MSX0		destabilized			
B7MSX1				destabilized	
B7MSX6		stabilized			
B7MSX8		destabilized			
B7MSY8				destabilized	
B7MSZ3		destabilized			
B7MT19		destabilized			
B7MT72		stabilized			
B7MT77		stabilized		destabilized	
B7MT80		destabilized			
B7MT88		stabilized			
B7MTA1		stabilized			
B7MTA3				stabilized	
B7MTB1				destabilized	
B7MTB7		destabilized			
B7MTD0				stabilized	
B7MTD6				stabilized	
B7MTD7		stabilized		stabilized	
B7MTE3		stabilized			
B7MTE5				stabilized	
B7MTF0		stabilized			
B7MTJ2		stabilized			
B7MTJ4		destabilized			
B7MTJ8		destabilized			
B7MTK2		stabilized			
B7MTK7		stabilized			
B7MTL0		stabilized			
B7MTL3				stabilized	
B7MTL8				stabilized	
B7MTL9		destabilized			
B7MTN9		stabilized		stabilized	
B7MTP6				stabilized	
B7MTQ3		destabilized			
B7MTR1				stabilized	
B7MTR5		stabilized			
B7MTV2				stabilized	
B7MTV8				destabilized	
B7MTW7				stabilized	
B7MTX0				destabilized	
B7MTY3		destabilized			
B7MTY4				stabilized	
B7MTZ1		destabilized		destabilized	
B7MTZ2				stabilized	
B7MTZ5				stabilized	
B7MU12		stabilized			
B7MU27		destabilized			
B7MU41		stabilized			
B7MU70		destabilized			
B7MU90		destabilized			
B7MU96		stabilized			
B7MUA0		stabilized			
B7MUA3				stabilized	
B7MUA8		destabilized			
B7MUB0				destabilized	
B7MUB3		destabilized			
B7MUC3		stabilized		stabilized	
B7MUD7		stabilized			
B7MUE4				stabilized	
B7MUE8		destabilized			
B7MUG0		stabilized		destabilized	
B7MUG4		destabilized			
B7MUG6		destabilized			
B7MUH2				stabilized	
B7MUJ3		destabilized			
B7MUJ7				destabilized	
B7MUL5		stabilized			
B7MUN2		destabilized			
B7MUV0		destabilized			
B7MUW1		stabilized			
B7MV29		destabilized			
B7MV36		stabilized			
B7MV38				destabilized	
B7MV70		destabilized			
B7MV72		destabilized			
B7MV86		stabilized			
B7MV93		destabilized			
B7MV94				stabilized	
B7MVA0		stabilized			
B7MVA1		destabilized			
B7MVA3		destabilized			
B7MVA6				stabilized	
B7MVB2				destabilized	
B7MVB3				stabilized	
B7MVB5				stabilized	
B7MVC0		destabilized		destabilized	
B7MVD0		destabilized			
B7MVF2				destabilized	
B7MVF4		destabilized			
B7MVJ4		destabilized			
B7MVK2		stabilized			
B7MVK6				stabilized	
B7MVL2		stabilized			
B7MVN3				stabilized	
B7MVP6				stabilized	
B7MVQ3				stabilized	
B7MVQ9		destabilized			
B7MVR0		destabilized			
B7MVR9				destabilized	
B7MVT9		destabilized			
B7MVU3		destabilized			
B7MVU9		destabilized			
B7MVV2		destabilized			
B7MVX0		destabilized			
B7MVZ3		destabilized			
B7MVZ5		stabilized			
B7MW03				destabilized	
B7MW07		stabilized			
B7MW57		stabilized			
B7MW70		destabilized			
B7MW84		stabilized			
B7MW92		destabilized			
B7MW95		destabilized			
B7MW96		destabilized			
B7MW98		destabilized			
B7MW99				stabilized	
B7MWA2		destabilized			
B7MWA6				stabilized	
B7MWE9		stabilized			
B7MWS8		destabilized			
B7MWT8		destabilized			
B7MWU1				stabilized	
B7MWU9		stabilized			
B7MWV0		destabilized			
B7MWV6				stabilized	
B7MX29		destabilized			
B7MX36		destabilized			
B7MX84		destabilized			
B7MXE0		destabilized			
B7MXE4		stabilized			
B7MXE9		destabilized			
B7MXF8				stabilized	
B7MXF9				stabilized	
B7MXG0				stabilized	
B7MXG2				stabilized	
B7MXG5				stabilized	
B7MXG7				stabilized	
B7MXH2		destabilized			
B7MXJ1		stabilized			
B7MXK3		destabilized		stabilized	
B7MXK9		destabilized			
B7MXM5		stabilized		stabilized	
B7MXM7				stabilized	
B7MXP0		destabilized			
B7MXP2		destabilized			
B7MXP8		destabilized			
B7MXR3		destabilized			
B7MXS1		stabilized			
B7MXS2				stabilized	
B7MXS4		destabilized			
B7MXS9				stabilized	
B7MXT1		destabilized			
B7MXT3		destabilized			
B7MXV7		stabilized			
B7MXW2				destabilized	
B7MXW3				destabilized	
B7MXW5				stabilized	
B7MXW9		stabilized			
B7MXX7		stabilized			
B7MXY6		destabilized			
B7MXZ1		destabilized			
B7MY17		stabilized		stabilized	
B7MY29				stabilized	
B7MY50				destabilized	
B7MY62				stabilized	
B7MY71		stabilized			
B7MY73				stabilized	
B7MY78				destabilized	
B7MY85		destabilized			
B7MY86		stabilized			
B7MY90		destabilized			
B7MY91		destabilized			
B7MY94		stabilized			
B7MYA0		stabilized			
B7MYA2				destabilized	
B7MYB5		destabilized			
B7MYB7				stabilized	
B7MYC2		destabilized			
B7MYC4		stabilized			
B7MYC5				destabilized	
B7MYC7		destabilized			
B7MYE8		destabilized		destabilized	
B7MYF4		stabilized			
B7MYF7		destabilized		destabilized	
B7MYF9		stabilized		destabilized	
B7MYG1		stabilized			
B7MYG4		destabilized			
B7MYG5		stabilized			
B7MYG6		stabilized			
B7MYI0		destabilized			
B7MYI3		stabilized			
B7MYI4		destabilized			
B7MYJ4		destabilized			
B7MYK1		stabilized			
B7MYK5				destabilized	
B7MYL3		destabilized			
B7MYN6				stabilized	
B7MYU2		destabilized		stabilized	
B7MYW3				stabilized	
B7MYW7		destabilized			
B7MYW9		destabilized			
