"Ion_index","Ion_mz","Min_detected_charge","Max_detected_charge","TIC_correlation","Median_ion_intensity","Mean_ion_intensity","CV_ion_intensity","Fraction_ion_detected","First_metabolite_name_HMDB","First_HMDB_ID","First_KEGG_ID","First_pubchem_ID","Number_of_annotations","Ion_is_isotopologue","Applied_drift_correction_method","Fraction_detected_in_all_replicates","Median_interreplicate_CV"
1,55.0195057354277,0,0,-1,1,8144.6255746601,1.30080500294264,0,"trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","cpd:C04221","149186",14,0,"data inadequate for drift correction",0,0
2,57.0211299485089,0,0,-0.347173863178287,1,552519.155347061,0.35292752733444,0,"N,N'-Diacetylhydrazine","HMDB0060496","cpd:C16622","0",2,0,"data inadequate for drift correction",0,0
3,57.0348508902733,-1,-1,-1,1003386658.26574,989928887.604272,0.320460943308561,94.7214076246334,"Acetone","HMDB0001659","cpd:C00207","180",4,1,"data inadequate for drift correction",85.7692307692308,0.122303389627836
4,58.0065762368836,0,0,-0.613702034072972,1,351590.125252141,0.535871607536921,0,"Methylmalonic acid","HMDB0000202","cpd:C02170","487",8,0,"data inadequate for drift correction",0,0
5,58.0303441167321,0,0,-0.577146794876538,1,34931.48069371,0.957917016842444,0,"N-Methylformamide","HMDB0001122","cpd:C11489","31254",5,0,"data inadequate for drift correction",0,0
6,58.0384731084737,-1,-1,-0.554018912287676,10015767.4588855,8503217.22562268,0.391197548115674,74.1935483870968,"Acetone","HMDB0001659","cpd:C00207","180",4,1,"data inadequate for drift correction",48.8461538461538,0
7,58.999667455766,0,0,-0.494843236806478,1,11514805.5355815,0.396773237206419,63.049853372434,"Dihydro-4-mercapto-3(2H)-furanone","HMDB0039786","","",1,0,"data inadequate for drift correction",26.9230769230769,0
8,59.0062885858539,0,0,-0.689918238046337,1,221045.815069659,0.388622420701684,0,"Aminomalonic acid","HMDB0001147","cpd:C00872","100714",2,0,"data inadequate for drift correction",0,0
9,59.0142654183067,-1,-1,-1,13509756407.2465,11198348779.3847,0.570475697039553,94.7214076246334,"Acetic acid","HMDB0000042","cpd:C00033","176",2,1,"data inadequate for drift correction",80.3846153846154,0.0163191692505176
10,59.0293295060704,0,0,0.712841699414111,5274976.02518448,12941240.340749,0.382964746655432,0,"","","","",0,0,"data inadequate for drift correction",0,0
11,59.0505171892376,-1,-1,0.771722137183142,180876951.867933,178487568.314743,0.424745150631717,90.3225806451613,"Propyl alcohol","HMDB0000820","cpd:C05979","1031",2,1,"data inadequate for drift correction",85.3846153846154,0.214139981880251
12,59.9858049492318,0,0,0.858382025224002,1,4538321.6844739,1.50546627044281,0,"","","","",0,0,"data inadequate for drift correction",0,0
13,60.01757869053,-1,-1,0.801945724998186,147270384.050126,141905449.042836,0.433147463135925,90.9090909090909,"Acetic acid","HMDB0000042","cpd:C00033","176",2,1,"data inadequate for drift correction",89.6153846153846,0.0180970924355892
14,60.0541217852012,-1,-1,0.815307883929469,1,1304432.091844,0.321178852531194,61.58357771261,"Propyl alcohol","HMDB0000820","cpd:C05979","1031",2,1,"data inadequate for drift correction",7.30769230769231,0
15,60.9874287759534,0,0,0.809868169151156,51421339.101547,60749024.1850175,0.824005872538196,89.149560117302,"","","","",0,0,"data inadequate for drift correction",86.5384615384615,0.107675737542531
16,60.9936399003797,0,-2,0.840674636688137,1,1554463.72560271,0.721987164360224,0,"Hydrogen carbonate","HMDB0000595","cpd:C00288","769",4,0,"data inadequate for drift correction",0,0
17,61.0106832675564,0,0,0.797339821702291,1,79111.3537803063,0.730324961056993,0.293255131964809,"Nicotinic acid","HMDB0001488","cpd:C00253","938",5,0,"data inadequate for drift correction",0,0
18,61.0185977210284,-1,-1,0.821947500756433,1,11503944.8556382,0.333398185061922,0,"","","","",0,1,"data inadequate for drift correction",0,0
19,61.9888868239305,0,0,0.759764166807728,12030233.7871289,13373212.433366,0.543649647158219,60.7038123167155,"","","","",0,0,"data inadequate for drift correction",43.8461538461538,0
20,62.9892612930557,0,0,0.724349621579557,1,6080048.24990736,0.546274626546726,56.891495601173,"","","","",0,1,"data inadequate for drift correction",35.3846153846154,0
21,63.0064291652598,0,0,0.731096359076783,661211.910300865,942914.195014584,0.572314705098313,65.3958944281525,"","","","",0,0,"data inadequate for drift correction",37.6923076923077,0
22,63.962483640561,0,0,-1,7252946.11351531,12699595.6632853,0.879271661667156,72.1407624633431,"","","","",0,0,"data inadequate for drift correction",46.1538461538462,0
23,64.9707546208409,0,0,0.602300966787362,1,1072281.4753346,0.443962589618878,0,"","","","",0,0,"data inadequate for drift correction",0,0
24,65.0020255556867,0,0,0.433252865694803,1,355749.408624364,0.747680124937963,58.9442815249267,"","","","",0,0,"data inadequate for drift correction",26.9230769230769,0
25,67.0306424015065,0,0,0.667689806774271,1,128509.220141146,0.718946355900351,0,"Tetrahydropteridine","HMDB0001216","cpd:C05650","156",3,0,"data inadequate for drift correction",0,0
26,68.0146811580686,0,0,0.357341461182587,1,1513320.48784736,0.790737350545639,0,"Hypoxanthine","HMDB0000157","cpd:C00262","790",10,0,"data inadequate for drift correction",0,0
27,68.9959164233235,0,0,0.480033989857403,3254074.57076607,3540637.17427564,0.720840753927692,77.1260997067449,"","","","",0,0,"data inadequate for drift correction",63.0769230769231,0.0365047530084605
28,69.0098553664785,0,0,0.166820653230938,1,167373.263943349,1.08386856213577,0,"","","","",0,0,"data inadequate for drift correction",0,0
29,69.0350809543995,0,0,0.442533367154196,1936028.8339976,2205049.88278179,0.561589459452121,73.0205278592375,"2-Ethoxy-3-methylpyrazine","HMDB0031850","","122941",14,0,"data inadequate for drift correction",52.3076923076923,0.00771707081281516
30,71.0144074245435,-1,-1,0.494085056874354,168936505.906793,215027652.856506,0.552470984289127,82.1114369501466,"Pyruvaldehyde","HMDB0001167","cpd:C00546","880",3,1,"data inadequate for drift correction",74.6153846153846,0.0303608700878985
31,72.0096427092357,0,0,0.358355346295573,10028663.0976655,11923163.3061052,0.605080966441914,78.5923753665689,"","","","",0,0,"data inadequate for drift correction",70.7692307692308,0.0716199629506927
