go.ontology	go.id
Biological process	GO:0000001
Biological process	GO:0000002
Biological process	GO:0000003
Biological process	GO:0042254
Biological process	GO:0000011
Biological process	GO:0000012
Biological process	GO:0000017
Biological process	GO:0000018
Biological process	GO:0000019
Biological process	GO:0045950
Biological process	GO:0000022
Biological process	GO:0000023
Biological process	GO:0000024
Biological process	GO:0000025
Biological process	GO:0000027
Biological process	GO:0000028
Biological process	GO:0000032
Biological process	GO:0000038
Biological process	GO:0000041
Biological process	GO:0000042
Biological process	GO:0000045
Biological process	GO:0000050
Biological process	GO:0000052
Biological process	GO:0000053
Biological process	GO:0000054
Biological process	GO:0000055
Biological process	GO:0000056
Biological process	GO:0000060
Biological process	GO:0000061
Biological process	GO:0000066
Biological process	GO:0006260
Biological process	GO:0007059
Biological process	GO:0051276
Biological process	GO:0000070
Biological process	GO:0007017
Biological process	GO:0000073
Biological process	GO:0000075
Biological process	GO:0000076
Biological process	GO:0000077
Biological process	GO:0044878
Biological process	GO:0044879
Biological process	GO:0000079
Biological process	GO:0000080
Biological process	GO:0000082
Biological process	GO:0000083
Biological process	GO:0000084
Biological process	GO:0000085
Biological process	GO:0000086
Biological process	GO:0000087
Biological process	GO:0000088
Biological process	GO:0000089
Biological process	GO:0000090
Biological process	GO:0000091
Biological process	GO:0000092
Biological process	GO:0000093
Biological process	GO:0000917
Biological process	GO:0000918
Biological process	GO:0000921
Biological process	GO:0000096
Biological process	GO:0000097
Biological process	GO:0000098
Biological process	GO:0000101
Biological process	GO:0000103
Biological process	GO:0000105
Biological process	GO:0000117
Biological process	GO:0000122
Biological process	GO:0000128
Biological process	GO:0000132
Biological process	GO:0000147
Biological process	GO:0000154
Biological process	GO:0000160
Biological process	GO:0000161
Biological process	GO:0000162
Biological process	GO:0000165
Biological process	GO:0000167
Biological process	GO:0000168
Biological process	GO:0000169
Biological process	GO:0000173
Biological process	GO:0000750
Biological process	GO:0000183
Biological process	GO:0000184
Biological process	GO:0000185
Biological process	GO:0000186
Biological process	GO:0000187
Biological process	GO:0000188
Biological process	GO:0000189
Biological process	GO:0000196
Biological process	GO:0000197
Biological process	GO:0000198
Biological process	GO:0000199
Biological process	GO:0000200
Biological process	GO:0000201
Biological process	GO:0000208
Biological process	GO:0000209
Biological process	GO:0019941
Biological process	GO:0042787
Biological process	GO:0000212
Biological process	GO:0000226
Biological process	GO:0000236
Biological process	GO:0000237
Biological process	GO:0000238
Biological process	GO:0000239
Biological process	GO:0000240
Biological process	GO:0000241
Biological process	GO:0000244
Biological process	GO:0000245
Biological process	GO:0000255
Biological process	GO:0000256
Biological process	GO:0000266
Biological process	GO:0000270
Biological process	GO:0000271
Biological process	GO:0000272
Biological process	GO:0000278
Biological process	GO:0000279
Biological process	GO:0000280
Biological process	GO:0000281
Biological process	GO:0000282
Biological process	GO:0000753
Biological process	GO:0000288
Biological process	GO:0000289
Biological process	GO:0000290
Biological process	GO:0000291
Biological process	GO:0000292
Biological process	GO:0000294
Biological process	GO:0000296
Biological process	GO:0000301
Biological process	GO:0000302
Biological process	GO:0000303
Biological process	GO:0000304
Biological process	GO:0000305
Biological process	GO:0000316
Biological process	GO:0000320
Biological process	GO:0000321
Biological process	GO:0000335
Biological process	GO:0000336
Biological process	GO:0000337
Biological process	GO:0000338
Biological process	GO:0000348
Biological process	GO:0000349
Biological process	GO:0000350
Biological process	GO:0000352
Biological process	GO:0000353
Biological process	GO:0000354
Biological process	GO:0000365
Biological process	GO:0000366
Biological process	GO:0000372
Biological process	GO:0000373
Biological process	GO:0000374
Biological process	GO:0000375
Biological process	GO:0000376
Biological process	GO:0000377
Biological process	GO:0000378
Biological process	GO:0000379
Biological process	GO:0000380
Biological process	GO:0000381
Biological process	GO:0000387
Biological process	GO:0000388
Biological process	GO:0000389
Biological process	GO:0000390
Biological process	GO:0000393
Biological process	GO:0000394
Biological process	GO:0000395
Biological process	GO:0000398
Biological process	GO:0000409
Biological process	GO:0000410
Biological process	GO:0000411
Biological process	GO:0000412
Biological process	GO:0000413
Biological process	GO:0000414
Biological process	GO:0000415
Biological process	GO:0000416
Biological process	GO:0000422
Biological process	GO:0000423
Biological process	GO:0000424
Biological process	GO:0000425
