NT_code	SpecI_ID	Rel_ab_p05	Rel_ab_p25	Rel_ab_median	Rel_ab_p75	Rel_ab_p95	Prevalence
NT5001	Cluster1104	0.00364863170621584	0.0195077893256904	0.0569119920209465	0.123436616529161	0.304289926408174	0.991758241758242
NT5002	Cluster1100	0.000385776784767191	0.00811650308541417	0.0261937388806144	0.0618950507128034	0.149099690568411	0.964285714285714
NT5003	Cluster1090	0	0	2.71455626176233e-05	0.00196606562339238	0.0285779190501016	0.505494505494505
NT5004	Cluster1092	5.93068726846821e-06	0.000976646784028284	0.00331926865322032	0.0106645166654999	0.0441368839059824	0.917582417582418
NT5005	Cluster1617	0	0	0	0	0.000415291405189814	0.129120879120879
NT5006	Cluster1269	0	0	0	3.6845614693933e-05	0.00107549990223989	0.291208791208791
NT5009	Cluster1630	0	0.00149092546930569	0.00739659478532233	0.0266241262436118	0.071213471769133	0.873626373626374
NT5011	Cluster1631	0	6.10109000059357e-05	0.000900355196728366	0.00443264483708736	0.022386346119069	0.791208791208791
NT5013	Cluster1628	0	0	0	3.07069525722393e-06	0.0545967701956903	0.17032967032967
NT5014	Cluster1054	0	0.00025567274337761	0.0117696120964642	0.0289685680689181	0.073474759795995	0.843406593406593
NT5017	Cluster1261	0	1.051950118766e-05	4.45997242346614e-05	0.000217059614595581	0.00165713853983538	0.557692307692308
NT5018	Cluster326	0	1.24643562116144e-05	5.39289074317552e-05	0.000308893173839416	0.00255831869416239	0.596153846153846
NT5019	Cluster1081	0	0	3.39789743222193e-05	0.00829929113091646	0.388602779055299	0.510989010989011
NT5021	Cluster1008	0	0	3.03158064859085e-05	0.00124689284319334	0.0177473944003623	0.516483516483517
NT5022	Cluster972	0	0	0.000107419043184171	0.00109231718638921	0.0098412617989435	0.601648351648352
NT5023	Cluster970	0	3.65861483714572e-05	0.000382992613566252	0.00181229620786499	0.0114606819794679	0.741758241758242
NT5026	Cluster1598	0	7.44661576055028e-06	3.55376460733416e-05	0.000219659724014529	0.0026478259652971	0.546703296703297
NT5028	Cluster970	0	3.65861483714572e-05	0.000382992613566252	0.00181229620786499	0.0114606819794679	0.741758241758242
NT5033	Cluster1091	0	0	0	0	0.00133574179332588	0.118131868131868
NT5035	Cluster751	0	0	0	6.31625028761541e-06	0.00217210694976821	0.211538461538462
NT5036	Cluster756	0	7.81565297084059e-05	0.000535809512738325	0.00167434210407253	0.00476184331756222	0.818681318681319
NT5038	Cluster1377	0	2.71028295043716e-05	0.000166231610941635	0.000679147663177317	0.00369589706380374	0.733516483516483
NT5040	Cluster1564	0	0	8.80616270729542e-05	0.00223225402943546	0.0219253747262694	0.557692307692308
NT5045	Cluster1569	0	1.12757073065446e-05	0.00320359074307869	0.0179741605077627	0.0497171532108488	0.686813186813187
NT5046	Cluster1611	0	5.41858606193832e-06	7.54381823996566e-05	0.00115968763924172	0.012497980651156	0.601648351648352
NT5047	Cluster1608	0	5.72091509677366e-05	0.000563371819728239	0.00272650006523653	0.0141105767442522	0.788461538461538
NT5048	Cluster1616	0	0.00027486491478286	0.00138287676816049	0.003487658675125	0.00954632986741898	0.851648351648352
NT5049	Cluster1104	0.00364863170621584	0.0195077893256904	0.0569119920209465	0.123436616529161	0.304289926408174	0.991758241758242
NT5050	Cluster1096	0	3.8379652188297e-05	0.00262523516831995	0.00832994086899447	0.0362273181191677	0.769230769230769
NT5051	Cluster1097	0	0	2.68634594402699e-05	0.000757492948113583	0.0428210570942449	0.491758241758242
NT5052	Cluster1099	0	0	2.80742643562344e-05	0.000514617714791527	0.00579879810217813	0.516483516483517
NT5053	Cluster1107	0	0	8.44347072909044e-06	0.000249995807416407	0.0817568187601184	0.373626373626374
NT5054	Cluster1094	0.000110983270308826	0.00134560685849674	0.00474787025390754	0.0138884557219982	0.134652053268684	0.964285714285714
NT5055	Cluster1098	0	5.64077212522189e-06	0.00149973276115637	0.016761953780646	0.0894891202594972	0.648351648351648
NT5056	Cluster1104	0.00364863170621584	0.0195077893256904	0.0569119920209465	0.123436616529161	0.304289926408174	0.991758241758242
