KEGG_ORG	KEGG_GENE	KEGG_EC	KEGG_UNIPROT
csh	csh:Closa_1790	ec:1.1.1.29	D9QZC2
csh	csh:Closa_1248	ec:2.7.7.85	D9R899
csh	csh:Closa_1170	ec:2.8.1.11	D9R7P9
csh	csh:Closa_2302	ec:3.5.1.4	D9R3C8
csh	csh:Closa_1818	ec:4.1.2.17	D9QZF0
csh	csh:Closa_1828	ec:2.8.3.12	D9QZG0
csh	csh:Closa_1163	ec:3.2.1.40	D9R7P2
csh	csh:Closa_0645	ec:7.2.2.7	D9R4T9
csh	csh:Closa_2622	ec:2.6.1.66	D9R5K4
csh	csh:Closa_2622	ec:2.6.1.2	D9R5K4
csh	csh:Closa_1720	ec:3.2.1.23	D9QZ65
csh	csh:Closa_1470	ec:2.7.1.218	D9R9L9
csh	csh:Closa_1067	ec:3.6.1.55	D9R7F4
csh	csh:Closa_2525	ec:1.15.1.2	D9R4Y7
csh	csh:Closa_0376	ec:1.5.1.7	D9R323
csh	csh:Closa_3910	ec:4.4.1.5	D9R0J1
csh	csh:Closa_0872	ec:3.2.1.10	D9R657
csh	csh:Closa_2060	ec:6.3.3.2	D9R192
csh	csh:Closa_1949	ec:2.8.4.4	D9R077
csh	csh:Closa_1021	ec:3.5.4.3	D9R6Y2
csh	csh:Closa_3304	ec:3.2.1.14	D9R982
csh	csh:Closa_2980	ec:3.1.3.7	D9R782
csh	csh:Closa_2980	ec:3.1.13.3	D9R782
csh	csh:Closa_1628	ec:3.5.4.43	D9RAE7
csh	csh:Closa_0952	ec:3.2.1.10	D9R6R5
csh	csh:Closa_0152	ec:1.20.4.1	D9R1Q4
csh	csh:Closa_0438	ec:3.2.1.132	D9R3W2
csh	csh:Closa_0063	ec:2.4.1.230	D9R0Q7
csh	csh:Closa_4182	ec:2.7.1.191	D9R2R0
csh	csh:Closa_1213	ec:2.7.1.191	D9R868
csh	csh:Closa_2081	ec:5.1.3.22	D9R1B3
csh	csh:Closa_1228	ec:3.5.3.26	D9R882
csh	csh:Closa_4273	ec:2.7.1.191	D9R3Q1
csh	csh:Closa_3183	ec:4.1.99.12	D9R8I4
csh	csh:Closa_3183	ec:3.5.4.25	D9R8I4
csh	csh:Closa_0451	ec:3.6.1.11	D9R3X5
csh	csh:Closa_0451	ec:3.6.1.40	D9R3X5
csh	csh:Closa_0389	ec:2.7.7.72	D9R336
csh	csh:Closa_3020	ec:2.7.1.191	D9R7C1
csh	csh:Closa_0065	ec:5.4.2.6	D9R0Q9
csh	csh:Closa_0694	ec:3.6.1.66	D9R5B5
csh	csh:Closa_3901	ec:2.1.1.72	D9R0I2
csh	csh:Closa_1929	ec:3.2.1.180	D9R057
csh	csh:Closa_3947	ec:2.1.1.190	D9R1D6
csh	csh:Closa_2404	ec:2.4.1.211	D9R4A6
csh	csh:Closa_0832	ec:5.4.2.12	D9R620
csh	csh:Closa_4007	ec:1.2.1.10	D9R1J5
csh	csh:Closa_1866	ec:1.11.2.4	D9QZZ8
csh	csh:Closa_3799	ec:2.7.7.71	D9QZU3
csh	csh:Closa_0614	ec:7.4.2.8	D9R4Q8
csh	csh:Closa_0616	ec:5.4.99.5	D9R4R0
csh	csh:Closa_0617	ec:1.1.1.3	D9R4R1
csh	csh:Closa_0618	ec:2.7.2.4	D9R4R2
csh	csh:Closa_0625	ec:2.3.1.266	D9R4R9
csh	csh:Closa_0812	ec:2.4.99.17	D9R600
csh	csh:Closa_0816	ec:4.99.1.3	D9R604
csh	csh:Closa_0817	ec:2.7.1.180	D9R605
csh	csh:Closa_0820	ec:4.3.2.1	D9R608
csh	csh:Closa_0825	ec:4.3.1.17	D9R613
csh	csh:Closa_0826	ec:4.3.1.17	D9R614
csh	csh:Closa_0827	ec:3.1.3.15	D9R615
csh	csh:Closa_0829	ec:1.2.1.12	D9R617
csh	csh:Closa_0830	ec:2.7.2.3	D9R618
csh	csh:Closa_0831	ec:5.3.1.1	D9R619
csh	csh:Closa_0839	ec:2.7.7.7	D9R626
csh	csh:Closa_0002	ec:2.7.7.7	D9QZU6
csh	csh:Closa_0005	ec:5.6.2.2	D9QZU9
csh	csh:Closa_0006	ec:5.6.2.2	D9QZV0
csh	csh:Closa_0008	ec:2.7.1.196	D9QZV2
csh	csh:Closa_0008	ec:2.7.1.205	D9QZV2
csh	csh:Closa_0010	ec:2.7.1.196	D9QZV4
csh	csh:Closa_0010	ec:2.7.1.205	D9QZV4
csh	csh:Closa_0011	ec:3.2.1.86	D9QZV5
csh	csh:Closa_0014	ec:4.2.1.2	D9QZV8
csh	csh:Closa_0015	ec:4.2.1.2	D9QZV9
csh	csh:Closa_0016	ec:2.3.1.51	D9QZW0
csh	csh:Closa_0018	ec:4.1.1.19	D9QZW2
csh	csh:Closa_0021	ec:7.5.2.7	D9R0L5
csh	csh:Closa_0024	ec:2.7.13.3	D9R0L8
csh	csh:Closa_0026	ec:2.7.7.7	D9R0M0
csh	csh:Closa_0029	ec:2.1.1.198	D9R0M3
csh	csh:Closa_0030	ec:2.3.1.180	D9R0M4
csh	csh:Closa_0032	ec:1.3.1.9	D9R0M6
csh	csh:Closa_0033	ec:2.3.1.39	D9R0M7
csh	csh:Closa_0034	ec:1.1.1.100	D9R0M8
csh	csh:Closa_0035	ec:2.3.1.179	D9R0M9
csh	csh:Closa_0037	ec:4.2.1.59	D9R0N1
csh	csh:Closa_0038	ec:6.4.1.2	D9R0N2
csh	csh:Closa_0038	ec:6.3.4.14	D9R0N2
csh	csh:Closa_0039	ec:6.4.1.2	D9R0N3
csh	csh:Closa_0039	ec:2.1.3.15	D9R0N3
csh	csh:Closa_0887	ec:2.1.1.193	D9R672
csh	csh:Closa_0310	ec:3.6.4.12	D9R2V8
csh	csh:Closa_0314	ec:1.97.1.4	D9R2W2
csh	csh:Closa_0415	ec:3.5.1.104	D9R3T9
csh	csh:Closa_0431	ec:2.1.1.297	D9R3V5
csh	csh:Closa_0510	ec:3.5.1.24	D9R433
csh	csh:Closa_0512	ec:5.2.1.8	D9R435
csh	csh:Closa_0516	ec:2.7.6.5	D9R439
csh	csh:Closa_0519	ec:2.7.1.148	D9R442
csh	csh:Closa_0528	ec:6.3.2.4	D9R451
csh	csh:Closa_0529	ec:5.1.1.3	D9R452
csh	csh:Closa_0534	ec:3.2.1.96	D9R4I6
csh	csh:Closa_0627	ec:3.1.26.11	D9R4S1
csh	csh:Closa_0628	ec:2.3.1.234	D9R4S2
csh	csh:Closa_0629	ec:2.7.7.60	D9R4S3
csh	csh:Closa_0649	ec:3.8.1.2	D9R4U3
csh	csh:Closa_0888	ec:2.8.1.7	D9R673
csh	csh:Closa_0655	ec:2.1.2.1	D9R577
csh	csh:Closa_0657	ec:1.1.1.133	D9R579
csh	csh:Closa_0659	ec:1.2.5.3	D9R581
csh	csh:Closa_0735	ec:2.1.1.72	D9R5F4
csh	csh:Closa_0889	ec:2.8.1.4	D9R674
csh	csh:Closa_0785	ec:5.4.99.12	D9R5X6
csh	csh:Closa_0874	ec:3.4.24.78	D9R659
csh	csh:Closa_0908	ec:6.1.1.14	D9R6M1
csh	csh:Closa_0051	ec:2.2.1.1	D9R0P5
csh	csh:Closa_0052	ec:2.2.1.1	D9R0P6
csh	csh:Closa_0055	ec:3.2.2.9	D9R0P9
csh	csh:Closa_0057	ec:5.3.1.9	D9R0Q1
csh	csh:Closa_0062	ec:3.2.1.23	D9R0Q6
csh	csh:Closa_0072	ec:2.2.1.1	D9R0R6
csh	csh:Closa_0073	ec:2.7.1.2	D9R0R7
csh	csh:Closa_0077	ec:5.1.3.3	D9R0S1
csh	csh:Closa_0079	ec:7.5.2.12	D9R0S3
csh	csh:Closa_0087	ec:2.7.1.71	D9R0T1
csh	csh:Closa_0317	ec:2.3.1.54	D9R2W5
csh	csh:Closa_0319	ec:3.2.1.22	D9R2W7
csh	csh:Closa_0323	ec:4.3.1.17	D9R2X0
csh	csh:Closa_0324	ec:4.3.1.17	D9R2X1
csh	csh:Closa_0335	ec:3.5.1.28	D9R2Y2
csh	csh:Closa_0344	ec:6.3.1.1	D9R2Z1
csh	csh:Closa_0345	ec:2.7.7.87	D9R2Z2
csh	csh:Closa_0346	ec:3.5.4.12	D9R2Z3
csh	csh:Closa_0348	ec:4.2.99.18	D9R2Z5
csh	csh:Closa_0349	ec:2.7.7.7	D9R2Z6
csh	csh:Closa_0355	ec:2.1.1.207	D9R302
csh	csh:Closa_0363	ec:3.5.1.25	D9R310
csh	csh:Closa_0365	ec:7.3.2.1	D9R312
csh	csh:Closa_0434	ec:2.7.1.196	D9R3V8
csh	csh:Closa_0434	ec:2.7.1.205	D9R3V8
csh	csh:Closa_0435	ec:2.7.1.196	D9R3V9
csh	csh:Closa_0435	ec:2.7.1.205	D9R3V9
csh	csh:Closa_0437	ec:3.2.1.86	D9R3W1
csh	csh:Closa_0444	ec:3.5.1.1	D9R3W8
csh	csh:Closa_0448	ec:2.3.1.51	D9R3X2
csh	csh:Closa_0449	ec:5.4.99.5	D9R3X3
csh	csh:Closa_0449	ec:4.2.1.51	D9R3X3
csh	csh:Closa_0452	ec:2.7.4.1	D9R3X6
csh	csh:Closa_0458	ec:3.1.21.2	D9R3Y2
csh	csh:Closa_0463	ec:4.2.3.1	D9R3Y7
csh	csh:Closa_0465	ec:4.1.2.13	D9R3Y9
csh	csh:Closa_0466	ec:6.3.1.2	D9R3Z0
csh	csh:Closa_0467	ec:3.1.3.15	D9R3Z1
csh	csh:Closa_0470	ec:2.7.1.196	D9R3Z4
csh	csh:Closa_0470	ec:2.7.1.205	D9R3Z4
csh	csh:Closa_0471	ec:3.2.1.86	D9R3Z5
csh	csh:Closa_0472	ec:2.7.1.196	D9R3Z6
csh	csh:Closa_0472	ec:2.7.1.205	D9R3Z6
csh	csh:Closa_0484	ec:2.4.2.3	D9R408
csh	csh:Closa_0571	ec:2.2.1.6	D9R4L5
csh	csh:Closa_0580	ec:3.4.21.107	D9R4M4
csh	csh:Closa_0585	ec:3.1.4.55	D9R4M9
csh	csh:Closa_0587	ec:3.1.3.48	D9R4N1
csh	csh:Closa_0589	ec:2.4.1.7	D9R4N3
csh	csh:Closa_0596	ec:3.4.23.36	D9R4P0
csh	csh:Closa_0602	ec:2.4.2.29	D9R4P6
csh	csh:Closa_0607	ec:4.1.2.13	D9R4Q1
csh	csh:Closa_0608	ec:2.7.1.146	D9R4Q2
csh	csh:Closa_0608	ec:2.7.1.147	D9R4Q2
csh	csh:Closa_0610	ec:5.3.1.15	D9R4Q4
csh	csh:Closa_0611	ec:1.1.1.100	D9R4Q5
csh	csh:Closa_0612	ec:1.8.1.9	D9R4Q6
csh	csh:Closa_0670	ec:2.7.1.40	D9R592
csh	csh:Closa_0671	ec:4.1.1.20	D9R593
csh	csh:Closa_0672	ec:3.5.1.18	D9R594
csh	csh:Closa_0677	ec:3.4.16.4	D9R599
csh	csh:Closa_0679	ec:5.3.1.4	D9R5A0
csh	csh:Closa_0685	ec:3.1.3.11	D9R5A6
csh	csh:Closa_0798	ec:3.4.21.102	D9R5Y7
csh	csh:Closa_0799	ec:4.1.2.48	D9R5Y8
csh	csh:Closa_0138	ec:3.4.23.43	D9R0Y2
csh	csh:Closa_0202	ec:2.7.1.191	D9R1V1
csh	csh:Closa_0254	ec:2.7.13.3	D9R203
csh	csh:Closa_0260	ec:5.6.2.1	D9R209
csh	csh:Closa_0263	ec:7.3.2.2	D9R212
csh	csh:Closa_0266	ec:3.1.4.16	D9R215
csh	csh:Closa_0266	ec:3.1.3.6	D9R215
csh	csh:Closa_0277	ec:1.1.1.100	D9R2S7
csh	csh:Closa_0370	ec:3.1.3.48	D9R317
csh	csh:Closa_0375	ec:2.5.1.16	D9R322
csh	csh:Closa_0377	ec:4.1.1.96	D9R324
csh	csh:Closa_0378	ec:3.5.3.12	D9R325
csh	csh:Closa_0379	ec:3.5.1.53	D9R326
csh	csh:Closa_0381	ec:2.3.1.30	D9R328
csh	csh:Closa_0385	ec:1.5.1.38	D9R332
csh	csh:Closa_0386	ec:5.4.99.23	D9R333
csh	csh:Closa_0388	ec:6.1.1.15	D9R335
csh	csh:Closa_0391	ec:5.4.2.2	D9R338
csh	csh:Closa_0395	ec:3.1.11.5	D9R342
csh	csh:Closa_0397	ec:2.3.1.183	D9R344
csh	csh:Closa_0399	ec:2.7.7.24	D9R346
csh	csh:Closa_0400	ec:4.2.1.46	D9R347
csh	csh:Closa_0401	ec:1.1.1.133	D9R348
csh	csh:Closa_0406	ec:4.2.1.8	D9R3T0
