#target name	accession	query name	accession	full sequence E-value	full sequence score	full sequence bias	best 1 domain E-value	best 1 domain score	best 1 domain bias	domain number estimation exp	domain number estimation reg	domain number estimation clu	domain number estimation ov	domain number estimation env	domain number estimation dom	domain number estimation rep	domain number estimation inc	description of target
TIGR01552	TIGR01552	YP_788106.1	-	0.0079	13.5	0.0	0.012	12.9	0.0	1.4	1	1	0	1	1	1	1	phd_fam: prevent-host-death family protein
TIGR01552	TIGR01552	YP_001711922.1	-	0.0079	13.5	0.0	0.012	12.9	0.0	1.4	1	1	0	1	1	1	1	phd_fam: prevent-host-death family protein
TIGR01552	TIGR01552	YP_001965408.1	-	0.0079	13.5	0.0	0.012	12.9	0.0	1.4	1	1	0	1	1	1	1	phd_fam: prevent-host-death family protein
TIGR01552	TIGR01552	YP_002418657.1	-	0.0079	13.5	0.0	0.012	12.9	0.0	1.4	1	1	0	1	1	1	1	phd_fam: prevent-host-death family protein
TIGR02385	TIGR02385	YP_002418658.1	-	2.5e-09	35.5	0.5	4.7e-09	34.6	0.5	1.4	1	1	0	1	1	1	1	RelE_StbE: addiction module toxin, RelE/StbE family
TIGR02116	TIGR02116	YP_002418658.1	-	0.00015	19.9	1.0	0.0004	18.5	0.9	1.8	1	1	0	1	1	1	1	toxin_Txe_YoeB: addiction module toxin, Txe/YoeB family
TIGR01172	TIGR01172	YP_002418659.1	-	9.3e-22	75.8	0.4	1.2e-21	75.4	0.4	1.1	1	0	0	1	1	1	1	cysE: serine O-acetyltransferase
TIGR04016	TIGR04016	YP_002418659.1	-	5.7e-16	56.4	2.5	6.2e-16	56.3	1.3	1.6	2	0	0	2	2	2	1	WcaB: colanic acid biosynthesis acetyltransferase WcaB
TIGR03570	TIGR03570	YP_002418659.1	-	3.7e-10	37.7	7.5	2e-08	32.1	7.5	2.1	1	1	0	1	1	1	1	NeuD_NnaD: sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family
TIGR01173	TIGR01173	YP_002418659.1	-	8.5e-09	32.7	1.5	2.1e-06	24.8	0.1	2.1	1	1	1	2	2	2	2	glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03532	TIGR03532	YP_002418659.1	-	8.7e-09	33.3	4.2	1.1e-08	32.9	4.2	1.1	1	0	0	1	1	1	1	DapD_Ac: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR01853	TIGR01853	YP_002418659.1	-	5.9e-08	30.0	9.8	8.6e-05	19.6	2.0	2.4	1	1	1	2	2	2	2	lipid_A_lpxD: UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
TIGR02353	TIGR02353	YP_002418659.1	-	1e-06	25.3	1.1	1.5e-06	24.8	1.1	1.2	1	0	0	1	1	1	1	NRPS_term_dom: non-ribosomal peptide synthetase terminal domain of unknown function
TIGR01852	TIGR01852	YP_002418659.1	-	5e-06	23.9	3.6	0.012	12.8	0.3	2.2	1	1	1	2	2	2	2	lipid_A_lpxA: acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
TIGR00965	TIGR00965	YP_002418659.1	-	0.0013	16.2	2.7	0.0017	15.8	2.7	1.1	1	0	0	1	1	1	1	dapD: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03992	TIGR03992	YP_002418659.1	-	0.0094	12.8	4.4	0.018	11.9	4.3	1.4	1	1	0	1	1	1	1	Arch_glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03991	TIGR03991	YP_002418659.1	-	0.012	12.9	2.4	0.057	10.7	2.3	1.8	1	1	0	1	1	1	0	alt_bact_glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03308	TIGR03308	YP_002418659.1	-	0.016	13.0	0.3	0.016	13.0	0.3	2.2	1	1	1	2	2	2	0	phn_thr-fam: phosphonate metabolim protein, transferase hexapeptide repeat family
TIGR03570	TIGR03570	YP_002418674.1	-	1.9e-16	58.2	9.8	1.2e-09	36.0	3.1	2.1	2	0	0	2	2	2	2	NeuD_NnaD: sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family
TIGR03532	TIGR03532	YP_002418674.1	-	6.1e-15	53.4	1.1	7.8e-15	53.1	1.1	1.2	1	0	0	1	1	1	1	DapD_Ac: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR01853	TIGR01853	YP_002418674.1	-	1.7e-13	48.2	3.9	1.3e-09	35.4	0.1	2.4	2	1	0	2	2	2	2	lipid_A_lpxD: UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
TIGR03308	TIGR03308	YP_002418674.1	-	2.7e-10	38.4	3.4	1.7e-09	35.8	3.4	2.4	1	1	0	1	1	1	1	phn_thr-fam: phosphonate metabolim protein, transferase hexapeptide repeat family
TIGR01172	TIGR01172	YP_002418674.1	-	2.2e-09	35.5	3.7	5.5e-08	31.0	3.7	2.2	1	1	0	1	1	1	1	cysE: serine O-acetyltransferase
TIGR01173	TIGR01173	YP_002418674.1	-	2.7e-09	34.3	3.4	1.4e-08	32.0	3.4	2.4	1	1	0	1	1	1	1	glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR01852	TIGR01852	YP_002418674.1	-	1.4e-07	29.0	0.6	6.6e-07	26.8	0.0	2.0	2	0	0	2	2	2	1	lipid_A_lpxA: acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
TIGR04008	TIGR04008	YP_002418674.1	-	3e-05	21.9	1.8	0.056	11.3	0.6	2.6	1	1	1	2	2	2	2	WcaF: colanic acid biosynthesis acetyltransferase WcaF
TIGR03991	TIGR03991	YP_002418674.1	-	4.8e-05	20.8	2.0	0.0012	16.1	0.1	2.0	2	0	0	2	2	2	1	alt_bact_glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03992	TIGR03992	YP_002418674.1	-	0.00011	19.2	3.1	0.00013	18.9	0.1	1.9	2	0	0	2	2	2	1	Arch_glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR04016	TIGR04016	YP_002418674.1	-	0.00016	19.2	4.6	0.0025	15.4	3.6	2.1	1	1	1	2	2	2	2	WcaB: colanic acid biosynthesis acetyltransferase WcaB
TIGR02353	TIGR02353	YP_002418674.1	-	0.00086	15.7	1.3	0.16	8.2	0.5	2.1	2	0	0	2	2	2	2	NRPS_term_dom: non-ribosomal peptide synthetase terminal domain of unknown function
TIGR02287	TIGR02287	YP_002418674.1	-	0.0037	15.0	0.3	1.4	6.6	0.1	2.5	2	1	0	2	2	2	2	PaaY: phenylacetic acid degradation protein PaaY
TIGR02091	TIGR02091	YP_002418674.1	-	0.0054	13.8	0.1	0.035	11.1	0.1	2.0	1	1	0	1	1	1	1	glgC: glucose-1-phosphate adenylyltransferase
TIGR01208	TIGR01208	YP_002418674.1	-	0.094	9.5	3.3	0.1	9.4	0.1	2.1	2	0	0	2	2	2	0	rmlA_long: glucose-1-phosphate thymidylyltransferase
TIGR00965	TIGR00965	YP_002418674.1	-	0.094	10.1	4.0	0.065	10.6	0.3	2.1	1	1	1	2	2	2	0	dapD: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
