annotation	cutoff.trusted	cutoff.noise	type	ec
TIGR00001	51.2	23.65	equivalog	
TIGR00002	45.3	40.6	equivalog	
TIGR00003	62	56.4	subfamily_domain	
TIGR00004	106.25	80.8	subfamily	
TIGR00005	192.7	136.2	subfamily	5.4.99.-
TIGR00006	154.3	114.95	equivalog	2.1.1.199
TIGR00007	228.95	163.05	equivalog	5.3.1.16
TIGR00008	61.15	39.7	equivalog	
TIGR00009	48.3	42.85	equivalog	
TIGR00010	206	108.85	subfamily	
TIGR00011	153.25	70.15	hypoth_equivalog	3.6.1.-
TIGR00012	22.6	21.75	equivalog	
TIGR00013	56.9	31.5	subfamily	5.3.2.-
TIGR00014	106.05	61.55	equivalog	1.20.4.1
TIGR00016	293.4	146.1	equivalog	2.7.2.1
TIGR00017	135.55	36.35	equivalog	2.7.4.14
TIGR00018	212.75	77.6	equivalog	6.3.2.1
TIGR00019	423.25	330	equivalog	
TIGR00020	383.15	337.4	equivalog	
TIGR00021	126.4	56.35	equivalog	5.3.1.6
TIGR00022	45.5	35.65	subfamily	
TIGR00023	137.2	62.4	equivalog	2.3.1.-
TIGR00024	115.2	70.2	hypoth_equivalog	3.1.-.-
TIGR00025	146.9	58.6	paralog	
TIGR00026	46.35	38.15	subfamily	
TIGR00027	93.55	67.25	subfamily	2.1.1.-
TIGR00028	73.6	73.45	subfamily	
TIGR00029	52.9	39.2	equivalog	
TIGR00030	28.95	24.5	equivalog	
TIGR00031	303.75	188.3	equivalog	5.4.99.9
TIGR00032	268.2	168.65	equivalog	6.3.4.5
TIGR00033	212.2	131.1	equivalog	4.2.3.5
TIGR00034	173.2	18.9	equivalog	2.5.1.54
TIGR00035	93.1	88.7	subfamily	5.1.1.13
TIGR00036	122	80.7	equivalog	1.17.1.8
TIGR00037	75.45	69.8	equivalog	
TIGR00038	185.8	136.65	equivalog	
TIGR00039	125.5	57.25	subfamily	
TIGR00040	56.25	40.05	subfamily	3.1.-.-
TIGR00041	83.25	76.7	equivalog	2.7.4.9
TIGR00042	145.35	55.9	equivalog	3.6.1.-
TIGR00043	42.05	38.05	equivalog	
TIGR00044	106.25	98.5	hypoth_equivalog	
TIGR00045	168.45	152.85	subfamily	2.7.1.31
TIGR00046	41	31.05	subfamily	2.1.1.-
TIGR00048	290	285	equivalog	2.1.1.192
TIGR00049	58.8	45.6	subfamily	
TIGR00050	167.15	89.4	subfamily	2.1.1.-
TIGR00051	68.7	34.4	subfamily	
TIGR00052	79.55	64.1	subfamily	3.6.1.-
TIGR00053	87.25	52.65	subfamily	
TIGR00054	147.55	70	equivalog	3.4.24.-
TIGR00055	109.55	25.1	equivalog	2.5.1.31
TIGR00056	212.2	101	subfamily	
TIGR00057	123.2	75.45	equivalog	
TIGR00058	131.85	70.8	subfamily	
TIGR00059	70.05	57.15	equivalog	
TIGR00060	87.85	56.45	equivalog	
TIGR00061	43.7	38.75	equivalog	
TIGR00062	90.35	46.5	equivalog	
TIGR00063	181.6	100.9	equivalog	3.5.4.16
TIGR00064	260.7	246.3	equivalog	
TIGR00065	295.2	197.75	equivalog	
TIGR00066	357.85	182.7	equivalog	2.3.2.2
TIGR00067	146.65	78.55	equivalog	5.1.1.3
TIGR00068	122.45	61.3	equivalog	4.4.1.5
TIGR00069	243.8	212.5	equivalog_domain	1.1.1.23
TIGR00070	75.75	61.55	equivalog	2.4.2.17
TIGR00071	142.85	31.35	equivalog	5.4.99.12
TIGR00072	47.45	36.95	superfamily	
TIGR00073	121.2	85.4	equivalog	
TIGR00074	48	39.5	equivalog	
TIGR00075	192.8	28.85	equivalog	
TIGR00077	73.95	67.15	equivalog	3.4.23.36
TIGR00078	198.4	150.9	equivalog	2.4.2.19
TIGR00079	103.95	74.15	equivalog	3.5.1.88
TIGR00080	159.05	79.2	equivalog	2.1.1.77
TIGR00081	189.9	36.9	equivalog	6.3.2.6
TIGR00082	51.15	40.6	equivalog	
TIGR00083	184.35	95.15	equivalog	2.7.1.26 2.7.7.2
TIGR00084	116.45	81.5	equivalog	3.6.4.12
TIGR00086	119.1	82.35	equivalog	
TIGR00087	135.1	33.2	equivalog	3.1.3.5 3.1.3.6
TIGR00088	195	29.35	equivalog	2.1.1.228
TIGR00089	251	185.4	subfamily	2.1.1.- 2.8.1.-
TIGR00090	56.9	52.95	equivalog	
TIGR00091	112.65	82.65	equivalog	2.1.1.33
TIGR00092	279.2	203.55	hypoth_equivalog	
TIGR00093	109.3	46.4	subfamily	5.4.99.-
TIGR00094	172.2	60.85	subfamily	5.4.99.-
TIGR00095	117.5	67.9	equivalog	2.1.1.171
TIGR00096	167.9	84.9	equivalog	2.1.1.198
TIGR00097	204.95	79.35	equivalog_domain	2.7.1.49 2.7.4.7
TIGR00099	137	100.65	subfamily	
TIGR00100	88.1	56.8	equivalog	
TIGR00101	204.2	74.2	equivalog	
TIGR00103	49.45	47.85	equivalog	
TIGR00104	93.25	75.4	equivalog	2.1.1.-
TIGR00105	38.35	25.35	equivalog	
TIGR00106	54.7	48.1	hypoth_equivalog	
TIGR00107	232.25	106.4	equivalog	2.4.2.1
TIGR00109	124.6	114.2	equivalog	4.99.1.1
TIGR00110	618.15	339.1	equivalog	4.2.1.9
TIGR00111	177.65	128.2	equivalog	
TIGR00112	196.75	89.05	equivalog	1.5.1.2
TIGR00113	267.45	158	equivalog	2.4.99.17
TIGR00114	84.6	77.65	equivalog	2.5.1.78
TIGR00115	180.2	154.5	equivalog	5.2.1.8
TIGR00116	104.05	93.7	equivalog	
TIGR00117	1287.2	372.35	equivalog	4.2.1.3
TIGR00118	538.35	489	equivalog	2.2.1.6
TIGR00119	56.9	38.2	equivalog	2.2.1.6
TIGR00120	298	203.55	equivalog	2.3.1.35 2.3.1.1
TIGR00121	83.1	76.45	equivalog_domain	6.3.4.15
TIGR00122	70	39.75	equivalog_domain	
TIGR00123	184.15	39.85	equivalog	
TIGR00124	262.1	183.85	equivalog	6.2.1.22
TIGR00125	27.7	27.5	domain	
TIGR00126	117.3	39.35	equivalog	4.1.2.4
TIGR00127	397.15	103.45	equivalog	1.1.1.42
TIGR00128	260.9	209.6	equivalog	2.3.1.39
TIGR00129	140.9	33.65	equivalog	
TIGR00130	134.95	134.85	equivalog	
TIGR00131	226.65	185	equivalog	2.7.1.6
TIGR00132	481.1	399.35	equivalog	6.3.5.-
TIGR00133	314.8	199.15	equivalog	6.3.5.-
TIGR00134	319.55	223.4	equivalog	6.3.5.-
TIGR00135	47.1	29.35	equivalog	6.3.5.-
TIGR00136	524.85	97	equivalog	
TIGR00137	428.65	82.85	equivalog	2.1.1.74
TIGR00138	99.5	75.9	equivalog	2.1.1.170
TIGR00139	529.9	315.3	equivalog	4.2.1.36
TIGR00140	151.8	103.1	equivalog	3.4.23.-
TIGR00142	119.1	91.15	equivalog	3.4.23.-
TIGR00143	466.1	359.8	equivalog	
TIGR00144	113.5	44.7	subfamily	
TIGR00145	303.8	43.6	subfamily	
TIGR00147	118.65	102.3	subfamily	2.7.1.-
TIGR00148	244.85	15.9	subfamily	4.1.1.-
TIGR00149	67.75	48.95	hypoth_equivalog	
TIGR00150	60.1	46.45	equivalog	
TIGR00151	116.45	42.35	equivalog_domain	4.6.1.12
TIGR00152	65.55	62.35	equivalog	2.7.1.24
