organism	preparation	original_protein_id	hit	rossman_hit	rossman_family
C. saccharolyticum	lysate	D9QZ39	No	No	NA
C. saccharolyticum	lysate	D9QZ40	Yes	No	NA
C. saccharolyticum	lysate	D9QZ41	No	No	NA
C. saccharolyticum	lysate	D9QZ42	No	No	NA
C. saccharolyticum	lysate	D9QZ43	No	No	NA
C. saccharolyticum	lysate	D9QZ44	No	Yes	3.40.50.970
C. saccharolyticum	lysate	D9QZ45	No	No	NA
C. saccharolyticum	lysate	D9QZ47	No	No	NA
C. saccharolyticum	lysate	D9QZ48	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZ49	No	No	NA
C. saccharolyticum	lysate	D9QZ50	Yes	No	NA
C. saccharolyticum	lysate	D9QZ52	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZ53	No	No	NA
C. saccharolyticum	lysate	D9QZ54	No	No	NA
C. saccharolyticum	lysate	D9QZ59	No	No	NA
C. saccharolyticum	lysate	D9QZ62	No	No	NA
C. saccharolyticum	lysate	D9QZ65	No	No	NA
C. saccharolyticum	lysate	D9QZ67	No	No	NA
C. saccharolyticum	lysate	D9QZ69	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZ70	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZ71	No	No	NA
C. saccharolyticum	lysate	D9QZ72	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZ73	No	No	NA
C. saccharolyticum	lysate	D9QZ74	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9QZ76	No	No	NA
C. saccharolyticum	lysate	D9QZ87	No	No	NA
C. saccharolyticum	lysate	D9QZ92	No	No	NA
C. saccharolyticum	lysate	D9QZ99	No	No	NA
C. saccharolyticum	lysate	D9QZA0	No	No	NA
C. saccharolyticum	lysate	D9QZA3	No	No	NA
C. saccharolyticum	lysate	D9QZA9	No	No	NA
C. saccharolyticum	lysate	D9QZB4	No	No	NA
C. saccharolyticum	lysate	D9QZB7	No	No	NA
C. saccharolyticum	lysate	D9QZC2	No	Yes	3.40.50.720
C. saccharolyticum	lysate	D9QZC3	Yes	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZC5	No	No	NA
C. saccharolyticum	lysate	D9QZC6	No	No	NA
C. saccharolyticum	lysate	D9QZC7	No	No	NA
C. saccharolyticum	lysate	D9QZD3	No	No	NA
C. saccharolyticum	lysate	D9QZD4	Yes	Yes	3.40.50.1100
C. saccharolyticum	lysate	D9QZD7	No	No	NA
C. saccharolyticum	lysate	D9QZE4	No	Yes	3.40.50.2300
C. saccharolyticum	lysate	D9QZE7	No	No	NA
C. saccharolyticum	lysate	D9QZE8	No	Yes	3.40.50.10470
C. saccharolyticum	lysate	D9QZE9	No	Yes	3.40.50.1360
C. saccharolyticum	lysate	D9QZF3	No	No	NA
C. saccharolyticum	lysate	D9QZF5	No	No	NA
C. saccharolyticum	lysate	D9QZF8	Yes	No	NA
C. saccharolyticum	lysate	D9QZG0	No	No	NA
C. saccharolyticum	lysate	D9QZG2	Yes	Yes	3.40.50.1970
C. saccharolyticum	lysate	D9QZG3	No	Yes	3.40.50.10440
C. saccharolyticum	lysate	D9QZG6	No	No	NA
C. saccharolyticum	lysate	D9QZH5	No	No	NA
C. saccharolyticum	lysate	D9QZI0	No	No	NA
C. saccharolyticum	lysate	D9QZI2	No	No	NA
C. saccharolyticum	lysate	D9QZI3	No	No	NA
C. saccharolyticum	lysate	D9QZI4	No	No	NA
C. saccharolyticum	lysate	D9QZI6	No	No	NA
C. saccharolyticum	lysate	D9QZI7	No	Yes	3.40.50.150
C. saccharolyticum	lysate	D9QZI8	No	No	NA
C. saccharolyticum	lysate	D9QZI9	No	No	NA
C. saccharolyticum	lysate	D9QZJ0	No	No	NA
C. saccharolyticum	lysate	D9QZJ1	No	No	NA
C. saccharolyticum	lysate	D9QZJ3	No	No	NA
C. saccharolyticum	lysate	D9QZJ8	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZM3	No	No	NA
C. saccharolyticum	lysate	D9QZM4	No	No	NA
C. saccharolyticum	lysate	D9QZM5|D9R5X6	No	No	NA
C. saccharolyticum	lysate	D9QZM7	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZM7|D9QZM8	Yes	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZM9	No	No	NA
C. saccharolyticum	lysate	D9QZN0	No	No	NA
C. saccharolyticum	lysate	D9QZN1	No	No	NA
C. saccharolyticum	lysate	D9QZN2	No	No	NA
C. saccharolyticum	lysate	D9QZN3	No	No	NA
C. saccharolyticum	lysate	D9QZN4	No	No	NA
C. saccharolyticum	lysate	D9QZN5	No	No	NA
C. saccharolyticum	lysate	D9QZN6	No	No	NA
C. saccharolyticum	lysate	D9QZN7	No	No	NA
C. saccharolyticum	lysate	D9QZN9|D9R7G6	No	No	NA
C. saccharolyticum	lysate	D9QZP0	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZP1	No	No	NA
C. saccharolyticum	lysate	D9QZP2	No	No	NA
C. saccharolyticum	lysate	D9QZP3	No	No	NA
C. saccharolyticum	lysate	D9QZP4	No	No	NA
C. saccharolyticum	lysate	D9QZP5	No	No	NA
C. saccharolyticum	lysate	D9QZP6	No	No	NA
C. saccharolyticum	lysate	D9QZP7	No	No	NA
C. saccharolyticum	lysate	D9QZP8	No	No	NA
C. saccharolyticum	lysate	D9QZP9	No	No	NA
C. saccharolyticum	lysate	D9QZQ0	No	No	NA
C. saccharolyticum	lysate	D9QZQ1	No	No	NA
C. saccharolyticum	lysate	D9QZQ2	No	No	NA
C. saccharolyticum	lysate	D9QZQ3	No	No	NA
C. saccharolyticum	lysate	D9QZQ4	No	No	NA
C. saccharolyticum	lysate	D9QZQ5	No	No	NA
C. saccharolyticum	lysate	D9QZQ6	No	No	NA
C. saccharolyticum	lysate	D9QZQ7	No	No	NA
C. saccharolyticum	lysate	D9QZQ8	No	No	NA
C. saccharolyticum	lysate	D9QZQ9	No	No	NA
C. saccharolyticum	lysate	D9QZR0	No	No	NA
C. saccharolyticum	lysate	D9QZR1	No	No	NA
C. saccharolyticum	lysate	D9QZR2	No	No	NA
C. saccharolyticum	lysate	D9QZR3	No	No	NA
C. saccharolyticum	lysate	D9QZR4	No	No	NA
C. saccharolyticum	lysate	D9QZR9	No	No	NA
C. saccharolyticum	lysate	D9QZS0|D9R870|D9RAT4	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9QZS2	No	No	NA
C. saccharolyticum	lysate	D9QZS4	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZS5	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZS6	No	No	NA
C. saccharolyticum	lysate	D9QZS7	No	No	NA
C. saccharolyticum	lysate	D9QZS8	No	No	NA
C. saccharolyticum	lysate	D9QZS9	No	No	NA
C. saccharolyticum	lysate	D9QZT0	No	No	NA
C. saccharolyticum	lysate	D9QZT1	No	No	NA
C. saccharolyticum	lysate	D9QZT2	No	No	NA
C. saccharolyticum	lysate	D9QZT3	No	No	NA
C. saccharolyticum	lysate	D9QZT4	No	No	NA
C. saccharolyticum	lysate	D9QZT5	No	No	NA
C. saccharolyticum	lysate	D9QZT6	No	No	NA
C. saccharolyticum	lysate	D9QZT8	No	No	NA
C. saccharolyticum	lysate	D9QZT9	No	No	NA
C. saccharolyticum	lysate	D9QZU0	No	No	NA
C. saccharolyticum	lysate	D9QZU1	No	Yes	3.40.50.1000
C. saccharolyticum	lysate	D9QZU2	No	No	NA
C. saccharolyticum	lysate	D9QZU3	No	No	NA
C. saccharolyticum	lysate	D9QZU5	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZU6	No	No	NA
C. saccharolyticum	lysate	D9QZU7	No	No	NA
C. saccharolyticum	lysate	D9QZU9	No	Yes	3.40.50.670
C. saccharolyticum	lysate	D9QZV0	No	No	NA
C. saccharolyticum	lysate	D9QZV4	Yes	No	NA
C. saccharolyticum	lysate	D9QZV5	No	No	NA
C. saccharolyticum	lysate	D9QZV7	No	No	NA
C. saccharolyticum	lysate	D9QZV8	No	No	NA
C. saccharolyticum	lysate	D9QZV9	No	No	NA
C. saccharolyticum	lysate	D9QZW0	No	No	NA
C. saccharolyticum	lysate	D9QZW1	No	No	NA
C. saccharolyticum	lysate	D9QZW2	No	No	NA
C. saccharolyticum	lysate	D9QZW3	No	Yes	3.40.50.300
C. saccharolyticum	lysate	D9QZW6	No	No	NA
C. saccharolyticum	lysate	D9QZX6	No	Yes	3.40.50.140
C. saccharolyticum	lysate	D9QZX7	No	No	NA
C. saccharolyticum	lysate	D9QZX8	No	Yes	3.40.50.10490
C. saccharolyticum	lysate	D9QZX9	No	No	NA
C. saccharolyticum	lysate	D9QZY0	No	No	NA
C. saccharolyticum	lysate	D9QZY1	Yes	No	NA
C. saccharolyticum	lysate	D9QZY2	No	No	NA
