"Control_1"	"Control_2"	"Control_3"	"Control_4"	"Du_1"	"Du_2"	"Du_3"	"Du_4"	"name"
"A0A0H3W5U9"	NA	NA	NA	NA	NA	NA	NA	NA	"A0A0H3W5U9_CLOTM Aldehyde-alcohol dehydrogenase OS=Clostridium thermocellum GN=adhE PE=3 SV=1;tr"
"D6DDN4"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DDN4_CLOSC Chaperone protein DnaK OS=[Clostridium] cf. saccharolyticum K10 GN=dnaK PE=2 SV=1"
"D6DDN5"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DDN5_CLOSC Chaperone protein DnaJ OS=[Clostridium] cf. saccharolyticum K10 GN=dnaJ PE=3 SV=1"
"D9R8T7"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R8T7_CLOSW Glutamate--tRNA ligase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=gltX PE=3 SV=1;tr"
"D6DDX3"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DDX3_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_39000 PE=4 SV=1"
"D6DDZ1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DDZ1_CLOSC Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_39270 PE=4 SV=1"
"D6DE04"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DE04_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_00230 PE=4 SV=1"
"D6DE22"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DE22_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_00420 PE=4 SV=1"
"D6DE96"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DE96_CLOSC Ankyrin repeat OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_01350 PE=4 SV=1"
"D6DED4"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DED4_CLOSC 3-oxoacyl-(Acyl-carrier-protein) reductase OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_01800 PE=3 SV=1"
"D6DEP3"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DEP3_CLOSC ABC-type antimicrobial peptide transport system, permease component OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_03250 PE=4 SV=1"
"D6DEU1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DEU1_CLOSC Cellulase M and related proteins OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_03840 PE=4 SV=1"
"D6DEY9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DEY9_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_04390 PE=4 SV=1"
"D6DF39"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DF39_CLOSC Retron-type reverse transcriptase OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_04950 PE=4 SV=1"
"D6DFB5"	NA	NA	NA	NA	NA	396790	NA	416370	"D6DFB5_CLOSC DNA gyrase subunit B OS=[Clostridium] cf. saccharolyticum K10 GN=gyrB PE=3 SV=1"
"D6DFB9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DFB9_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_06000 PE=4 SV=1"
"D6DFJ7"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DFJ7_CLOSC ABC-type antimicrobial peptide transport system, ATPase component OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_06960 PE=4 SV=1"
"D6DFR1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DFR1_CLOSC FOG: Glucan-binding domain (YG repeat) OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_07830 PE=4 SV=1;tr"
"D6DFV8"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DFV8_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_08440 PE=4 SV=1"
"D6DG42"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DG42_CLOSC Putative phage-type endonuclease OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_09540 PE=4 SV=1"
"D6DGE8"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DGE8_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_10830 PE=4 SV=1"
"D6DGR1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DGR1_CLOSC Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_12200 PE=3 SV=1"
"D9R3V6"	NA	NA	NA	NA	NA	NA	270880	NA	"D9R3V6_CLOSW Peptide chain release factor 1 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=prfA PE=3 SV=1;tr"
"D6DGZ9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DGZ9_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_13300 PE=4 SV=1"
"D9R8L7"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R8L7_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3216 PE=4 SV=1;tr"
"D6DHU1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DHU1_CLOSC (P)ppGpp synthetase, RelA/SpoT family OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_17040 PE=3 SV=1"
"D6DHU5"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DHU5_CLOSC Aspartyl-tRNA synthetase OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_17090 PE=3 SV=1"
"D6DHX9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DHX9_CLOSC ABC-type Mn/Zn transport systems, ATPase component OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_17520 PE=4 SV=1"
"D9R9V0"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R9V0_CLOSW TrpR like protein, YerC/YecD OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1553 PE=4 SV=1;tr"
"D6DII1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DII1_CLOSC Cold-shock DNA-binding protein family OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_20050 PE=4 SV=1"
"D6DIR4"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DIR4_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_21160 PE=4 SV=1"
"D6DJP1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DJP1_CLOSC Signal recognition particle protein OS=[Clostridium] cf. saccharolyticum K10 GN=ffh PE=3 SV=1"
"D6DJW6"	NA	NA	NA	NA	NA	NA	NA	90826	"D6DJW6_CLOSC tRNA dimethylallyltransferase OS=[Clostridium] cf. saccharolyticum K10 GN=miaA PE=3 SV=1;tr"
"D6DJY1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DJY1_CLOSC Phosphate starvation-inducible protein PhoH, predicted ATPase OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_26420 PE=4 SV=1"
"D9R1A4"	592140	1572900	NA	535940	NA	4315700	5001300	6710900	"D9R1A4_CLOSW 30S ribosomal protein S21 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsU PE=3 SV=1;tr"
"D9R025"	NA	NA	NA	NA	NA	NA	NA	NA	"D9R025_CLOSW 50S ribosomal protein L32 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpmF PE=3 SV=1;tr"
"D6DK98"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DK98_CLOSC DNA polymerase I OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_27840 PE=3 SV=1"
"D6DKC9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DKC9_CLOSC ABC-type multidrug transport system, ATPase and permease components OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_28290 PE=4 SV=1"
"D6DKH9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DKH9_CLOSC 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_28940 PE=4 SV=1"
"D9R6M1"	NA	NA	NA	42823	NA	NA	NA	NA	"D9R6M1_CLOSW Glycine--tRNA ligase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=glyQS PE=3 SV=1;tr"
"D6DKU5"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DKU5_CLOSC Pyruvate, phosphate dikinase OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_30360 PE=4 SV=1"
"D6DKZ9"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DKZ9_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_31030 PE=4 SV=1"
"D6DL67"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DL67_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_31980 PE=4 SV=1"
"D6DLI8"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DLI8_CLOSC Uncharacterized protein OS=[Clostridium] cf. saccharolyticum K10 GN=CLS_33620 PE=4 SV=1"
"D6DLT0"	NA	NA	NA	1608200	NA	NA	NA	NA	"D6DLT0_CLOSC 50S ribosomal protein L3 OS=[Clostridium] cf. saccharolyticum K10 GN=rplC PE=3 SV=1"
"D6DLV1"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DLV1_CLOSC Translation initiation factor IF-1 OS=[Clostridium] cf. saccharolyticum K10 GN=infA PE=3 SV=1"
"D6DLV6"	NA	NA	NA	NA	NA	900180	NA	NA	"D6DLV6_CLOSC 30S ribosomal protein S4 OS=[Clostridium] cf. saccharolyticum K10 GN=rpsD PE=3 SV=1"
"D6DM03"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DM03_CLOSC 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=[Clostridium] cf. saccharolyticum K10 GN=ispE PE=3 SV=1"
"D6DM14"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DM14_CLOSC Glutamate racemase OS=[Clostridium] cf. saccharolyticum K10 GN=murI PE=3 SV=1"
"D6DM48"	NA	NA	NA	NA	NA	NA	NA	NA	"D6DM48_CLOSC 50S ribosomal protein L11 OS=[Clostridium] cf. saccharolyticum K10 GN=rplK PE=3 SV=1"
"D9QZ39"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZ39_CLOSW Peptidase S58 DmpA OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1694 PE=4 SV=1"
"D9QZ43"	412260	508760	231520	754010	614330	541980	805050	603840	"D9QZ43_CLOSW VanW family protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1698 PE=4 SV=1"
"D9QZ44"	1597600	302220	300100	4539200	3335100	2266400	2543400	1999700	"D9QZ44_CLOSW Pyruvate-flavodoxin oxidoreductase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1699 PE=3 SV=1"
"D9QZ45"	NA	1496000	NA	2005200	2020700	3632100	2609100	3722000	"D9QZ45_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1700 PE=4 SV=1"
"D9QZ48"	22863	80692	NA	189220	NA	NA	313540	395800	"D9QZ48_CLOSW ABC transporter related protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1703 PE=4 SV=1"
"D9QZ49"	223760	319440	146110	270710	245960	427430	488700	439280	"D9QZ49_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1704 PE=4 SV=1"
"D9QZ50"	276960	172440	NA	551050	3235700	7231800	5833900	5959800	"D9QZ50_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1705 PE=4 SV=1"
"D9QZ53"	NA	NA	NA	NA	NA	119030	410040	NA	"D9QZ53_CLOSW O-acetylhomoserine/O-acetylserine sulfhydrylase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1708 PE=3 SV=1"
"D9QZ54"	NA	NA	NA	51498	NA	NA	NA	NA	"D9QZ54_CLOSW Phospholipase D/Transphosphatidylase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1709 PE=4 SV=1"
"D9QZ62"	NA	NA	NA	77327	480910	428810	361290	542570	"D9QZ62_CLOSW Extracellular solute-binding protein family 1 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1717 PE=4 SV=1"
"D9QZ67"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZ67_CLOSW Aldehyde Dehydrogenase OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1722 PE=3 SV=1"
"D9QZ69"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZ69_CLOSW ABC transporter related protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1724 PE=4 SV=1"
"D9QZ70"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZ70_CLOSW ABC transporter related protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1725 PE=4 SV=1"
"D9QZ71"	370280	428230	376030	518640	1528800	1272100	2462800	2160000	"D9QZ71_CLOSW Patatin OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1726 PE=4 SV=1"
"D9QZ73"	NA	NA	NA	NA	930430	1524400	2185000	2971700	"D9QZ73_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1728 PE=4 SV=1"
"D9QZ75"	NA	NA	NA	NA	NA	NA	239900	NA	"D9QZ75_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1730 PE=4 SV=1"
"D9RA69"	NA	NA	NA	NA	NA	NA	NA	NA	"D9RA69_CLOSW RNA polymerase, sigma-24 subunit, ECF subfamily OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3516 PE=4 SV=1;tr"
"D9QZB4"	442240	415190	93087	560350	2046800	2615800	8251500	3525900	"D9QZB4_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1782 PE=4 SV=1"
"D9QZE4"	NA	NA	NA	58324	132610	NA	165080	NA	"D9QZE4_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1812 PE=4 SV=1"
"D9QZE9"	NA	NA	NA	NA	257670	296210	861990	587540	"D9QZE9_CLOSW Transcriptional regulator, DeoR family OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_1817 PE=4 SV=1"
"D9QZG4"	NA	NA	NA	NA	NA	NA	NA	NA	"D9QZG4_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3669 PE=4 SV=1"
"D9QZI2"	NA	NA	NA	NA	NA	53455	NA	NA	"D9QZI2_CLOSW Uncharacterized protein OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=Closa_3688 PE=4 SV=1"
"D9QZM3"	NA	NA	170660	731450	2236100	3888600	3124900	1889300	"D9QZM3_CLOSW 30S ribosomal protein S9 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rpsI PE=3 SV=1;tr"
"D9QZM4"	NA	613400	NA	1353400	2475800	5347800	11647000	3787100	"D9QZM4_CLOSW 50S ribosomal protein L13 OS=Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1) GN=rplM PE=3 SV=1"
