NP_414543.1	316385.ECDH10B_0002	0.0	1600.5	THRA	GO:0003674,GO:0003824,GO:0004072,GO:0004412,GO:0006082,GO:0006520,GO:0006553,GO:0006566,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009088,GO:0009089,GO:0009090,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016772,GO:0016774,GO:0019202,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044710,GO:0044711,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	K00928,K12524,K12525	ASPK,HSDy	bactNOG[38]	05CFH@bactNOG,0QIUN@gproNOG,16QRR@proNOG,COG0460@NOG,COG0527@NOG	NA|NA|NA	E	Aspartokinase
NP_414544.1	316385.ECDH10B_0003	1.1e-178	630.9	THRB	GO:0003674,GO:0003824,GO:0004413,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006566,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009088,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019202,GO:0019752,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	K00872	4HTHRK,HSK	bactNOG[38]	05D5I@bactNOG,0QJQA@gproNOG,16QN4@proNOG,COG0083@NOG	NA|NA|NA	E	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate (By similarity)
NP_414545.1	316407.21321894	4.6e-247	858.6	THRC	GO:0003674,GO:0003824,GO:0004795,GO:0006082,GO:0006520,GO:0006566,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009088,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044710,GO:0044711,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	K01733	4HTHRS,THRS	bactNOG[38]	05D98@bactNOG,0QIER@gproNOG,16PSC@proNOG,COG0498@NOG	NA|NA|NA	E	threonine synthase
NP_414547.1	316385.ECDH10B_0006	5.8e-144	515.4	YAAA	GO:0006950,GO:0006979,GO:0008150,GO:0033194,GO:0042221,GO:0050896,GO:1901700	K09861		bactNOG[38]	05D1Q@bactNOG,0QIYP@gproNOG,16QSD@proNOG,COG3022@NOG	NA|NA|NA	S	UPF0246 protein
NP_414548.1	316407.21321898	9e-268	927.5	YAAJ	GO:0003333,GO:0003674,GO:0005215,GO:0005283,GO:0005294,GO:0005342,GO:0005343,GO:0005416,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006820,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015077,GO:0015081,GO:0015171,GO:0015175,GO:0015291,GO:0015293,GO:0015294,GO:0015370,GO:0015655,GO:0015672,GO:0015711,GO:0015804,GO:0015807,GO:0015808,GO:0015849,GO:0016020,GO:0022804,GO:0022857,GO:0022858,GO:0022890,GO:0022891,GO:0022892,GO:0030001,GO:0032328,GO:0034220,GO:0035725,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046873,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944	K03310	ALAt2r,ALAt4pp,GLYt2r,GLYt4pp	bactNOG[38]	05BZG@bactNOG,0QHQD@gproNOG,16PB8@proNOG,COG1115@NOG	NA|NA|NA	E	amino acid carrier protein
NP_414549.1	155864.Z0008	9.2e-176	621.3	TAL	GO:0003674,GO:0003824,GO:0004801,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006740,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009117,GO:0009987,GO:0016020,GO:0016052,GO:0016740,GO:0016744,GO:0019318,GO:0019320,GO:0019362,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044723,GO:0044724,GO:0046365,GO:0046483,GO:0046496,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072524,GO:1901360,GO:1901564,GO:1901575	K00616	TALA	bactNOG[38]	05CW3@bactNOG,0QIJB@gproNOG,16QDJ@proNOG,COG0176@NOG	NA|NA|NA	G	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)
NP_414550.1	316407.85674278	4e-105	386.0	MOG		K03831		bactNOG[38]	08RIR@bactNOG,0QJX5@gproNOG,16SD8@proNOG,COG0521@NOG	NA|NA|NA	H	molybdenum cofactor biosynthesis protein
NP_414555.1	469008.ECD_00014	0.0	1211.1	DNAK	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006457,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016020,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0043335,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046872,GO:0046914,GO:0050896,GO:0071704,GO:0071944	K04043		bactNOG[38]	05CFG@bactNOG,0QJ3C@gproNOG,16R77@proNOG,COG0443@NOG	NA|NA|NA	O	Acts as a chaperone (By similarity)
NP_414556.1	316407.21321903	5.2e-218	761.9	DNAJ	GO:0003674,GO:0003756,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016020,GO:0016853,GO:0016860,GO:0016862,GO:0016864,GO:0019538,GO:0034641,GO:0034645,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043335,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0050896,GO:0051082,GO:0071704,GO:0090304,GO:1901360,GO:1901576	K03686		bactNOG[38]	05BZ5@bactNOG,0QIJ1@gproNOG,16PH2@proNOG,COG0484@NOG	NA|NA|NA	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)
NP_414560.1	316407.21321905	1.3e-208	730.7	NHAA	GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006818,GO:0006873,GO:0006875,GO:0006883,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015385,GO:0015491,GO:0015672,GO:0015992,GO:0016020,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0030001,GO:0030003,GO:0030004,GO:0034220,GO:0035725,GO:0042592,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055067,GO:0055078,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944	K03313	NAt3_2,NAt3_2pp	bactNOG[38]	05DRC@bactNOG,0QIIZ@gproNOG,16RC1@proNOG,COG3004@NOG	NA|NA|NA	P	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons (By similarity)
