# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 10 -i /data/shared/emapper_jobs/user_data/MM_figsawpb/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_figsawpb -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_figsawpb
# time: Mon Jun 17 13:05:54 2019
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
WP_002566501.1	1163671.JAGI01000001_gene116	2.6e-17	94.0	Clostridiaceae	rpsN	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02954	ko03010,map03010	M00178,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1VEF6@1239,24QR1@186801,36MZX@31979,COG0199@1,COG0199@2	NA|NA|NA	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site
WP_002576373.1	610130.Closa_3682	1e-90	339.3	Lachnoclostridium													Bacteria	1V1KH@1239,221IW@1506553,24GHH@186801,COG2856@1,COG2856@2	NA|NA|NA	E	Pfam:DUF955
WP_002576387.1	610130.Closa_3697	1.1e-36	158.7	Clostridia													Bacteria	1VEQQ@1239,24RQB@186801,COG2909@1,COG2909@2	NA|NA|NA	K	trisaccharide binding
WP_002576404.1	1123263.AUKY01000003_gene301	4.1e-30	136.7	Erysipelotrichia													Bacteria	1VA17@1239,2CDEH@1,32RXK@2,3VR9H@526524	NA|NA|NA	S	Maff2 family
WP_002601553.1	1304866.K413DRAFT_0246	4.5e-12	76.3	Clostridiaceae	scfA												Bacteria	1VK9R@1239,24UM0@186801,2EGRK@1,33AHS@2,36N0I@31979	NA|NA|NA	S	Six-cysteine peptide SCIFF
WP_002603763.1	1163671.JAGI01000002_gene1904	1.3e-81	308.9	Clostridiaceae	deoC		3.6.1.13,3.6.1.17,3.6.1.55,3.6.1.61	ko:K01515,ko:K01518,ko:K03574,ko:K18445	ko00230,ko00240,map00230,map00240		R00184,R00969,R01054,R01232,R02805	RC00002	ko00000,ko00001,ko01000,ko03400				Bacteria	1UJC7@1239,25F1K@186801,36K8D@31979,COG0494@1,COG0494@2	NA|NA|NA	L	Belongs to the Nudix hydrolase family
WP_003497809.1	1095750.HMPREF9970_2724	1.5e-12	77.4	Lachnoanaerobaculum	rpmJ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02919	ko03010,map03010	M00178			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1HWHI@1164882,1VK4F@1239,24UGF@186801,COG0257@1,COG0257@2	NA|NA|NA	J	Ribosomal protein L36
WP_003504099.1	411902.CLOBOL_04006	1.7e-21	107.8	Lachnoclostridium	rpsU	GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02970	ko03010,map03010	M00178			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1VEHU@1239,2213C@1506553,24QP9@186801,COG0828@1,COG0828@2	NA|NA|NA	J	Belongs to the bacterial ribosomal protein bS21 family
WP_005929785.1	411483.FAEPRAA2165_00531	9.7e-42	175.6	Clostridia													Bacteria	1V7EG@1239,24JEU@186801,2C5MY@1,32RFW@2	NA|NA|NA		
WP_005929794.1	411483.FAEPRAA2165_00535	9.7e-80	302.8	Ruminococcaceae	yvzC			ko:K07729					ko00000,ko03000				Bacteria	1VAJB@1239,24N2Z@186801,3WJZ7@541000,COG1476@1,COG1476@2	NA|NA|NA	K	Helix-turn-helix domain
WP_005929853.1	411483.FAEPRAA2165_00556	2.3e-107	394.8	Ruminococcaceae													Bacteria	1V34T@1239,248F6@186801,28KCG@1,2Z9ZE@2,3WK73@541000	NA|NA|NA	S	Domain of unknown function (DUF1788)
WP_005929916.1	411483.FAEPRAA2165_00578	3.9e-151	540.8	Ruminococcaceae													Bacteria	1TNZ2@1239,248SU@186801,28HUM@1,2Z81B@2,3WIBH@541000	NA|NA|NA	S	Psort location CytoplasmicMembrane, score
WP_006771855.1	610130.Closa_3740	1.9e-60	238.4	Lachnoclostridium	rpsK	GO:0000028,GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0016043,GO:0016070,GO:0016072,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030490,GO:0032991,GO:0034470,GO:0034622,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048027,GO:0065003,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02948	ko03010,map03010	M00178,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1V3IK@1239,21ZVG@1506553,24HIK@186801,COG0100@1,COG0100@2	NA|NA|NA	J	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome
WP_006775035.1	610130.Closa_1957	4.8e-27	126.3	Lachnoclostridium	rpmB			ko:K02902	ko03010,map03010	M00178			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1VEI2@1239,2212G@1506553,24QNA@186801,COG0227@1,COG0227@2	NA|NA|NA	J	Ribosomal L28 family
WP_008396502.1	610130.Closa_3701	3.5e-42	177.2	Clostridia													Bacteria	1V89K@1239,24KXW@186801,2BF2I@1,328UH@2	NA|NA|NA		
WP_010723032.1	610130.Closa_0271	9.8e-42	175.6	Clostridia													Bacteria	1VH3Y@1239,24NTY@186801,2CC5T@1,332CK@2	NA|NA|NA		
WP_011988858.1	1121334.KB911068_gene2322	4.5e-29	133.3	Ruminococcaceae													Bacteria	1VA17@1239,24MPR@186801,2CDEH@1,32RXK@2,3WKH8@541000	NA|NA|NA	S	Maff2 family
WP_012104147.1	431943.CKL_3835	6.7e-212	743.0	Clostridia				ko:K03694,ko:K03696	ko01100,map01100				ko00000,ko03110				Bacteria	1UZ7G@1239,24C8B@186801,COG0542@1,COG0542@2	NA|NA|NA	O	Torsin
WP_012104148.1	431943.CKL_3836	4.5e-132	477.2	Clostridia													Bacteria	1V8P5@1239,24NNJ@186801,2B7B4@1,320E7@2	NA|NA|NA		
WP_012104160.1	431943.CKL_3848	1.1e-37	162.2	Clostridiaceae													Bacteria	1VHSY@1239,24PEH@186801,2CB89@1,330ZP@2,36NFM@31979	NA|NA|NA		
WP_012104171.1	431943.CKL_3859	2.2e-51	208.0	Clostridia													Bacteria	1VAS5@1239,24MYV@186801,COG1396@1,COG1396@2	NA|NA|NA	K	Helix-turn-helix XRE-family like proteins
WP_012104172.1	431943.CKL_3860	1.8e-40	171.4	Clostridiaceae													Bacteria	1VAGH@1239,24N7S@186801,36KHE@31979,COG1846@1,COG1846@2	NA|NA|NA	K	Helix-turn-helix domain
WP_012104173.1	431943.CKL_3861	0.0	1190.6	Clostridiaceae				ko:K03205	ko03070,map03070	M00333			ko00000,ko00001,ko00002,ko02044	3.A.7			Bacteria	1TPCF@1239,2489C@186801,36EMJ@31979,COG3505@1,COG3505@2	NA|NA|NA	U	TraG TraD family
