# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 10 -i /data/shared/emapper_jobs/user_data/MM_nf70xi_x/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_nf70xi_x -m diamond -d none --tax_scope auto --go_evidence non-electronic --target_orthologs all --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_nf70xi_x
# time: Mon Jun 17 15:33:15 2019
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
YP_788106.1	502347.ESCAB7627_0420	4.1e-37	160.2	Escherichia	stbD			ko:K18923					ko00000,ko02048				Bacteria	1N6YR@1224,1S8RK@1236,3XR3K@561,COG2161@1,COG2161@2	NA|NA|NA	D	Antitoxin Phd_YefM, type II toxin-antitoxin system
YP_001711922.1	502347.ESCAB7627_0420	4.1e-37	160.2	Escherichia	stbD			ko:K18923					ko00000,ko02048				Bacteria	1N6YR@1224,1S8RK@1236,3XR3K@561,COG2161@1,COG2161@2	NA|NA|NA	D	Antitoxin Phd_YefM, type II toxin-antitoxin system
YP_001965408.1	502347.ESCAB7627_0420	4.1e-37	160.2	Escherichia	stbD			ko:K18923					ko00000,ko02048				Bacteria	1N6YR@1224,1S8RK@1236,3XR3K@561,COG2161@1,COG2161@2	NA|NA|NA	D	Antitoxin Phd_YefM, type II toxin-antitoxin system
YP_001965471.1	198214.CP0225	1.4e-53	215.3	Gammaproteobacteria	ccdB			ko:K19163					ko00000,ko02048				Bacteria	1RJIG@1224,1S5Z9@1236,2DM43@1,31N2R@2	NA|NA|NA	S	PFAM CcdB protein
YP_002418657.1	502347.ESCAB7627_0420	4.1e-37	160.2	Escherichia	stbD			ko:K18923					ko00000,ko02048				Bacteria	1N6YR@1224,1S8RK@1236,3XR3K@561,COG2161@1,COG2161@2	NA|NA|NA	D	Antitoxin Phd_YefM, type II toxin-antitoxin system
YP_002418658.1	399742.Ent638_4314	7.4e-43	179.5	Gammaproteobacteria	relE			ko:K06218					ko00000,ko02048				Bacteria	1MZ76@1224,1S8RR@1236,COG2026@1,COG2026@2	NA|NA|NA	DJ	Cytotoxic translational repressor of toxin-antitoxin stability system
YP_002418659.1	1115512.EH105704_01_01750	7.9e-39	167.2	Escherichia													Bacteria	1RHGV@1224,1S6CQ@1236,3XQZM@561,COG1045@1,COG1045@2	NA|NA|NA	E	Serine acetyltransferase
YP_002418663.1	529507.PMI1910	2.6e-14	84.3	Gammaproteobacteria	imm												Bacteria	1NAKG@1224,1SCJQ@1236,2E8RH@1,3332G@2	NA|NA|NA	S	Colicin-E5 Imm protein
YP_002418666.1	1120963.KB894492_gene1479	6.8e-105	387.5	Gammaproteobacteria													Bacteria	1NV7B@1224,1SNC2@1236,2F1FS@1,33UGG@2	NA|NA|NA		
YP_002418672.1	198214.CP0108	6.4e-45	186.4	Gammaproteobacteria				ko:K07483					ko00000				Bacteria	1NAGA@1224,1SCDK@1236,COG2963@1,COG2963@2	NA|NA|NA	L	cog cog2963
YP_002418674.1	1229485.AMYV01000051_gene1636	3.6e-42	177.9	Gammaproteobacteria			2.3.1.30	ko:K00640	ko00270,ko00920,ko01100,ko01110,ko01120,ko01200,ko01230,ko05111,map00270,map00920,map01100,map01110,map01120,map01200,map01230,map05111	M00021	R00586	RC00004,RC00041	ko00000,ko00001,ko00002,ko01000				Bacteria	1QWJD@1224,1T4X4@1236,COG1045@1,COG1045@2	NA|NA|NA	E	Bacterial transferase hexapeptide (six repeats)
