kegg_protein_id	uniprot_id
ecq:ECED1_0001	B7N2U1
ecq:ECED1_0002	B7N2U2
ecq:ECED1_0003	B7MNL2
ecq:ECED1_0004	B7MNL3
ecq:ECED1_0005	B7MNL4
ecq:ECED1_0006	B7MNL5
ecq:ECED1_0008	B7MNL6
ecq:ECED1_0009	B7MNL7
ecq:ECED1_0010	B7MNL8
ecq:ECED1_0011	B7MNL9
ecq:ECED1_0012	B7MNM0
ecq:ECED1_0013	B7MNM1
ecq:ECED1_0014	B7MNM2
ecq:ECED1_0015	B7MNM3
ecq:ECED1_0016	B7MNM4
ecq:ECED1_0017	B7MNM5
ecq:ECED1_0018	B7MNM6
ecq:ECED1_0019	B7MNM7
ecq:ECED1_0020	B7MNM8
ecq:ECED1_0021	B7MNM9
ecq:ECED1_0022	B7MNN0
ecq:ECED1_0023	B7MNN1
ecq:ECED1_0024	B7MNN2
ecq:ECED1_0025	B7MNN3
ecq:ECED1_0026	B7MNN4
ecq:ECED1_0027	B7MNN5
ecq:ECED1_0028	B7MNN6
ecq:ECED1_0029	B7MNN7
ecq:ECED1_0030	B7MNN8
ecq:ECED1_0031	B7MNN9
ecq:ECED1_0032	B7MNP0
ecq:ECED1_0033	B7MNP1
ecq:ECED1_0034	B7MNP2
ecq:ECED1_0035	B7MNP3
ecq:ECED1_0036	B7MNP4
ecq:ECED1_0037	B7MNP5
ecq:ECED1_0038	B7MNP6
ecq:ECED1_0039	B7MNP7
ecq:ECED1_0040	B7MNP8
ecq:ECED1_0041	B7MNP9
ecq:ECED1_0042	B7MNQ0
ecq:ECED1_0043	B7MNQ1
ecq:ECED1_0044	B7MNQ2
ecq:ECED1_0045	B7MNQ3
ecq:ECED1_0046	B7MNQ4
ecq:ECED1_0047	B7MNQ5
ecq:ECED1_0048	B7MNQ6
ecq:ECED1_0049	B7MNQ7
ecq:ECED1_0050	B7MNQ8
ecq:ECED1_0051	B7MNQ9
ecq:ECED1_0052	B7MNR0
ecq:ECED1_0053	B7MNR1
ecq:ECED1_0054	B7MNR2
ecq:ECED1_0055	B7MNR3
ecq:ECED1_0056	B7MNR4
ecq:ECED1_0057	B7MNR5
ecq:ECED1_0058	B7MNR6
ecq:ECED1_0059	B7MNR7
ecq:ECED1_0060	B7MNR8
ecq:ECED1_0061	B7MNR9
ecq:ECED1_0062	B7MNS0
ecq:ECED1_0063	B7MNS1
ecq:ECED1_0064	B7MNS2
ecq:ECED1_0065	B7MNS3
ecq:ECED1_0066	B7MNS4
ecq:ECED1_0067	B7MNS5
ecq:ECED1_0068	B7MNS6
ecq:ECED1_0069	B7MNS7
ecq:ECED1_0070	B7MNS8
ecq:ECED1_0071	B7MNS9
ecq:ECED1_0072	B7MNT0
ecq:ECED1_0073	B7MNT1
ecq:ECED1_0074	B7MNT2
ecq:ECED1_0076	B7MNT4
ecq:ECED1_0077	B7MNT5
ecq:ECED1_0079	B7MNT7
ecq:ECED1_0080	B7MNT8
ecq:ECED1_0081	B7MNT9
ecq:ECED1_0082	B7MNU0
ecq:ECED1_0083	B7MNU1
ecq:ECED1_0084	B7MNU2
ecq:ECED1_0085	B7MNU3
ecq:ECED1_0086	B7MNU4
ecq:ECED1_0087	B7MNU5
ecq:ECED1_0088	B7MNU6
ecq:ECED1_0089	B7MNU7
ecq:ECED1_0090	B7MNU8
ecq:ECED1_0091	B7MNU9
ecq:ECED1_0092	B7MNV0
ecq:ECED1_0093	B7MNV1
ecq:ECED1_0094	B7MNV2
