#target name	accession	query name	accession	full sequence E-value	full sequence score	full sequence bias	best 1 domain E-value	best 1 domain score	best 1 domain bias	domain number estimation exp	domain number estimation reg	domain number estimation clu	domain number estimation ov	domain number estimation env	domain number estimation dom	domain number estimation rep	domain number estimation inc	description of target
TIGR00657	TIGR00657	NP_414543.1	-	1.7e-153	509.8	0.1	2.1e-153	509.5	0.1	1.1	1	0	0	1	1	1	1	asp_kinases: aspartate kinase
TIGR00656	TIGR00656	NP_414543.1	-	2.4e-101	337.6	0.4	3.1e-101	337.3	0.4	1.1	1	0	0	1	1	1	1	asp_kin_monofn: aspartate kinase, monofunctional class
TIGR02078	TIGR02078	NP_414543.1	-	3.3e-35	119.9	0.0	1.1e-34	118.2	0.0	1.8	1	1	0	1	1	1	1	AspKin_pair: putative Pyrococcus aspartate kinase subunit
TIGR02076	TIGR02076	NP_414543.1	-	1e-08	33.0	1.0	2.7e-08	31.7	0.0	2.2	3	0	0	3	3	3	1	pyrH_arch: putative uridylate kinase
TIGR02075	TIGR02075	NP_414543.1	-	2e-07	28.8	0.0	4.8e-07	27.6	0.0	1.6	1	0	0	1	1	1	1	pyrH_bact: UMP kinase
TIGR01027	TIGR01027	NP_414543.1	-	3.2e-07	27.8	0.2	3.9e-06	24.2	0.0	2.5	3	0	0	3	3	3	1	proB: glutamate 5-kinase
TIGR00191	TIGR00191	NP_414544.1	-	1e-122	406.8	0.0	1.1e-122	406.6	0.0	1.0	1	0	0	1	1	1	1	thrB: homoserine kinase
TIGR01920	TIGR01920	NP_414544.1	-	3.7e-13	47.4	0.0	8.2e-07	26.6	0.0	2.2	2	0	0	2	2	2	2	Shik_kin_archae: shikimate kinase
TIGR00154	TIGR00154	NP_414544.1	-	2.4e-11	41.7	0.0	6.2e-11	40.3	0.0	1.5	1	1	0	1	1	1	1	ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
TIGR00549	TIGR00549	NP_414544.1	-	1.3e-10	39.2	0.0	1.7e-10	38.8	0.0	1.1	1	0	0	1	1	1	1	mevalon_kin: mevalonate kinase
TIGR01240	TIGR01240	NP_414544.1	-	0.00025	18.2	0.0	0.00036	17.6	0.0	1.2	1	0	0	1	1	1	1	mevDPdecarb: diphosphomevalonate decarboxylase
TIGR00144	TIGR00144	NP_414544.1	-	0.00062	17.0	0.0	0.47	7.5	0.0	2.2	2	0	0	2	2	2	2	beta_RFAP_syn: beta-ribofuranosylaminobenzene 5'-phosphate synthase family
TIGR01220	TIGR01220	NP_414544.1	-	0.0035	14.4	0.0	0.05	10.6	0.0	2.0	2	0	0	2	2	2	1	Pmev_kin_Gr_pos: phosphomevalonate kinase
TIGR00131	TIGR00131	NP_414544.1	-	0.031	11.1	0.0	0.047	10.5	0.0	1.2	1	0	0	1	1	1	0	gal_kin: galactokinase
TIGR00260	TIGR00260	NP_414545.1	-	7.3e-131	434.3	0.0	8.5e-131	434.1	0.0	1.0	1	0	0	1	1	1	1	thrC: threonine synthase
TIGR00835	TIGR00835	NP_414548.1	-	7.6e-168	556.7	29.2	8.6e-168	556.5	29.2	1.0	1	0	0	1	1	1	1	agcS: amino acid carrier protein
TIGR00874	TIGR00874	NP_414549.1	-	1.2e-167	555.0	0.4	1.4e-167	554.9	0.4	1.0	1	0	0	1	1	1	1	talAB: transaldolase
TIGR00875	TIGR00875	NP_414549.1	-	4.6e-22	76.4	0.0	1.6e-20	71.4	0.0	2.5	1	1	1	2	2	2	1	fsa_talC_mipB: fructose-6-phosphate aldolase
TIGR00876	TIGR00876	NP_414549.1	-	7.4e-13	46.5	0.1	1.3e-12	45.7	0.1	1.3	1	0	0	1	1	1	1	tal_mycobact: transaldolase
