#target name	accession	query name	accession	full sequence E-value	full sequence score	full sequence bias	best 1 domain E-value	best 1 domain score	best 1 domain bias	domain number estimation exp	domain number estimation reg	domain number estimation clu	domain number estimation ov	domain number estimation env	domain number estimation dom	domain number estimation rep	domain number estimation inc	description of target
TIGR03973	TIGR03973	WP_002601553.1	-	1.3e-25	87.1	17.0	1.4e-25	86.9	17.0	1.0	1	0	0	1	1	1	1	six_Cys_in_45: six-cysteine peptide SCIFF
TIGR02705	TIGR02705	WP_002603763.1	-	1.5e-10	38.8	0.3	1.8e-10	38.5	0.3	1.2	1	0	0	1	1	1	1	nudix_YtkD: nucleoside triphosphatase YtkD
TIGR00586	TIGR00586	WP_002603763.1	-	1.2e-05	23.3	0.1	1.3e-05	23.2	0.1	1.2	1	0	0	1	1	1	1	mutt: mutator mutT protein
TIGR01022	TIGR01022	WP_003497809.1	-	2.7e-24	83.0	12.3	2.9e-24	82.9	12.3	1.0	1	0	0	1	1	1	1	rpmJ_bact: ribosomal protein bL36
TIGR00030	TIGR00030	WP_003504099.1	-	6.6e-24	81.5	9.0	7.1e-24	81.4	9.0	1.0	1	0	0	1	1	1	1	S21p: ribosomal protein bS21
TIGR03632	TIGR03632	WP_006771855.1	-	2.8e-59	196.6	0.4	3.6e-59	196.3	0.4	1.0	1	0	0	1	1	1	1	uS11_bact: ribosomal protein uS11
TIGR03628	TIGR03628	WP_006771855.1	-	2.7e-24	83.9	0.3	5e-24	83.0	0.3	1.4	1	1	0	1	1	1	1	arch_S11P: ribosomal protein uS11
TIGR00009	TIGR00009	WP_006775035.1	-	1.1e-17	62.3	5.4	1.2e-17	62.1	5.4	1.0	1	0	0	1	1	1	1	L28: ribosomal protein bL28
TIGR03070	TIGR03070	WP_012104171.1	-	2.6e-13	47.7	0.0	4e-13	47.1	0.0	1.3	1	0	0	1	1	1	1	couple_hipB: transcriptional regulator, y4mF family
TIGR00270	TIGR00270	WP_012104171.1	-	3.4e-05	21.6	0.2	5.9e-05	20.8	0.1	1.5	1	1	0	1	1	1	1	TIGR00270: TIGR00270 family protein
TIGR02612	TIGR02612	WP_012104171.1	-	0.00087	17.2	0.0	0.0013	16.6	0.0	1.3	1	0	0	1	1	1	1	mob_myst_A: mobile mystery protein A
TIGR02607	TIGR02607	WP_012104171.1	-	0.0039	15.0	0.1	0.0072	14.1	0.0	1.5	2	0	0	2	2	2	1	antidote_HigA: addiction module antidote protein, HigA family
TIGR03830	TIGR03830	WP_012104171.1	-	0.019	12.7	0.1	0.038	11.8	0.0	1.5	2	0	0	2	2	2	0	CxxCG_CxxCG_HTH: putative zinc finger/helix-turn-helix protein, YgiT family
TIGR00362	TIGR00362	WP_013270744.1	-	2e-166	552.4	4.0	2.2e-166	552.2	4.0	1.0	1	0	0	1	1	1	1	DnaA: chromosomal replication initiator protein DnaA
TIGR03420	TIGR03420	WP_013270744.1	-	1.5e-34	117.5	0.0	5.4e-34	115.6	0.0	1.8	1	1	0	1	1	1	1	DnaA_homol_Hda: DnaA regulatory inactivator Hda
TIGR01128	TIGR01128	WP_013270744.1	-	0.0033	14.7	1.1	0.021	12.1	0.6	2.3	1	1	2	3	3	3	1	holA: DNA polymerase III, delta subunit
TIGR00663	TIGR00663	WP_013270745.1	-	1.3e-76	255.9	8.0	1.4e-76	255.8	8.0	1.0	1	0	0	1	1	1	1	dnan: DNA polymerase III, beta subunit
TIGR01059	TIGR01059	WP_013270748.1	-	4.4e-300	994.7	1.6	5e-300	994.5	1.6	1.0	1	0	0	1	1	1	1	gyrB: DNA gyrase, B subunit
TIGR01058	TIGR01058	WP_013270748.1	-	1.4e-258	857.4	2.1	1.7e-258	857.2	2.1	1.0	1	0	0	1	1	1	1	parE_Gpos: DNA topoisomerase IV, B subunit
TIGR01055	TIGR01055	WP_013270748.1	-	8.6e-190	630.2	0.2	1.1e-189	629.9	0.2	1.0	1	0	0	1	1	1	1	parE_Gneg: DNA topoisomerase IV, B subunit
TIGR01052	TIGR01052	WP_013270748.1	-	0.013	11.9	0.1	0.024	11.0	0.1	1.3	1	0	0	1	1	1	0	top6b: DNA topoisomerase VI, B subunit
TIGR00644	TIGR00644	WP_013270748.1	-	0.016	11.4	0.1	0.026	10.7	0.1	1.2	1	0	0	1	1	1	0	recJ: single-stranded-DNA-specific exonuclease RecJ
TIGR01063	TIGR01063	WP_013270749.1	-	0	1170.7	20.2	0	1170.4	20.2	1.0	1	0	0	1	1	1	1	gyrA: DNA gyrase, A subunit
TIGR01061	TIGR01061	WP_013270749.1	-	2.2e-226	751.7	13.5	1.4e-214	712.6	10.9	2.0	1	1	1	2	2	2	2	parC_Gpos: DNA topoisomerase IV, A subunit
TIGR01062	TIGR01062	WP_013270749.1	-	9.2e-185	613.7	17.9	8.8e-182	603.9	13.1	2.0	1	1	1	2	2	2	2	parC_Gneg: DNA topoisomerase IV, A subunit
TIGR00823	TIGR00823	WP_013270753.1	-	1.3e-24	84.3	3.8	1.5e-24	84.1	3.8	1.1	1	0	0	1	1	1	1	EIIA-LAC: PTS system, lactose-specific IIa component
TIGR02715	TIGR02715	WP_013270753.1	-	0.035	11.0	0.5	0.038	10.9	0.5	1.1	1	0	0	1	1	1	0	amido_AtzE: amidohydrolase, AtzE family
TIGR03356	TIGR03356	WP_013270754.1	-	1.9e-94	314.9	7.3	8.4e-93	309.5	7.3	2.0	1	1	0	1	1	1	1	BGL: beta-galactosidase
TIGR01233	TIGR01233	WP_013270754.1	-	7.6e-63	210.9	19.4	2.7e-36	123.4	4.0	3.0	1	1	1	3	3	3	3	lacG: 6-phospho-beta-galactosidase
TIGR00738	TIGR00738	WP_013270756.1	-	2.2e-15	54.7	0.0	2.6e-15	54.4	0.0	1.1	1	0	0	1	1	1	1	rrf2_super: Rrf2 family protein
TIGR02944	TIGR02944	WP_013270756.1	-	1.6e-11	42.7	0.1	1.8e-11	42.5	0.1	1.2	1	0	0	1	1	1	1	suf_reg_Xantho: FeS assembly SUF system regulator
TIGR02010	TIGR02010	WP_013270756.1	-	9.8e-09	33.1	0.1	1.1e-08	32.9	0.1	1.1	1	0	0	1	1	1	1	IscR: iron-sulfur cluster assembly transcription factor IscR
TIGR00722	TIGR00722	WP_013270757.1	-	6.8e-95	315.3	2.4	8e-95	315.1	2.4	1.0	1	0	0	1	1	1	1	ttdA_fumA_fumB: hydrolyase, tartrate alpha subunit/fumarate domain protein, Fe-S type
TIGR00530	TIGR00530	WP_013270759.1	-	6.2e-29	98.4	0.1	9e-29	97.8	0.1	1.2	1	0	0	1	1	1	1	AGP_acyltrn: 1-acylglycerol-3-phosphate O-acyltransferases
TIGR04301	TIGR04301	WP_013270761.1	-	1.4e-16	57.8	0.2	6.1e-11	39.2	0.0	3.0	2	1	0	2	2	2	2	ODC_inducible: ornithine decarboxylase SpeF
TIGR02539	TIGR02539	WP_013270761.1	-	4.6e-08	30.4	0.0	6.9e-08	29.8	0.0	1.2	1	0	0	1	1	1	1	SepCysS: O-phospho-L-seryl-tRNA:Cys-tRNA synthase
TIGR04318	TIGR04318	WP_013270761.1	-	6.3e-08	29.3	0.0	0.00039	16.8	0.0	2.9	2	1	0	2	2	2	2	lacto_ODC_hypo: putative ornithine decarboxylase
TIGR00858	TIGR00858	WP_013270761.1	-	5.1e-07	26.7	0.0	8.6e-07	25.9	0.0	1.3	1	0	0	1	1	1	1	bioF: 8-amino-7-oxononanoate synthase
TIGR03301	TIGR03301	WP_013270761.1	-	1.5e-06	25.8	0.0	2.2e-06	25.3	0.0	1.1	1	0	0	1	1	1	1	PhnW-AepZ: 2-aminoethylphosphonate aminotransferase
TIGR02326	TIGR02326	WP_013270761.1	-	4.9e-06	23.8	0.0	7.1e-06	23.3	0.0	1.1	1	0	0	1	1	1	1	transamin_PhnW: 2-aminoethylphosphonate--pyruvate transaminase
TIGR01326	TIGR01326	WP_013270761.1	-	7.5e-05	19.6	0.0	0.00011	19.1	0.0	1.3	1	0	0	1	1	1	1	OAH_OAS_sulfhy: O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
TIGR01977	TIGR01977	WP_013270761.1	-	0.0011	16.0	0.0	0.0022	15.0	0.0	1.4	1	0	0	1	1	1	1	am_tr_V_EF2568: cysteine desulfurase family protein
TIGR01325	TIGR01325	WP_013270761.1	-	0.0012	15.4	0.0	0.0019	14.8	0.0	1.2	1	0	0	1	1	1	1	O_suc_HS_sulf: O-succinylhomoserine sulfhydrylase
TIGR01979	TIGR01979	WP_013270761.1	-	0.0023	14.8	0.0	0.0036	14.2	0.0	1.2	1	0	0	1	1	1	1	sufS: cysteine desulfurase, SufS family
TIGR01437	TIGR01437	WP_013270761.1	-	0.0057	13.5	0.0	0.017	11.9	0.0	1.7	2	0	0	2	2	2	1	selA_rel: uncharacterized pyridoxal phosphate-dependent enzyme
TIGR01825	TIGR01825	WP_013270761.1	-	0.0068	13.0	0.0	0.01	12.5	0.0	1.2	1	0	0	1	1	1	1	gly_Cac_T_rel: putative pyridoxal phosphate-dependent acyltransferase
TIGR03588	TIGR03588	WP_013270761.1	-	0.013	12.3	0.0	0.02	11.7	0.0	1.2	1	0	0	1	1	1	0	PseC: UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
TIGR01329	TIGR01329	WP_013270761.1	-	0.027	11.1	0.0	0.043	10.4	0.0	1.3	1	0	0	1	1	1	0	cysta_beta_ly_E: cystathionine beta-lyase
